Ignition Date,Agency,Office,District,Burn Number,Burn Name,Daily Burn Acres Requested,Acres Burned,Location
1/5/2016,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0001P,Pine Lake Piles,20,0,(35.15; -113.88999999999998)
1/5/2016,U.S. Forest Service,Kaibab,Williams,KNF0133P,South Side Piles,13,0,(35.214; -112.221)
1/5/2016,U.S. Forest Service,Kaibab,Williams,KNF0128P,North Side Piles,1,0,(35.316; -111.93799999999999)
1/5/2016,U.S. Forest Service,Coronado,Safford,CNF0416P,PERP,10,0,(32.67; -109.79000000000002)
1/5/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,10,(34.46; -112.39999999999998)
1/6/2016,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0001P,Pine Lake Piles,15,15,(35.09; -113.86879999999996)
1/6/2016,U.S. Fish & Wildlife Service,,San Bernardino,AZSBR1605P,Hazard Fuel Piles 2016-2018,5,5,(31.344; -109.25768)
1/6/2016,U.S. Forest Service,Coronado,Santa Catalina,CNF0520P,Santa Catalina District Wide Piles,1,1,(32.318304695876904; -110.82288198471076)
1/6/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,0,(34.46324795932252; -112.40158822967112)
1/6/2016,U.S. Forest Service,Coronado,Santa Catalina,CNF0520P,Santa Catalina District Wide Piles,5,0,(32.37275284416935; -110.69248371124274)
1/7/2016,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0015cP,CRD Misc Piles (Oxbow Lake),1,1,(35.152; -114.12110000000001)
1/7/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,0,(34.4685184752148; -112.4259160645064)
1/11/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,0,(34.46600071906576; -112.40351084966585)
1/12/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,0,(34.508; -112.476)
1/14/2016,Department of Defense,,Ft Huachuca,XXH1501P,Fort Huachuca Piles,5,1,(31.46; -110.32999999999998)
1/14/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,10,10,(35.23164573805887; -111.5837894973755)
1/14/2016,U.S. Forest Service,Apache Sitgreaves,Alpine,ASF140P,East Zone Piles (Alpine),50,2,(33.73807955827816; -109.11344881196316)
1/15/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,1,0,(35.20324671706084; -111.72412267303468)
1/18/2016,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0002B,Pine Lake South,115,55,(35.087; -113.85399999999998)
1/19/2016,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0002B,Pine Lake South,110,0,(35.087; -113.85399999999998)
1/19/2016,U.S. Forest Service,,Payson,TNF0408B,Myrtle,136,0,(34.35319847645523; -111.14836949157711)
1/19/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,30,(34.47514720064981; -112.51307885742187)
1/20/2016,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0015cP,CRD Misc Piles (Oxbow Lake),10,10,(34.298; -113.423)
1/20/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,30,(34.47921559224179; -112.51335351143405)
1/20/2016,U.S. Forest Service,,Payson,TNF0408B,Myrtle,176,1,(34.379837468598644; -111.22638958740231)
1/20/2016,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,5,0,(32.71; -109.91200000000003)
1/21/2016,Bureau of Land Management,,Phoenix (PHD),PHD204,Sycamore Piles,784,400,(34.347; -112.01947799999999)
