Ignition Date,Agency,District,Burn Number,Burn Name,Daily Burn Acres Requested,Acres Treated,Acres Burned,Zero Burn Reason,Acres ERT Used,Location,Burn Duration,Ignition Duration,Dead Fuel Moisture 10 Hour,Dead Fuel Moisture 1000 Hour,Duff Fuel Moisture,Fuel Moisture Method,Days Since Rain,Snow Off,Emission Reduction Techniques,Diurnal Plume Characteristics,Remarks,Primary Fuel Type,NFDRS Fuel Model,Harvest Date,Primary Duff Type,Sound rotten 0 025,Sound rotten 026 1,Sound rotten 1 3,Sound 3 9,Sound 9 20,Sound 20 greater,Rotten 3 greater,Stump 20 greater,Shrub brush,Grass herb,Avg litter depth,Avg duff depth,Piles per Acre,Tons Piles per Acre,Soil in Piles,Primary Species,Primary Species (%),Secondary Species,Secondary Species (%),Quality,Width,Height,Length,Packing Ratio,Treated Potential PM2.5,PM2.5 ERT Reduction (non-burned acres),Blackened Potential PM2.5,PM2.5 ERT Reduction,Actual PM2.5,PM2.5 Averted
11/15/2017,Arizona Department of Forestry and Fire Management,Northeast District,A2S222,FT Pile Rx,40,0,0,N/A,0,(34.099895649564054; -109.2724578857422),0,0,0,0,0,Both,0,1/25/2018,"""Piles""","""Did not burn.""","""Did not burn.""",,,,,,,,,,,,,,,,,0,0,0,Aspen,0,Aspen,4,Clean,0,0,0,Logs < 10 Inches,0,,,0,0,0
10/17/2018,Arizona Department of Forestry and Fire Management,Northern District,AZS1601P,Northern District Programmatic Piles,100,0,0,N/A,0,(35.116; -111.78899999999999),0,0,0,0,,Both,,,"""Other""","""No burn""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2018,Arizona Department of Forestry and Fire Management,Northern District,AZS1601P,Northern District Programmatic Piles,200,0,0,N/A,0,(35.112; -111.72699999999998),0,0,3,14,,NFDRS,25,,"""Piles""","""Smoke settled into Woody Wash and Tule Tank Basin.""","""South Landen Rx Block.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2019,Arizona Department of Forestry and Fire Management,Northern District,AZS1601P,Northern District Programmatic Piles,50,0,0,N/A,0,(35.23231300604586; -112.219073135376),0,0,0,0,0,Both,0,,"""Piles""","""No staff to burn... they called out""","""Putting in for Monday""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2019,Arizona Department of Forestry and Fire Management,Northern District,AZS1601P,Northern District Programmatic Piles,30,0,0,N/A,0,(35.17627722279853; -111.58298190307619),0,0,0,0,,Both,,,"""Piles""","""N/A""","""Staff called in sick; couldn't get the crew out ... will put in for Monday""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2019,Arizona Department of Forestry and Fire Management,Northern District,AZS1601P,Northern District Programmatic Piles,30,0,0,N/A,0,(35.1756107324795; -111.58740218353273),0,0,22,18,,Both,,,"""Piles""","""N/A""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2019,Arizona Department of Forestry and Fire Management,Southeast District,A3S305P,Gila River P,9,0,0,N/A,0,(33.065825297348134; -109.99283485412599),0,0,11,16,,NFDRS,,2/22/2019,"""Pre-Burn Fuel Removal; Piles""","""Not burned due to entering wrong burn location.""","""No ignitions took place""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2019,Arizona Department of Forestry and Fire Management,Southeast District,A3S306P,Pima Bridge P,9,0,0,N/A,0,(32.91392240091609; -109.82949905395509),0,0,5,16,,NFDRS,,,"""Pre-Burn Fuel Removal; Piles""","""No characteristics to report""","""No ignitions took place due to weather being out of prescription""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2019,Arizona Department of Forestry and Fire Management,Northeast District,A2S222P,Brownlow-Lee Hand Piles,20,0,0,Other,0,(34.168; -110.01400000000001),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2019,Arizona Department of Forestry and Fire Management,Northeast District,A2S222P,Brownlow-Lee Hand Piles,20,0,0,Other,0,(34.168; -110.01400000000001),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
