Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
1/1/2016,Placer County APCD,Placer,Mountain Counties,10,10,39.04,-120.445,T3S R28E S19,Private Landowner,FIA Forest hill,Hand Pile,UNK,31.5
1/5/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,1,0.25,38.942,-119.944,"T13N R17E S15, 21, 22, 28",US Forest Service,Heavenly ULM,Hand Pile,Slash,1.125
1/5/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,2,2,38.951,-120.109,"T13N R17E S15, 21, 22, 28",California State Parks,Emerald Bay / So. Bliss burn piles,Hand Pile,Slash,UNK
1/5/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,4,2,39.054,-120.121,"T13N R17E S15, 21, 22, 28",California State Parks,Hand Piles,Hand Pile,Slash,48
1/5/2016,Northern Sierra AQMD,Plumas,Mojave Desert,2,2,39.976,-120.939,"T13N R17E S15, 21, 22, 28",US Forest Service,Mt Hough Admin,Hand Pile,Slash,20
1/5/2016,Northern Sierra AQMD,Plumas,Mountain Counties,4,4,40.22,-120.885,"T13N R17E S15, 21, 22, 28",US Forest Service,Evens,Machine Pile,Slash,40
1/5/2016,Great Basin Unified APCD,Alpine,Great Basin Valleys,10,10,38.724,-119.787,"T13N R17E S15, 21, 22, 28",Bureau of Land Management,Curtz East,Hand Pile,Slash,16.88
1/5/2016,Northern Sierra AQMD,Plumas,Mojave Desert,23,15,39.931,-120.909,"T13N R17E S15, 21, 22, 28",US Forest Service,"American Valley Units 3,5",Hand Pile,Slash,150
1/5/2016,Great Basin Unified APCD,Mono,Great Basin Valleys,31,31,37.728,-118.976,"T13N R17E S15, 21, 22, 28",US Forest Service,02L,Hand Pile,Slash,UNK
1/6/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,4,0.5,39.054,-120.121,"T13N R17E S15, 21, 22, 28",California State Parks,Hand Piles,Hand Pile,Slash,12
