AgencyGroup,ShortPermitNum,TWN,TWND,RNG,RNGD,SECTION
BLM,142,,,,,
BLM,115,7,S,88,W,23
BLM,117,8,S,86,W,29
BLM,267,7,S,87,W,7
BLM,77,10,S,104,W,25
BLM,218,5,S,94,W,30
BLM,136,47,N,4,W,24
BLM,170,44,N,6,W,36
BLM,194,47,N,3,W,14
BLM,206,48,N,1,E,1
BLM,206,47,N,1,E,14
BLM,291,45,N,2,W,11
BLM,62,2,N,77,W,3
BLM,63,2,N,82,W,31
BLM,65,1,N,77,W,10
BLM,173,11,n,81,w,15
BLM,216,1,S,78,W,32
BLM,229,2,N,76,W,23
BLM,230,,,,,
BLM,243,12,N,81,W,27
BLM,243,11,N,81,W,2
BLM,243,11,N,81,W,4
BLM,253,38,N,11,E,1
BLM,1,,,,,
BLM,58,16,S,71,W,3
BLM,59,,,,,
BLM,60,,,,,
BLM,66,,,,,
BLM,67,,,,,
BLM,175,50,N,11,E,21
BLM,176,,,,,
BLM,177,,,,,
BLM,233,44,N,5,E,6
BLM,303,40,N,3,E,28
BLM,129,,,,,
BLM,217,42,N,18,W,9
BLM,86,48,N,15,W,19
BLM,152,13,S,92,W,25
BLM,184,,,,,
BLM,130,,,,,
DoD,160,,,,,
DoD,160,,,,,
DoD,160,,,,,
DoD,161,,,,,
DoD,161,,,,,
DoD,161,,,,,
DoD,162,,,,,
DoD,162,,,,,
DoD,162,,,,,
DoD,163,,,,,
DoD,164,30,S,59,W,1
DoD,164,30,S,59,W,1
DoD,164,30,S,59,W,1
DoD,165,,,,,
Local Gov't Agency,188,3,N,71,W,22
Local Gov't Agency,190,3,N,71,W,36
Local Gov't Agency,244,1,S,73,W,13
Local Gov't Agency,104,6,N,70,W,21
Local Gov't Agency,169,,,,,
Local Gov't Agency,198,12,N,69,W,36
Local Gov't Agency,200,6,N,68,W,16
Local Gov't Agency,201,7,N,69,W,6
Local Gov't Agency,56,2,S,71,W,36
Local Gov't Agency,10,6,S,72,W,28
Local Gov't Agency,171,,,,,
Local Gov't Agency,179,,,,,
Local Gov't Agency,179,,,,,
Local Gov't Agency,187,4,N,85,W,30
Local Gov't Agency,189,10,S,77,W,3
Local Gov't Agency,196,9,N,84,W,1
Local Gov't Agency,143,4,N,70,W,4
Local Gov't Agency,144,7,N,70,W,25
Multiple Agencies,174,9,S,94,W,3
Non-Profits & Misc. Fed,68,2,N,71,W,19
Non-Profits & Misc. Fed,91,,,,,
Non-Profits & Misc. Fed,172,,,,,
Non-Profits & Misc. Fed,210,1,N,68,W,5
Non-Profits & Misc. Fed,237,,,,,
