Permit Number,BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons,Lat,Lon,TWN,TWND,RNG,RNGD,SECTION
CRD-10-142,Elk Mtn,142,BLM,CRD,Craig District Office,b,726,,,700,,,,,,7,N,85,W,18
CRD-10-143,Rocky Reservoir,143,BLM,CRD,Craig District Office,b,18,,,,,,,,,12,N,102,W,31
CRD-10-145,Deer Valley,145,BLM,CRD,Craig District Office,b,500,,,86,,,,,,7,N,101,W,2
CRD-10-313,Jack Springs II,313,BLM,CRD,Craig District Office,b,221,,,70,,,,,,8,N,102,W,10
GJD-10-028,Georgia Mesa,28,BLM,GJD,Grand Junction District,p,,60,236,,60,236,95,,,10,S,96,W,25
GJD-10-057,Black Ridge Piles,57,BLM,GJD,Grand Junction District,p,,350,462,,276,462,94.45652,,,11,S,102,W,21
GJD-10-062,Battlements,62,BLM,GJD,Grand Junction District,b,600,,,500,,,,,,8,S,95,W,1
GJD-10-103,Gibbler Piles,103,BLM,GJD,Grand Junction District,p,,300,462,,403,153,95,,,14,S,100,W,33
GJD-10-137,Black Ridge Broadcast,137,BLM,GJD,Grand Junction District,b,250,,,205,,,,,,11,S,102,W,21
GJD-10-164,Mee Canyon/Colorado River,164,BLM,GJD,Grand Junction District,p,,30,236,,70,106,95,,,10,S,104,W,25
GJD-10-290,Brush Mountain,290,BLM,GJD,Grand Junction District,b,350,,,100,,,,,,5,S,100,W,2
GJD-10-358,Thompson Piles,358,BLM,GJD,Grand Junction District,p,,350,236,,,,,,,14,S,101,W,12
GWD-10-063,East Sopris Piles,63,BLM,GWD,Glenwood Field Office,p,,550,209,,155,209,90,,,8,S,86,W,29
GWD-10-195,Deer Pen RX,195,BLM,GWD,Glenwood Field Office,b,600,,,,,,,,,2,S,85,W,34
GWD-10-288,Sky Legend Piles,288,BLM,GWD,Glenwood Field Office,p,,500,196,,,,,,,5,S,85,W,7
GWD-10-319,East Sopris RX,319,BLM,GWD,Glenwood Field Office,b,100,,,90,,,,,,8,S,86,W,29
KRD-10-019,McQueary Gulch,19,BLM,KRD,Kremmling Field Office,p,,50,7069,,49,6075,95,,,1,S,79,W,7
KRD-10-020,C Lazy U,20,BLM,KRD,Kremmling Field Office,p,,250,5301,,75,6075,95,,,3,N,76,W,31
KRD-10-021,Sheep Mountain,21,BLM,KRD,Kremmling Field Office,b,725,,,,,,,,,10,N,81,W,4
KRD-10-045,Gore Lakes Fuel Reduction Project,45,BLM,KRD,Kremmling Field Office,p,,2500,85,,,,,,,2,N,82,W,31
KRD-10-046,Independence Mountain Piles,46,BLM,KRD,Kremmling Field Office,p,,500,1500,,216,1500,80,,,11,N,81,W,14
KRD-10-229,Vils,229,BLM,KRD,Kremmling Field Office,b,200,,,,,,,,,7,N,78,W,17
KRD-10-236,Dry Gulch Rx,236,BLM,KRD,Kremmling Field Office,b,1022,,,,,,,39.92,-106.54,,,,,
KRD-10-268,Fischer Draw,268,BLM,KRD,Kremmling Field Office,b,1506,,,,,,, ,  ,11,N,80,W,29
LJD-10-113,Blanca Wetlands RX,113,BLM,LJD,La Jara Field Office,b,200,,,,,,, ,  ,38,N,11,E,1
MRD-10-120,Gold Basin Piles,120,BLM,MRD,Gunnison Field Office,p,,2000,471,,405,471.1111,89.9371, ,  ,48,N,1,E,27
MRD-10-153,Dallas Substation,153,BLM,MRD,Gunnison Field Office,p,,400,85,,380,94.05264,64.20677, ,  ,45,N,8,W,3
MRD-10-154,Highway 90,154,BLM,MRD,Gunnison Field Office,b,575,,,47,,,, ,  ,48,N,11,W,24
MRD-10-155,Mailbox,155,BLM,MRD,Gunnison Field Office,b,200,,,,,,, ,  ,46,N,14,W,9
MRD-10-225,Powderhorn,225,BLM,MRD,Gunnison Field Office,b,400,,,412,,,, ,  ,46,N,2,W,16
MRD-10-233,Dry Park,233,BLM,MRD,Gunnison Field Office,b,776,,,245,,,, ,  ,46,n,13,w,7
MRD-10-238,Flanders,238,BLM,MRD,Gunnison Field Office,b,260,,,,,,, ,  ,49,N,16,W,29
MRD-10-370,Blue Mesa Piles,370,BLM,MRD,Gunnison Field Office,p,,1450,471,,870,471,27.29885, ,  ,47,N,4,W,24
RGD-10-022,Poverty Mountain Broadcast,22,BLM,RGD,"Royal Gorge Field Office, Canon City",b,65,,,,,,, ,  ,19,S,72,W,18
RGD-10-054,Arkansas Mountain Fuel Break Piles,54,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,1000,157,,,,,38.43,-105.7,48,N,11,E,1
RGD-10-055,Sand Gulch,55,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,250,157,,,,, ,  ,49,N,11,E,19
RGD-10-056,Turkey Gulch Piles,56,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,4600,126,,2740,116.8029,85.11811, ,  ,20,S,73,W,9
RDG-10-115,Booger Red,115,BLM,RGD,"Royal Gorge Field Office, Canon City",b,450,,,224,,,, ,  ,15,S,70,W,30
RGD-10-128,Rice Gulch,128,BLM,RGD,"Royal Gorge Field Office, Canon City",b,450,,,,,,, ,  ,16,S,71,W,28
RGD-10-129,Lakemoor West Broadcast,129,BLM,RGD,"Royal Gorge Field Office, Canon City",b,250,,,,,,, ,  ,15,S,71,W,13
RGD-10-130,Blue Heron,130,BLM,RGD,"Royal Gorge Field Office, Canon City",b,25,,,10,,,, ,  ,19,S,69,W,13
RGD-10-182,Kerr Gulch,182,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,250,200,,175,200,90,38.4,-105.74,48,N,11,E,18
RGD-10-214,Rosita,214,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,150,131,,60,131,85, ,  ,22,S,71,W,19
RGD-10-332,Sand Gulch,332,BLM,RGD,"Royal Gorge Field Office, Canon City",b,175,,,,,,, ,  ,49,N,11,E,16
RGD-10-333,High Park Piles,333,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,500,86,,,,, ,  ,16,S,71,W,3
RGD-10-349,Stony Face,349,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,20,4687,,,,, ,  ,51,N,11,E,33
SGD-10-286,Hat Springs Broadcast Rx,286,BLM,SGD,Saguache Field Office,b,1114,,,140,,,, ,  ,44,N,5,E,6
SGD-10-324,Noland Gulch,324,BLM,SGD,Saguache Field Office,b,1578,,,925,,,,38.2,-105.98,46,N,9,E,21
SJD-10-262,Forest Lakes Piles,262,BLM,SJD,San Juan Field Office,p,,60,191,,20,500,90, ,  ,35,N,7,W,3
SJD-10-280,Dolores Rim,280,BLM,SJD,San Juan Field Office,b,1000,,,225,,,,37.76,-108.77,,,,,
SJD-10-282,Mesa Pedregosa,282,BLM,SJD,San Juan Field Office,b,334,,,,,,,37.04,-106.88,,,,,
SJD-10-385,Disappointment Tamarisk Piles,385,BLM,SJD,San Juan Field Office,p,,500,393,,,,,38,-108.49,,,,,
WRD-10-125,Badger Flats,125,BLM,WRD,White River Field Office,b,566,,,,,,, ,  ,5,N,100,W,2
WRD-10-212,Segar Mtn. Rx,212,BLM,WRD,White River Field Office,b,1300,,,,,,, ,  ,1,S,95,W,27
WRD-10-279,Freezewall Piles,279,BLM,WRD,White River Field Office,p,,600,236,,252,236,98, ,  ,2,S,99,W,1
FCQ-10-189,Fort Carson - PCMS,189,DOD,FCQ,Fort Carson Army,b,25000,,,8517,,,, ,  ,30,S,59,W,1
FCQ-10-190,Fort Carson - South,190,DOD,FCQ,Fort Carson Army,b,10000,,,869,,,, ,  ,18,S,67,W,16
FCQ-10-191,Fort Carson - Middle,191,DOD,FCQ,Fort Carson Army,b,10000,,,,,,, ,  ,17,S,66,W,12
FCQ-10-192,Fort Carson - North,192,DOD,FCQ,Fort Carson Army,b,5000,,,288,,,, ,  ,15,S,66,W,22
BCX-10-246,Van Fleet Orchid research meadow,246,LOCAL,BCX,City of Boulder,b,23,,,,,,, ,  ,1,S,70,W,10
BMX-10-106,Witter - Boulder Mountain Fire PD,106,LOCAL,BMX,Boulder Mountain Fire,p,,452,42,,79,42,95, ,  ,1,N,71,W,9
BOX-10-167,Reynolds Ranch,167,LOCAL,BOX,Boulder County Open Space,p,,214,335,,,,, ,  ,1,S,72,W,19
BOX-10-168,Heil PA 7 Unit 1 & PA10 U1,168,LOCAL,BOX,Boulder County Open Space,p,,300,201,,51,201,70, ,  ,3,N,71,W,36
BOX-10-259,Heil Geer Meadows RX,259,LOCAL,BOX,Boulder County Open Space,b,22,,,,,,, ,  ,1,N,71,W,28
BOX-10-326,Heil Log Decks,326,LOCAL,BOX,Boulder County Open Space,p,,19,592,,,,,40.84,-105.19,2,N,71,W,12
BOX-10-329,Hall PA7 Unit 4,329,LOCAL,BOX,Boulder County Open Space,b,66,,,,,,, ,  ,3,N,71,W,15
