BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons,Lat,Lon,TWN,TWND,RNG,RNGD,SECTION
Seven Springs Piles,190,BLM,CRD,"Craig Office, BLM",p,,25,,9420,25,471.00,80.00,0,0,7,N,102,W,1
Seven Springs Broadcast,192,BLM,CRD,"Craig Office, BLM",b,481,,,0,,,,0,0,8,N,102,W,36
Long Mountain,193,BLM,CRD,"Craig Office, BLM",b,750,,722,0,,,,0,0,11,N,89,W,11
Deer Valley,194,BLM,CRD,"Craig Office, BLM",b,500,,,0,,,,0,0,7,N,101,W,2
Mee Canyon/Colorado River,116,BLM,GJD,"Grand Junction Office, BLM",p,,200,,27618.39401,162,186.74,91.29,0,0,10,S,104,W,25
Roan Plateau,253,BLM,GJD,"Grand Junction Office, BLM",b,1435,,,0,,,,0,0,5,S,94,W,30
Dolores River,300,BLM,GJD,"Grand Junction Office, BLM",p,,50,,3363,15,236.00,95.00,38.74,-109.00,,,,,
Indian Creek,243,BLM,GND,"Gunnison Office, BLM",b,400,,,0,,,,0,0,47,N,3,W,14
Gold Basin Piles,256,BLM,GND,"Gunnison Office, BLM",p,,2000,,593750,400,1562.50,95.00,0,0,48,N,1,E,31
Blue Mesa,301,BLM,GND,"Gunnison Office, BLM",p,,800,,226080,600,471.00,80.00,0,0,47,N,3,W,24
East Sopris Piles,78,BLM,GWD,"Glenwood Office, BLM",p,,550,,0,,,,0,0,8,S,86,W,29
North Carbondale Piles,79,BLM,GWD,"Glenwood Office, BLM",p,,1500,,210488.4,960,236.00,92.91,0,0,7,S,88,W,23
Deer Pen Rx,211,BLM,GWD,"Glenwood Office, BLM",b,140,,,0,,,,0,0,2,S,85,W,34
Lapham Post,219,BLM,GWD,"Glenwood Office, BLM",b,300,,,0,,,,39.44,-108.72,,,,,
Dry Gulch Rx,25,BLM,KRD,"Kremmling Office, BLM",b,1300,,,0,,,,39.91,-106.59,,,,,
Willow Creek KRD,26,BLM,KRD,"Kremmling Office, BLM",p,,8,,11778,8,1963.00,75.00,40.14,-105.97,,,,,
Independence Mountain Piles,28,BLM,KRD,"Kremmling Office, BLM",p,,500,,2452651.07,500,5371.86,91.31,0,0,11,N,81,W,14
Gore Lakes Fuel Reduction,29,BLM,KRD,"Kremmling Office, BLM",p,,2500,,56525,700,85.00,95.00,0,0,2,N,82,W,31
Little Buffalo Creek Piles,30,BLM,KRD,"Kremmling Office, BLM",p,,1,,0,,,,0,0,6,N,80,W,36
