BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons
Panorama Piles,155,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",p,,1000,39.46,-107.15,,5782,50,118,98
Sheep Gulch,191,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",b,572,,39.68,-106.96,,0,,,
Roan Plateau,274,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",b,600,,39.58,-107.98,,0,,,
Wapiti Road,336,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",p,,700,39.66,-107.07,,0,,,
Hay Canyon,11,BLM,GJD,"Grand Junction Office, BLM",b,1300,,39.56,-108.74,1250,0,,,
East Thompson,13,BLM,GJD,"Grand Junction Office, BLM",p,,200,38.86,-108.59,,0,,,
Cabin Ridge,14,BLM,GJD,"Grand Junction Office, BLM",p,,300,39.09,-108.27,,12744,60,236,90
Mee Canyon,15,BLM,GJD,"Grand Junction Office, BLM",p,,200,39.15,-108.94,,6365,67,100,95
Nick Bald,16,BLM,GJD,"Grand Junction Office, BLM",b,1200,,39.14,-108.01,,0,,,
Dolores River South,162,BLM,GJD,"Grand Junction Office, BLM",p,,80,38.50,-108.89,,34996.5,101,385,90
Parker Basin Piles,163,BLM,GJD,"Grand Junction Office, BLM",p,,75,39.14,-107.96,,9909.9,33,385,78
Parker Basin Broadcast,244,BLM,GJD,"Grand Junction Office, BLM",b,46,,39.14,-107.96,,0,,,
Indian Creek Gunnison,239,BLM,GND,"Gunnison Office, BLM",b,400,,38.32,-107.18,130,0,,,
Crystal Creek Piles,293,BLM,GND,"Gunnison Office, BLM",p,,200,38.16,-107.06,,58650,115,600,85
Independence Mountain,100,BLM,KRD,"Kremmling Office, BLM",p,,1730,40.95,-106.45,,1952359.2,880,2241,99
Mule Creek Piles,104,BLM,KRD,"Kremmling Office, BLM",p,,360,39.91,-106.14,,17790.5,230,85,91
Sylvan Reservoir,108,BLM,KRD,"Kremmling Office, BLM",p,,29,39.98,-106.12,,186808,20,9832,95
Dry Gulch,112,BLM,KRD,"Kremmling Office, BLM",b,1300,,36.91,-105.59,,0,,,
Fisher Draw,113,BLM,KRD,"Kremmling Office, BLM",b,1500,,40.92,-106.36,,0,,,
Reed Creek,114,BLM,KRD,"Kremmling Office, BLM",p,,30,40.06,-106.00,,0,,,
Spruce Creek,115,BLM,KRD,"Kremmling Office, BLM",p,,40,39.90,-106.44,,22382,10,2356,95
Walden Hollow,116,BLM,KRD,"Kremmling Office, BLM",p,,50,40.11,-105.87,,0,,,
