BurnName,AgencyGroup,AgencyID,AdministrativeUnit,ShortPermitNum,PileBcst,AcresAnnMaxProject,PilesAnnMaxProject,Lat,Lon,ActAcres,ActPiles,PileActVolume,PilePctCons
Wapiti Road,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",83,p,,800,39.66,-107.07,,608,209,92
Panorama Piles,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",116,p,,700,39.46,-107.15,,485,222,95
Sheep Gulch,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",170,b,572,,39.70,-106.98,110,,,
Roan Plateau,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",178,b,180,,39.58,-107.98,,,,
Dolores River South,BLM,GJD,"Grand Junction Office, BLM",68,p,,280,38.50,-108.89,,300,385,90
Cabin Ridge,BLM,GJD,"Grand Junction Office, BLM",69,p,,350,39.09,-108.27,,350,236,90
Parker Basin Broadcast,BLM,GJD,"Grand Junction Office, BLM",183,b,46,,39.14,-107.96,46,,,
Nick Bald,BLM,GJD,"Grand Junction Office, BLM",184,b,300,,39.14,-108.01,,,,
Dry Gulch,BLM,KRD,"Kremmling Office, BLM",10,b,1300,,36.91,-105.59,,,,
Walden Hollow,BLM,KRD,"Kremmling Office, BLM",11,p,,50,40.11,-105.87,,,,
Spruce Creek,BLM,KRD,"Kremmling Office, BLM",12,p,,40,39.90,-106.44,,,,
Independence Mountain,BLM,KRD,"Kremmling Office, BLM",13,p,,1730,40.95,-106.49,,,,
Fisher Draw,BLM,KRD,"Kremmling Office, BLM",14,b,1500,,40.92,-106.36,,,,
Mule Creek Piles,BLM,KRD,"Kremmling Office, BLM",15,p,,360,39.91,-106.14,,,,
Little Snake Russian Olive Piles,BLM,LSD,"Little Snake Office (Craig), BLM",159,p,,200,40.55,-108.42,,180,884,90
Teepee,BLM,LSD,"Little Snake Office (Craig), BLM",196,b,500,,40.59,-108.79,,,,
Seven Springs,BLM,LSD,"Little Snake Office (Craig), BLM",202,b,481,,40.59,-108.79,,,,
Routt Willow Cr,BLM,LSD,"Little Snake Office (Craig), BLM",301,p,,50,40.76,-106.90,,,,
Holland Piles,BLM,LSD,"Little Snake Office (Craig), BLM",309,p,,100,40.59,-108.78,,,,
Deer Haven,BLM,RGD,"Royal Gorge Office (Canon City), BLM",62,p,,100,38.62,-105.37,,100,85,90
Antelope Piles,BLM,RGD,"Royal Gorge Office (Canon City), BLM",87,p,,50,38.67,-105.55,,,,
Stoney Face,BLM,RGD,"Royal Gorge Office (Canon City), BLM",88,p,,20,38.61,-105.76,,8,1570,85
Jack Hall,BLM,RGD,"Royal Gorge Office (Canon City), BLM",89,p,,100,38.56,-105.76,,,,
Hole in the Rock,BLM,RGD,"Royal Gorge Office (Canon City), BLM",97,p,,3000,38.67,-105.27,,625,196,95
Phantom Canyon,BLM,RGD,"Royal Gorge Office (Canon City), BLM",105,p,,3,38.58,-105.13,,3,1571,85
Sunshine Canyon,BLM,RGD,"Royal Gorge Office (Canon City), BLM",133,p,,20,40.06,-105.37,,,,
Trail Gulch,BLM,RGD,"Royal Gorge Office (Canon City), BLM",225,b,800,,36.67,-105.27,,,,
Deer Haven Broadcast,BLM,RGD,"Royal Gorge Office (Canon City), BLM",235,b,380,,38.62,-105.37,,,,
Blanca Wetlands,BLM,SLD,"San Luis Office, BLM",131,b,150,,37.56,-105.72,135,,,
Summit Reservoir,BLM,SWD,"Southwest District , BLM",7,p,,200,37.40,-108.38,,,,
Cushman,BLM,SWD,"Southwest District , BLM",187,b,300,,38.44,-108.14,,,,
Simms Mesa,BLM,SWD,"Southwest District , BLM",204,b,600,,38.31,-107.88,,,,
West Rim Pines,BLM,SWD,"Southwest District , BLM",205,b,2000,,37.87,-108.83,1003,,,
Rabbit Mountain,BLM,SWD,"Southwest District , BLM",206,b,350,,37.26,-107.66,276,,,
Dry Gulch Piceance,BLM,WRD,"White River Office, BLM",17,b,550,,39.84,-108.30,,,,
Aspen Meadow Piles,CSFS,BOS,Boulder District Colo State Forest Svc,135,p,,80,39.87,-105.41,,50,201,90
Bergen Peak SL Piles,CSFS,GOS,Golden District Colo State Forest Svc,123,p,,100,39.66,-105.40,,52,314,85
Trail Mountain Slash Piles,CSFS,GRS,Granby District Colo State Forest Svc,228,p,,40,40.17,-105.96,,37,884,99
No Name Creek Piles,CSFS,SAS,Salida District Colo State Forest Svc,81,p,,150,38.49,-104.40,,37,1374,95
State Forest,CSFS,SSS,Steamboat Springs Dist. Colo State Forest Svc,115,p,,150,40.48,-106.03,,37,3500,95
Link Creek STL,CSFS,WPS,Woodland Park District Colo State Forest Svc,1,p,,100,39.01,-105.45,,48,85,100
James Mark Jones,CSFS,WPS,Woodland Park District Colo State Forest Svc,2,p,,350,39.20,-105.89,,130,19,100
Mueller State Park,CSFS,WPS,Woodland Park District Colo State Forest Svc,3,p,,150,38.90,-105.16,,,,
South Platte #1,DNR DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",95,b,200,,40.37,-103.49,,,,
St. Vrain DFPC,DNR DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",111,p,,2,40.17,-104.99,,1,2772,85
Lory State Park,DNR DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",128,p,,450,40.57,-105.18,,10,50,98
Banner Lakes,DNR DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",148,b,200,,40.07,-104.56,150,,,
Jackson Lake State Park,DNR DFPC,NFC,"North Central Foothills Region, DFPC",114,p,,2,40.38,-104.09,,1,8250,90
Barr Lake State Park Piles,DNR DFPC,NFC,"North Central Foothills Region, DFPC",264,p,,3,39.94,-104.73,,,,
Chemical Depot Broadcast,DoD,CDQ,Army Chemical Depot,134,b,300,,38.27,-104.28,,,,
Fort Carson Piles,DoD,FCQ,Fort Carson Army,86,p,,1000,38.59,-104.82,,100,700,95
PCMS Piles,DoD,FCQ,Fort Carson Army,91,p,,500,37.52,-104.00,,,,
PCMS Broadcast,DoD,FCQ,Fort Carson Army,99,b,25000,,37.46,-103.96,498,,,
Fort Carson - North,DoD,FCQ,Fort Carson Army,100,b,5000,,38.70,-104.77,,,,
Fort Carson - Middle,DoD,FCQ,Fort Carson Army,103,b,10000,,38.59,-104.82,2395,,,
Fort Carson - South,DoD,FCQ,Fort Carson Army,104,b,10000,,38.47,-104.86,,,,
Knollwood,Local Gov't Agency,BCX,City of Boulder,121,p,,100,40.01,-105.29,,,,
Water Tank,Local Gov't Agency,BCX,City of Boulder,147,b,85,,39.95,-105.26,,,,
Windsurfers Point,Local Gov't Agency,BCX,City of Boulder,258,b,20,,40.06,-105.23,,,,
Wapiti 2,Local Gov't Agency,BOX,Boulder County Open Space,124,b,270,,40.16,-105.29,249,,,
Hall Ranch,Local Gov't Agency,BOX,Boulder County Open Space,179,p,,400,40.21,-105.33,,,,
Heil Valley Ranch,Local Gov't Agency,BOX,Boulder County Open Space,214,p,,300,40.18,-105.29,,,,
Wapiti Rx,Local Gov't Agency,BOX,Boulder County Open Space,250,b,150,,40.16,-105.29,,,,
Walker Ranch Piles,Local Gov't Agency,BOX,Boulder County Open Space,268,p,,300,39.96,-105.34,,,,
Soapstone Prairie,Local Gov't Agency,FCX,City of Fort Collins,165,b,1700,,40.95,-105.05,,,,
Oak Creek FPD,Local Gov't Agency,LCL,Local Government Agency,51,p,,500,40.29,-106.97,,,,
Tri Communities,Local Gov't Agency,LCL,Local Government Agency,79,p,,750,40.14,-105.28,,300,57,100
Glacier View Community Piles,Local Gov't Agency,LCL,Local Government Agency,80,p,,208,40.74,-105.42,,2,43317,95
Otis Tree Pile,Local Gov't Agency,LCL,Local Government Agency,106,p,,4,40.14,-102.95,,1,36000,90
Witter,Local Gov't Agency,LCL,Local Government Agency,112,p,,350,40.06,-105.34,,80,216,99
Vail Hazardous Fuels,Local Gov't Agency,LCL,Local Government Agency,142,p,,501,39.64,-106.33,,164,275,95
Conejos County Willows,Local Gov't Agency,LCL,Local Government Agency,146,p,,12,37.17,-105.86,,2,5333,13
Mountain Meadows,Local Gov't Agency,LCL,Local Government Agency,154,p,,1,40.64,-105.29,,,,
Platte Canyon Piles,Local Gov't Agency,LCL,Local Government Agency,156,p,,3000,39.49,-105.45,,50,39,95
Perry Park,Local Gov't Agency,LCL,Local Government Agency,161,p,,31,39.24,-104.98,,1,94500,95
Town of Silt Cattails,Local Gov't Agency,LCL,Local Government Agency,200,b,10,,39.54,-107.65,,,,
Twin Buttes,Local Gov't Agency,LCL,Local Government Agency,209,p,,600,37.27,-107.91,,,,
Sky Trail,Local Gov't Agency,LCL,Local Government Agency,294,p,,140,40.07,-105.34,,,,
Horsetooth,LRX,LRX,Larimer County,4,p,,800,40.54,-105.18,,,,
