BurnName,AgencyGroup,AgencyID,AdministrativeUnit,ShortPermitNum,PileBcst,Acres Max Permitted ,Piles Max Permitted,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons
Sheep Gulch,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",217,b,300,,39.7,-106.98,,,,,
Roan Plateau,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",286,b,1200,,39.56,-107.91,,,,,
Lookout Mountain Piles,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",291,p,,200,39.46,-107.07,,,,,
Eby Creek Cut and Pile,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",292,p,,400,39.66,-106.83,,,,,
Dolores River South,BLM,GJD,"Grand Junction Office, BLM",58,p,,400,38.5,-108.89,,,,,
Indian Creek Piles,BLM,GJD,"Grand Junction Office, BLM",106,p,,300,38.89,-108.31,,,,,
Horsethief Canyon,BLM,GJD,"Grand Junction Office, BLM",107,p,,150,39.16,-108.84,,,,,
Bitter Spring,BLM,GJD,"Grand Junction Office, BLM",223,b,800,,39.53,-108.81,,,,,
Nick Bald,BLM,GJD,"Grand Junction Office, BLM",224,b,300,,39.14,-108.01,,,,,
Miller Canyon,BLM,GJD,"Grand Junction Office, BLM",330,p,,375,39.95,-108.72,,,,,
Mule Creek Piles,BLM,KRD,"Kremmling Office, BLM",42,p,,360,39.91,-106.14,,,,,
Spruce Creek,BLM,KRD,"Kremmling Office, BLM",43,p,,40,39.9,-106.44,,,,,
Independence Mountain,BLM,KRD,"Kremmling Office, BLM",47,p,,1730,40.95,-106.49,,,,,
Walden Hollow,BLM,KRD,"Kremmling Office, BLM",48,p,,50,40.11,-105.87,,,,,
Shadow Mountain Piles,BLM,KRD,"Kremmling Office, BLM",102,p,,30,40.14,-106.02,,1700,25,85,80
Smith Mesa,BLM,KRD,"Kremmling Office, BLM",103,p,,500,40.07,-106.13,,0,,,
Dry Gulch,BLM,KRD,"Kremmling Office, BLM",178,b,1300,,39.91,-106.59,,0,,,
Blanca Wetlands,BLM,LJD,"La Jara Office, BLM",196,b,150,,37.56,-105.72,,0,,,
Routt Willow Cr,BLM,LSD,"Little Snake Office (Craig), BLM",205,p,,50,40.76,-106.90,,0,,,
Holland Piles,BLM,LSD,"Little Snake Office (Craig), BLM",206,p,,100,40.59,-108.78,,0,,,
Ferret piles,BLM,LSD,"Little Snake Office (Craig), BLM",220,p,,25,40.83,-108.93,,4655,25,196,95
Teepee,BLM,LSD,"Little Snake Office (Craig), BLM",221,b,500,,40.59,-108.79,,0,,,
Seven Springs,BLM,LSD,"Little Snake Office (Craig), BLM",222,b,481,,40.59,-108.79,200,0,,,
Hole in the Rock,BLM,RGD,"Royal Gorge Office (Canon City), BLM",31,p,,2400,38.67,-105.27,,0,,,
Whiskey,BLM,RGD,"Royal Gorge Office (Canon City), BLM",32,p,,4000,38.66,-105.34,,0,,,
Likely Gulch,BLM,RGD,"Royal Gorge Office (Canon City), BLM",88,p,,3000,38.34,-105.57,,91247.5,1130,85,95
Antelope Piles,BLM,RGD,"Royal Gorge Office (Canon City), BLM",90,p,,7,38.67,-105.55,,19794.6,7,3142,90
Stoney Face,BLM,RGD,"Royal Gorge Office (Canon City), BLM",91,p,,30,38.61,-105.76,,37389.8,17,3142,70
Bill's Creek,BLM,RGD,"Royal Gorge Office (Canon City), BLM",127,p,,5,38.59,-105.76,,13353.5,5,3142,85
North Cotopaxi,BLM,RGD,"Royal Gorge Office (Canon City), BLM",128,p,,467,38.45,-105.68,,0,,,
Tyndall Piles,BLM,RGD,"Royal Gorge Office (Canon City), BLM",129,p,,4,38.31,-105.53,,0,,,
Thompson Mountain,BLM,RGD,"Royal Gorge Office (Canon City), BLM",143,p,,35,38.6,-105.38,,0,,,
Turkey Gulch,BLM,RGD,"Royal Gorge Office (Canon City), BLM",144,p,,55,38.31,-105.53,,0,,,
Waugh Mountain,BLM,RGD,"Royal Gorge Office (Canon City), BLM",162,b,38,,38.6,-105.67,38,0,,,
Mt. Harvard Estates,BLM,RGD,"Royal Gorge Office (Canon City), BLM",310,p,,2000,38.91,-105.17,,0,,,
Deer Haven Broadcast,BLM,RGD,"Royal Gorge Office (Canon City), BLM",312,b,380,,38.62,-105.37,21,0,,,
Baxter Peak Piles Unit 1,BLM,SLD,"San Luis Office, BLM",254,p,,150,37.68,-106.65,,0,,,
Rabbit Mountain,BLM,SWD,"Southwest District , BLM",199,b,350,,37.26,-107.66,,0,,,
Simms Mesa,BLM,SWD,"Southwest District , BLM",216,b,600,,38.31,-107.88,,0,,,
West Rim Pines,BLM,SWD,"Southwest District , BLM",247,b,3273,,37.87,-108.83,127,0,,,
Dry Gulch Piceance,BLM,WRD,"White River Office, BLM",235,b,275,,39.84,-108.30,275,0,,,
Barr Lake State Park,CDPW,DEW,"Denver Area, Colo Parks & Wildlife Div",5,p,,3,39.94,-104.73,,0,,,
Lone Mesa Broadcast Rx,CDPW,DUW,"Durango Area, Colo Parks & Wildlife Div",277,b,400,,37.73,-108.46,,0,,,
Mueller State Park Rx,CDPW,SPW,Colorado State Parks,285,b,720,,38.88,-105.15,,0,,,
Aspen Meadow Piles,CSFS,BOS,Boulder District Colo State Forest Svc,3,p,,80,37.84,-105.30,,0,,,
Bald Mountain,CSFS,BOS,Boulder District Colo State Forest Svc,14,p,,300,40.05,-105.34,,0,,,
Pinewood Resevoir SLB Piles,CSFS,FCS,Fort Collins District Colo State Forest Svc,142,p,,350,40.36,-105.30,,15062.25,105,151,95
Manhattan Creek,CSFS,FCS,Fort Collins District Colo State Forest Svc,163,p,,80,40.74,-105.58,,0,,,
Sand Creek,CSFS,FCS,Fort Collins District Colo State Forest Svc,164,p,,20,40.92,-105.81,,0,,,
Pass Creek SLB Piles,CSFS,FCS,Fort Collins District Colo State Forest Svc,323,p,,8,40.82,-105.92,,0,,,
Bergen Peak SL Piles,CSFS,GOS,Golden District Colo State Forest Svc,347,p,,60,39.66,-105.40,,0,,,
No Name Creek Piles,CSFS,SAS,Salida District Colo State Forest Svc,25,p,,150,38.49,-106.40,,21945,21,1100,95
State Forest Piles,CSFS,SSS,Steamboat Springs Dist. Colo State Forest Svc,12,p,,157,40.48,-106.02,,0,,,
James Mark Jones,CSFS,WPS,Woodland Park District Colo State Forest Svc,1,p,,100,39.18,-105.89,,1425,75,19,100
Link Creek,CSFS,WPS,Woodland Park District Colo State Forest Svc,55,p,,300,39.01,-105.45,,5610,66,85,100
Island Acres,DFPC,CRC,"Colorado River Region, Div Fire Prev & Ctrl",132,p,,2,39.16,-108.30,,0,,,
South Platte #1,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",60,b,2000,,40.37,-103.49,,0,,,
Banner Lakes,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",62,b,400,,40.07,-104.56,,0,,,
Jackson Lake State Park,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",70,p,,2,40.38,-104.09,,0,,,
Wray Hatchery,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",126,p,,3,40.08,-102.26,,0,,,
Simpson Ponds,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",185,b,40,,40.38,-105.03,,0,,,
Poudre Hatchery,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",191,p,,1,40.7,-105.71,,0,,,
Bellvue Pile Project,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",204,p,,2,40.63,-105.17,,0,,,
Jackson-Andrick,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",208,b,1500,,40.37,-104.09,,0,,,
Jackson-Andrick,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",208,b,1500,,40.37,-104.09,,0,,,
Lory State Park,DFPC,NEC,"Northeast Region, Div Fire Prev & Ctrl",250,p,,450,40.57,-105.18,,0,,,
Chemical Depot Broadcast,DoD,CDQ,Army Chemical Depot,259,b,300,,38.27,-104.28,,0,,,
Fort Carson Piles,DoD,FCQ,Fort Carson Army,210,p,,1000,38.59,-104.82,,0,,,
PCMS Piles,DoD,FCQ,Fort Carson Army,211,p,,500,37.52,-104.00,,0,,,
PCMS Broadcast,DoD,FCQ,Fort Carson Army,212,b,25000,,37.46,-103.96,,0,,,
Fort Carson - North,DoD,FCQ,Fort Carson Army,213,b,5000,,38.7,-104.77,,0,,,
Fort Carson - Middle,DoD,FCQ,Fort Carson Army,214,b,10000,,38.59,-104.82,,0,,,
Fort Carson - South,DoD,FCQ,Fort Carson Army,215,b,10000,,38.47,-104.86,,0,,,
Water Tank,Local Gov't Agency,BCX,City of Boulder,179,b,85,,39.95,-105.26,,0,,,
Chapman,Local Gov't Agency,BCX,City of Boulder,189,p,,140,40,-105.31,,0,,,
Windsurfers Point,Local Gov't Agency,BCX,City of Boulder,283,b,20,,40.07,-105.23,,0,,,
Hall Ranch,Local Gov't Agency,BOX,Boulder County Open Space,59,p,,400,40.21,-105.33,,0,,,
Walker Ranch Piles,Local Gov't Agency,BOX,Boulder County Open Space,101,p,,300,39.96,-105.34,,0,,,
Wapiti 2,Local Gov't Agency,BOX,Boulder County Open Space,180,b,270,,40.16,-105.29,,0,,,
Wapiti Rx,Local Gov't Agency,BOX,Boulder County Open Space,181,b,150,,40.16,-105.29,,0,,,
Nighthawk Rx,Local Gov't Agency,BOX,Boulder County Open Space,182,b,75,,40.21,-105.33,,0,,,
Heil Valley Ranch,Local Gov't Agency,BOX,Boulder County Open Space,281,p,,300,40.18,-105.29,,0,,,
Arapaho Rx,Local Gov't Agency,BOX,Boulder County Open Space,284,b,350,,40.23,-105.17,,0,,,
Soapstone Prairie,Local Gov't Agency,FCX,City of Fort Collins,209,b,1700,,40.95,-105.05,,0,,,
Signature Bluff Sheep Draw,Local Gov't Agency,GCX,City of Greeley,243,b,240,,40.44,-104.77,,0,,,
Highland Hills,Local Gov't Agency,GCX,City of Greeley,287,b,10,,40.4,-104.81,,0,,,
Boomerang,Local Gov't Agency,GCX,City of Greeley,295,b,30,,40.43,-104.79,,0,,,
Sheep Draw,Local Gov't Agency,GCX,City of Greeley,296,b,60,,40.44,-104.77,,0,,,
Signature Bluff,Local Gov't Agency,GCX,City of Greeley,297,b,110,,40.44,-104.79,,0,,,
Pumpkin Ridge,Local Gov't Agency,GCX,City of Greeley,311,b,65,,40.42,-104.78,,0,,,
Poudre Learning Center,Local Gov't Agency,GCX,City of Greeley,315,b,50,,40.44,-104.81,,0,,,
Oak Creek FPD,Local Gov't Agency,LCL,Local Government Agency,15,p,,500,40.29,-106.97,,0,,,
1577 West Coach Road.,Local Gov't Agency,LCL,Local Government Agency,16,p,,350,40.06,-105.34,,0,,,
Sky Trail,Local Gov't Agency,LCL,Local Government Agency,17,p,,140,40.07,-105.34,,0,,,
Deer Trail,Local Gov't Agency,LCL,Local Government Agency,18,p,,450,40.08,-105.34,,4233.6,30,144,98
High View,Local Gov't Agency,LCL,Local Government Agency,19,p,,380,40.03,-105.30,,0,,,
Platte Canyon Piles,Local Gov't Agency,LCL,Local Government Agency,78,p,,3000,39.49,-105.45,,7944.3,210,39,97
Limon Collection,Local Gov't Agency,LCL,Local Government Agency,92,p,,3,39.25,-103.68,,7536,2,4710,80
Glacier View Community Piles,Local Gov't Agency,LCL,Local Government Agency,146,p,,208,40.76,-105.48,,0,,,
Glacier View Community Piles,Local Gov't Agency,LCL,Local Government Agency,146,p,,208,40.74,-105.42,,0,,,
Vail Hazardous Fuels,Local Gov't Agency,LCL,Local Government Agency,170,p,,501,39.64,-106.41,,19262.2,74,274,95
Perry Park,Local Gov't Agency,LCL,Local Government Agency,198,p,,31,39.24,-104.98,,0,,,
Conejos County Willows,Local Gov't Agency,LCL,Local Government Agency,260,p,,12,37.17,-105.86,,0,,,
Twin Buttes,Local Gov't Agency,LCL,Local Government Agency,264,p,,600,37.27,-107.91,,4050.72,29,144,97
Otis Tree Pile,Local Gov't Agency,LCL,Local Government Agency,272,p,,4,40.14,-102.95,,0,,,
Bear Creek Lake,Local Gov't Agency,LCL,Local Government Agency,325,b,360,,39.64,-105.17,,0,,,
Horsetooth,LRX,LRX,Larimer County,148,p,,1500,40.54,-105.18,,0,,,
Maddox,Non-Profits & Misc. Fed,OTR,Other,41,p,,2000,38.94,-105.04,,0,,,
Elk Creek Unit 1 Piles,Non-Profits & Misc. Fed,OTR,Other,133,p,,500,40.73,-105.51,,0,,,
North Slope Piles,Non-Profits & Misc. Fed,OTR,Other,137,p,,500,38.92,-105.04,,0,,,
Smokey Rim,Non-Profits & Misc. Fed,OTR,Other,168,b,1000,,37.45,-103.49,,0,,,
IMMD,Non-Profits & Misc. Fed,OTR,Other,177,p,,2,39.28,-105.81,,0,,,
Forbes Wagon Creek,Non-Profits & Misc. Fed,OTR,Other,248,p,,2,37.55,-105.22,,0,,,
Arrowhead,Non-Profits & Misc. Fed,OTR,Other,280,p,,1,38.3,-105.35,,62244,1,65520,95
Snowmass Ski Area Piles,Non-Profits & Misc. Fed,SKI,Ski resort,110,p,,320,39.19,-106.95,,0,,,
