BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,AcresAnnMaxProjectPermitted,PilesAnnMaxProjectPermitted,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons
Eby Creek Cut and Pile,30,BLM,CVD,Craig Field Office,p,,800,39.66,-106.84,,"27,562.50",245,125,90
West Divide,227,BLM,CVD,Craig Field Office,b,5240,,39.31,-107.55,,,,,
Los Pinos,2,BLM,GRD,Grand Junction Field Office,p,,70,38.1,-106.98,,"410,550.00",28,17250,85
Gibbler Gulch,7,BLM,GRD,Grand Junction Field Office,p,,2000,38.79,-108.55,,"627,165.00",1810,385,90
Moffat Gulch,75,BLM,GRD,Grand Junction Field Office,p,,650,39.34,-108.16,,"223,492.50",645,385,90
Chicken Prescribed Fire,195,BLM,GRD,Grand Junction Field Office,b,450,,40.6,-108.82,0,,,,
Corcoran Peak,196,BLM,GRD,Grand Junction Field Office,b,663,,39.31,-108.51,,,,,
Palisade Watershed,206,BLM,GRD,"Grand Junction Office, BLM",b,500,,39.08,-108.27,0,,,,
Farmers Canyon,210,BLM,GRD,Grand Junction Field Office,b,200,,38.8,-108.55,0,,,,
Horsethief Bench,286,BLM,GRD,"Grand Junction Office, BLM",p,,150,39.15,-108.83,,0.00,0,,
Grouse Mountain,32,BLM,KRD,"Kremmling Office, BLM",p,,100,40.12,-106.18,,0.00,,,
Owl Mountain,33,BLM,KRD,"Kremmling Office, BLM",p,,100,40.52,-106.1,,0.00,,,
Independence Mountain,34,BLM,KRD,"Kremmling Office, BLM",p,,18,40.99,-106.43,,0.00,,,
Strawberry,35,BLM,KRD,"Kremmling Office, BLM",p,,110,40,-105.83,,0.00,,,
Smith Mesa,36,BLM,KRD,"Kremmling Office, BLM",p,,500,40.07,-106.13,,0.00,,,
Inspiration Point,230,BLM,KRD,"Kremmling Office, BLM",b,350,,39.98,-106.48,,,,,
Deer Haven Broadcast,53,BLM,RGD,"Royal Gorge Office (Canon City), BLM",b,380,,38.62,-105.37,0,,,,
Hole in the Rock,54,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,2400,38.67,-105.27,,"52,321.80",310,194,87
Likely Gulch,55,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,3000,38.34,-105.57,,0.00,0,,
Mt. Harvard Estates,56,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,2000,38.91,-105.17,,"74,690.00",280,275,97
Thompson Mountain,57,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,35,38.6,-105.38,,0.00,0,,
Tyndall Piles,58,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,10,38.31,-105.53,,0.00,0,,
Whiskey,59,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,4000,39.66,-105.34,,0.00,0,,
Shavano Piles,260,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,500,38.56,-106.14,,0.00,0,,
Blanca Wetlands,114,BLM,SLD,"San Luis Valley Field Office, BLM",b,300,,37.56,-105.72,163,,,,
CANM Piles,44,BLM,SWD,"Southwest District , BLM",p,,400,37.33,-109.01,,"94,494.40",352,295,91
Dry Mesa Rx,99,BLM,SWD,"Southwest District , BLM",b,554,,38.61,-108.31,0,,,,
Simms Mesa,100,BLM,SWD,"Southwest District , BLM",b,200,,38.31,-107.88,0,,,,
Gunnison Gorge,112,BLM,SWD,"Southwest District , BLM",p,,100,38.77,-107.92,,"41,343.15",85,523,93
West Rim,194,BLM,SWD,"Southwest District , BLM",b,2400,,37.87,-108.78,0,,,,
