Permit Issue Date,Burn Name,Full Permit Number,AgencyGroup,AdministrativeUnit,PileBcast,AcresAnnMaxProject,PilesAnnMaxProject,Lat,Long,Actual Acres Burned,Act Pile Vol Consumed (FT3),Actual Piles,PileActVolume,PilePctCons
1/25/2022,FY22_USAFA_Unit_13,AFQ-22-133,DoD,U.S Air Force Academy,Broadcast,20,0,38.96,104.83,,0,,,
1/6/2022,"San Luis Valley Complex NWR, Alamosa Refuge Monte Vista Refuge and Baca Refuge Pile Burn",ALR-22-091,USFWS,Alamosa National Wildlife Refuge,Pile,0,200,37.49,106.09,,0,,,
1/19/2022,"San Luis Valley Complex NWR, Alamosa Refuge Monte Vista Refuge and Baca Refuge Broadcast Burn",ALR-22-108,USFWS,Alamosa National Wildlife Refuge,Broadcast,18000,0,37.43,105.77,,0,,,
12/14/2021,Forsythe II,ARF-22-035,USFS,Arapaho/Roosevelt National Forests,Pile,0,10000,39.95,105.42,,0,,,
12/14/2021,TSI200,ARF-22-036,USFS,Arapaho/Roosevelt National Forests,Pile,0,400,40.93,105.67,,112005,300,393,95
12/15/2021,St. Vrain Hand Piles - RENEWAL,ARF-22-044,USFS,Arapaho/Roosevelt National Forests,Pile,0,8000,40.23,105.37,,0,,,
12/15/2021,Lump Gulch,ARF-22-048,USFS,Arapaho/Roosevelt National Forests,Pile,0,5000,39.92,105.51,,17085,100,201,85
12/15/2021,James Creek Hand Piles,ARF-22-049,USFS,Arapaho/Roosevelt National Forests,Pile,0,15000,39.97,105.61,,619384.1,3190,221,88
12/15/2021,Gilpin County Machine Piles,ARF-22-050,USFS,Arapaho/Roosevelt National Forests,Pile,0,450,39.89,105.49,,130923.1,213,665,93
12/28/2021,Cedar Park 1,ARF-22-065,USFS,Arapaho/Roosevelt National Forests,Pile,0,14850,40.44,105.33,,209951.8,971,232,93
12/29/2021,Magic Sky 4 - RENEWAL,ARF-22-070,USFS,Arapaho/Roosevelt National Forests,Pile,0,6195,40.79,105.5,,0,,,
12/29/2021,Elkhorn 3 Machine,ARF-22-072,USFS,Arapaho/Roosevelt National Forests,Pile,0,5,40.76,105.65,,13988.8,5,2945,95
1/3/2022,Fish Creek,ARF-22-073,USFS,Arapaho/Roosevelt National Forests,Pile,0,500,40.3,105.48,,0,,,
