Proposal Date,ID,Member ID,Member,Office,Unit Name,Location,Burn Type,Airshed,Impact Zone,Elevation,Tons/Acre,Acres Burned,Proposed Acres,Priority,Latitude,Longitude,Comments,Status,No Burn Reason
1/7/2010,159413,45,Bureau of Land Management,CDA,2-Tail piles,"6 miles east of Bonners Ferry, Idaho.",Other Mechanical,11,None,3400,20,40,40,A,48.6816,-116.166,None,Completed,None
3/10/2010,159413,45,Bureau of Land Management,CDA,2-Tail piles,"6 miles east of Bonners Ferry, Idaho.",Other Mechanical,11,None,3400,20,0,50,A,48.6816,-116.166,None,Completed,None
3/11/2010,159413,45,Bureau of Land Management,CDA,2-Tail piles,"6 miles east of Bonners Ferry, Idaho.",Other Mechanical,11,None,3400,20,0,50,B,48.6816,-116.166,None,Completed,None
3/11/2010,159413,45,Bureau of Land Management,CDA,2-Tail piles,"6 miles east of Bonners Ferry, Idaho.",Other Mechanical,11,None,3400,20,40,50,A,48.6816,-116.166,None,Completed,None
4/21/2010,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,0,100,A,42.0776,-112.279,None,Completed,None
4/26/2010,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,100,100,A,42.0776,-112.279,None,Completed,None
5/4/2010,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,0,50,A,42.0776,-112.279,None,Completed,None
5/5/2010,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,None,50,A,42.0776,-112.279,None,Proposed,None
5/6/2010,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,0,20,A,42.0776,-112.279,None,Completed,None
5/17/2010,89204,45,Bureau of Land Management,IDF,Samaria Hand Piles,7 miles SW of Malad,Hand Piles,20,None,4600,35,50,50,A,42.0776,-112.279,None,Completed,None
5/17/2010,89102,45,Bureau of Land Management,TWIN,Saylor Creek,Air Force Bombing Range,Broadcast,22,None,4000,3,0,75,A,42.7313,-115.542,None,Completed,None
5/18/2010,89102,45,Bureau of Land Management,TWIN,Saylor Creek,Air Force Bombing Range,Broadcast,22,None,4000,3,30,75,A,42.7313,-115.542,None,Completed,None
5/19/2010,89102,45,Bureau of Land Management,TWIN,Saylor Creek,Air Force Bombing Range,Broadcast,22,None,4000,3,75,200,A,42.7313,-115.542,None,Completed,None
5/20/2010,89102,45,Bureau of Land Management,TWIN,Saylor Creek,Air Force Bombing Range,Broadcast,22,None,4000,3,0,75,A,42.7313,-115.542,None,Completed,None
9/23/2010,160212,45,Bureau of Land Management,TWIN,Martin Canyon,"East of Bellevue, Idaho",Broadcast,23,Sun Valley,7000,39.57,0,500,A,43.5106,-114.143,None,Completed,None
9/25/2010,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,None,30,A,47.5207,-116.556,None,Proposed,None
9/26/2010,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,None,30,A,47.5207,-116.556,None,Proposed,None
9/27/2010,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,None,30,A,47.5207,-116.556,None,Proposed,None
9/28/2010,161795,45,Bureau of Land Management,CDA,Killarney Lake Broadcast,"9 miles south of I90, 1 1/2 miles northwest of state hiway 3, 4 miles south of Rose Lake, Idaho.",Understory,11,None,2765,15.64,None,30,A,47.5207,-116.556,None,Proposed,None
