Proposal Date,ID,Member ID,Member,Office,Unit Name,Location,Burn Type,Airshed,Impact Zone,Elevation,Tons/Acre,Acres Burned,Proposed Acres,Priority,Latitude,Longitude,Comments,Status,No Burn Reason
3/27/2018,200039,47,AirSci Member,AirSci office,Three Forks TEST,Testing a new preseason at three forks. (Revised),Broadcast,8A,None,4084,97.85,5,6,A,45.89766,-111.59362,None,Completed,None
3/29/2018,200041,47,AirSci Member,AirSci office,Preseason Webinar Sample,Preseason location comments. (Revise),Broadcast,6,None,4128,62.85,0,5,A,47.51079,-112.38464,None,Completed,Already accomplished
6/20/2018,200041,47,AirSci Member,AirSci office,Preseason Webinar Sample,Preseason location comments. (Revise),Broadcast,6,None,4128,62.85,0,0,A,47.51079,-112.38464,None,Approved,None
11/2/2018,200041,47,AirSci Member,AirSci office,Preseason Webinar Sample,Preseason location comments. (Revise),Broadcast,6,None,4128,62.85,0,30,A,47.51079,-112.38464,None,Approved,None
11/2/2018,200039,47,AirSci Member,AirSci office,Three Forks TEST,Testing a new preseason at three forks. (Revised),Broadcast,8A,None,4084,97.85,0,20,A,45.89766,-111.59362,None,Completed,Decided not to burn - other
2/5/2019,200041,47,AirSci Member,AirSci office,Preseason Webinar Sample,Preseason location comments. (Revise),Broadcast,6,None,4128,62.85,0,20,A,47.51079,-112.38464,None,Completed,Not in prescription
3/15/2019,200235,47,AirSci Member,AirSci office,TEST,TEST TEST TEST,Broadcast,7,None,7679,62.85,0,20,A,45.34829,-111.4508,None,Completed,None
6/12/2019,200235,47,AirSci Member,AirSci office,TEST,TEST TEST TEST,Broadcast,7,None,7679,62.85,0,1,A,45.34829,-111.4508,"broken?	’",Completed,None
6/15/2019,200235,47,AirSci Member,AirSci office,TEST,TEST TEST TEST,Broadcast,7,None,7679,62.85,0,20,A,45.34829,-111.4508,test,Approved,None
6/17/2019,200235,47,AirSci Member,AirSci office,TEST,TEST TEST TEST,Broadcast,7,None,7679,62.85,0,5,A,45.34829,-111.4508,test burn,Approved,None
4/16/2010,160362,3,Bureau of Indian Affairs,CSK,Polson CAR,Projects in and around the community of Polson Mt,Unspecified,2,None,2900,20.2,None,75,A,47.7823,-114.145,None,Approved,None
11/17/2004,10079,45,Bureau of Land Management,MSO,Garnet Ghost Town Pile,1 mile NE of Garnet Ghost Town,Other Mechanical,5,None,6195,10,0,1,B,46.8244,-113.323,None,Completed,None
11/19/2004,10079,45,Bureau of Land Management,MSO,Garnet Ghost Town Pile,1 mile NE of Garnet Ghost Town,Other Mechanical,5,None,6195,10,0,1,B,46.8244,-113.323,None,Completed,None
11/28/2005,10079,45,Bureau of Land Management,MSO,Garnet Ghost Town Pile,1 mile NE of Garnet Ghost Town,Other Mechanical,5,None,6195,10,0,1,B,46.8244,-113.323,None,Completed,None
11/29/2005,10079,45,Bureau of Land Management,MSO,Garnet Ghost Town Pile,1 mile NE of Garnet Ghost Town,Other Mechanical,5,None,6195,10,0,1,B,46.8244,-113.323,None,Completed,None
11/30/2005,10079,45,Bureau of Land Management,MSO,Garnet Ghost Town Pile,1 mile NE of Garnet Ghost Town,Other Mechanical,5,None,6195,10,0,1,B,46.8244,-113.323,None,Completed,None
12/12/2005,154929,45,Bureau of Land Management,MC,Swain Hand Piles,"20 miles southeast of Miles City, Montana",Hand Piles,10,None,3700,8,30,200,A,45.8061,-106.174,None,Completed,None
12/13/2005,154929,45,Bureau of Land Management,MC,Swain Hand Piles,"20 miles southeast of Miles City, Montana",Hand Piles,10,None,3700,8,30,200,A,45.8061,-106.174,None,Completed,None
12/14/2005,154929,45,Bureau of Land Management,MC,Swain Hand Piles,"20 miles southeast of Miles City, Montana",Hand Piles,10,None,3700,8,0,200,A,45.8061,-106.174,None,Completed,None
12/15/2005,154929,45,Bureau of Land Management,MC,Swain Hand Piles,"20 miles southeast of Miles City, Montana",Hand Piles,10,None,3700,8,10,170,A,45.8061,-106.174,None,Completed,None
12/16/2005,154929,45,Bureau of Land Management,MC,Swain Hand Piles,"20 miles southeast of Miles City, Montana",Hand Piles,10,None,3700,8,0,170,A,45.8061,-106.174,None,Completed,None
12/19/2005,154929,45,Bureau of Land Management,MC,Swain Hand Piles,"20 miles southeast of Miles City, Montana",Hand Piles,10,None,3700,8,130,130,A,45.8061,-106.174,None,Completed,None
2/20/2007,154929,45,Bureau of Land Management,MC,Swain Hand Piles,"20 miles southeast of Miles City, Montana",Hand Piles,10,None,3700,8,0,1,A,45.8061,-106.174,None,Completed,None
3/1/2007,154929,45,Bureau of Land Management,MC,Swain Hand Piles,"20 miles southeast of Miles City, Montana",Hand Piles,10,None,3700,8,1,1,A,45.8061,-106.174,None,Completed,None
12/10/2007,156676,45,Bureau of Land Management,MC,Pine Hills ,"Township 7 North Range 48 East East 1/4 of Section 12 9 miles east Southeast of Miles City, Montana",Hand Piles,10,None,2953,7,0,100,A,46.3764,-105.657,None,Completed,None
1/22/2008,156676,45,Bureau of Land Management,MC,Pine Hills ,"Township 7 North Range 48 East East 1/4 of Section 12 9 miles east Southeast of Miles City, Montana",Hand Piles,10,None,2953,7,30,100,A,46.3764,-105.657,None,Completed,None
1/23/2008,156676,45,Bureau of Land Management,MC,Pine Hills ,"Township 7 North Range 48 East East 1/4 of Section 12 9 miles east Southeast of Miles City, Montana",Hand Piles,10,None,2953,7,20,404,A,46.3764,-105.657,None,Completed,None
1/24/2008,156676,45,Bureau of Land Management,MC,Pine Hills ,"Township 7 North Range 48 East East 1/4 of Section 12 9 miles east Southeast of Miles City, Montana",Hand Piles,10,None,2953,7,0,404,A,46.3764,-105.657,None,Completed,None
1/28/2008,156676,45,Bureau of Land Management,MC,Pine Hills ,"Township 7 North Range 48 East East 1/4 of Section 12 9 miles east Southeast of Miles City, Montana",Hand Piles,10,None,2953,7,20,100,A,46.3764,-105.657,None,Completed,None
