DB_REG_ID,BURN_ID,REG_TYPE,ORG_NAME,BURN_NAME,OWNERSHIP,YEAR,R_FUEL_CAT,R_FUEL_TYPE,R_BURN_START,R_BURN_END,ELEVATION_FT,R_LATITUDE,R_LONGITUDE,COUNTY,R_DURATION_DAYS,R_TOTAL_AREA_ACRES,R_MAX_DAILY_AREA_ACRES,R_TOTAL_VOLUME_CU_FT,R_MAX_DAILY_VOLUME_CU_FT,R_REG_WILDLAND_FIRE_USE,R_COMMENTS,ACI_REG_DATE,R_VENTILATION_CATEGORIES,R_BROADCAST_WAIVER_TYPE,R_NOTIFICATION_PLAN,R_ERTS,R_VISUAL_MONITORING,R_EDUCATION_TYPES,R_EQUIPMENT_TYPES,R_P_AVERAGE_VOLUME,R_P_CLEAN_VOLUME,R_P_CRANE_VOLUME,R_P_TRACTOR_VOLUME,R_FC_ALFALFA_AREA,R_FC_ALFALFA_LOAD,R_FC_AVG_FIELD_CROPS_AREA,R_FC_AVG_FIELD_CROPS_LOAD,R_FC_AVG_ORCHARD_CROPS_AREA,R_FC_AVG_ORCHARD_CROPS_LOAD,R_FC_BARLEY_AREA,R_FC_BARLEY_LOAD,R_FC_CORN_AREA,R_FC_CORN_LOAD,R_FC_COTTON_AREA,R_FC_COTTON_LOAD,R_FC_DITCHES_AREA,R_FC_DITCHES_LOAD,R_FC_GRASS_AREA,R_FC_GRASS_LOAD,R_FC_HAY_AREA,R_FC_HAY_LOAD,R_FC_OATS_AREA,R_FC_OATS_LOAD,R_FC_PEANUTS_AREA,R_FC_PEANUTS_LOAD,R_FC_PECAN_AREA,R_FC_PECAN_LOAD,R_FC_PISTACHIO_AREA,R_FC_PISTACHIO_LOAD,R_FC_SORGHUM_AREA,R_FC_SORGHUM_LOAD,R_FC_WEEDS_AREA,R_FC_WEEDS_LOAD,R_FC_WHEAT_AREA,R_FC_WHEAT_LOAD,R_F_BACKING_PINE_AREA,R_F_BACKING_PINE_LOAD,R_F_DOUGLAS_FIR_AREA,R_F_DOUGLAS_FIR_LOAD,R_F_HARDWOOD_AREA,R_F_HARDWOOD_LOAD,R_F_HEADING_PINE_AREA,R_F_HEADING_PINE_LOAD,R_F_JUNIPER_AREA,R_F_JUNIPER_LOAD,R_F_MIXED_CONIFER_AREA,R_F_MIXED_CONIFER_LOAD,R_F_PONDEROSA_PINE_AREA,R_F_PONDEROSA_PINE_LOAD,R_G_GRASS_AREA,R_G_GRASS_LOAD,R_S_CHAPARRAL_AREA,R_S_CHAPARRAL_LOAD,R_S_HEADINGCHAPARRAL_AREA,R_S_HEADINGCHAPARRAL_LOAD,R_S_SAGEBRUSH_AREA,R_S_SAGEBRUSH_LOAD,T_BURN_DAYS,T_WILDLAND_FIRE_USE,T_TOTAL_AREA_ACRES,T_TOTAL_VOLUME_CU_FT,T_COMMENTS,T_FC_ALFALFA_AREA,T_FC_ALFALFA_EA,T_FC_ALFALFA_ERTS,T_FC_ALFALFA_LOAD,T_FC_ALFALFA_PCT,T_FC_AVG_FIELD_CROPS_AREA,T_FC_AVG_FIELD_CROPS_EA,T_FC_AVG_FIELD_CROPS_ERTS,T_FC_AVG_FIELD_CROPS_LOAD,T_FC_AVG_FIELD_CROPS_PCT,T_FC_AVG_ORCHARD_CROPS_AREA,T_FC_AVG_ORCHARD_CROPS_EA,T_FC_AVG_ORCHARD_CROPS_ERTS,T_FC_AVG_ORCHARD_CROPS_LOAD,T_FC_AVG_ORCHARD_CROPS_PCT,T_FC_BARLEY_AREA,T_FC_BARLEY_EA,T_FC_BARLEY_ERTS,T_FC_BARLEY_LOAD,T_FC_BARLEY_PCT,T_FC_CORN_AREA,T_FC_CORN_EA,T_FC_CORN_ERTS,T_FC_CORN_LOAD,T_FC_CORN_PCT,T_FC_COTTON_AREA,T_FC_COTTON_EA,T_FC_COTTON_ERTS,T_FC_COTTON_LOAD,T_FC_COTTON_PCT,T_FC_DITCHES_AREA,T_FC_DITCHES_EA,T_FC_DITCHES_ERTS,T_FC_DITCHES_LOAD,T_FC_DITCHES_PCT,T_FC_GRASS_AREA,T_FC_GRASS_EA,T_FC_GRASS_ERTS,T_FC_GRASS_LOAD,T_FC_GRASS_PCT,T_FC_HAY_AREA,T_FC_HAY_EA,T_FC_HAY_ERTS,T_FC_HAY_LOAD,T_FC_HAY_PCT,T_FC_OATS_AREA,T_FC_OATS_EA,T_FC_OATS_ERTS,T_FC_OATS_LOAD,T_FC_OATS_PCT,T_FC_PEANUTS_AREA,T_FC_PEANUTS_EA,T_FC_PEANUTS_ERTS,T_FC_PEANUTS_LOAD,T_FC_PEANUTS_PCT,T_FC_PECAN_AREA,T_FC_PECAN_EA,T_FC_PECAN_ERTS,T_FC_PECAN_LOAD,T_FC_PECAN_PCT,T_FC_PISTACHIO_AREA,T_FC_PISTACHIO_EA,T_FC_PISTACHIO_ERTS,T_FC_PISTACHIO_LOAD,T_FC_PISTACHIO_PCT,T_FC_SORGHUM_AREA,T_FC_SORGHUM_EA,T_FC_SORGHUM_ERTS,T_FC_SORGHUM_LOAD,T_FC_SORGHUM_PCT,T_FC_WEEDS_AREA,T_FC_WEEDS_EA,T_FC_WEEDS_ERTS,T_FC_WEEDS_LOAD,T_FC_WEEDS_PCT,T_FC_WHEAT_AREA,T_FC_WHEAT_EA,T_FC_WHEAT_ERTS,T_FC_WHEAT_LOAD,T_FC_WHEAT_PCT,T_F_BACKING_PINE_AREA,T_F_BACKING_PINE_EA,T_F_BACKING_PINE_ERTS,T_F_BACKING_PINE_LOAD,T_F_BACKING_PINE_PCT,T_F_DOUGLAS_FIR_AREA,T_F_DOUGLAS_FIR_EA,T_F_DOUGLAS_FIR_ERTS,T_F_DOUGLAS_FIR_LOAD,T_F_DOUGLAS_FIR_PCT,T_F_HARDWOOD_AREA,T_F_HARDWOOD_EA,T_F_HARDWOOD_ERTS,T_F_HARDWOOD_LOAD,T_F_HARDWOOD_PCT,T_F_HEADING_PINE_AREA,T_F_HEADING_PINE_EA,T_F_HEADING_PINE_ERTS,T_F_HEADING_PINE_LOAD,T_F_HEADING_PINE_PCT,T_F_JUNIPER_AREA,T_F_JUNIPER_EA,T_F_JUNIPER_ERTS,T_F_JUNIPER_LOAD,T_F_JUNIPER_PCT,T_F_MIXED_CONIFER_AREA,T_F_MIXED_CONIFER_EA,T_F_MIXED_CONIFER_ERTS,T_F_MIXED_CONIFER_LOAD,T_F_MIXED_CONIFER_PCT,T_F_PONDEROSA_PINE_AREA,T_F_PONDEROSA_PINE_EA,T_F_PONDEROSA_PINE_ERTS,T_F_PONDEROSA_PINE_LOAD,T_F_PONDEROSA_PINE_PCT,T_G_GRASS_AREA,T_G_GRASS_EA,T_G_GRASS_ERTS,T_G_GRASS_LOAD,T_G_GRASS_PCT,T_S_CHAPARRAL_AREA,T_S_CHAPARRAL_EA,T_S_CHAPARRAL_ERTS,T_S_CHAPARRAL_LOAD,T_S_CHAPARRAL_PCT,T_S_HEADINGCHAPARRAL_AREA,T_S_HEADINGCHAPARRAL_EA,T_S_HEADINGCHAPARRAL_ERTS,T_S_HEADINGCHAPARRAL_LOAD,T_S_HEADINGCHAPARRAL_PCT,T_S_SAGEBRUSH_AREA,T_S_SAGEBRUSH_EA,T_S_SAGEBRUSH_ERTS,T_S_SAGEBRUSH_LOAD,T_S_SAGEBRUSH_PCT
1005900,04FIIF0106,SMPII,,Continental,Federal,2004,Forests,"Forest, Forest",6/1/2004,11/30/2004,7500,,,Sierra,60,60000,10000,,,No,This is a fire use fire. All ignition is  natural. Hand ignition will only take place to protect resources and improvements. Fire statred on 6/25 and is 6 acres and will continue to grow unless significant precipotation is received on fire. on 7/7 fire is now 60 acres.,6/30/2004,"Excellent, Good, Very Good",,Door to door visits have been made and flyers have been posted,"c - mosaic, n - burn before litter fall, q - backing fire, r - dry conditions",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,2,,,45000,5,,,,,,,,,20,Yes,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"+ - other, d - removal, r - dry conditions",2,10,,,,,,30,30,"+ - other, c - mosaic, r - dry conditions",3,35,10,10,"+ - other, b - isolate vegs, r - dry conditions",1,85,,,,,,,,,,,,,,,
1006000,05FIIF0011,SMPII,Bureau of Land Management,Rendija/NPS,Federal,2005,Forests,"Forest, Forest, Grass",6/1/2005,8/31/2005,7200,34.94708,-114.14677,Cibola,5,2100,600,,,No,,,"Excellent, Good, Very Good",,,"c - mosaic, l - burn before precipitation, n - burn before litter fall, q - backing fire",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,3.5,,,1450,6,150,0.5,,,,,,,6,No,117,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,117,"a - burn concentrations, c - mosaic, d - removal, f - utilization, j - high moisture in large veg, s - rapid mop-up",2,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006100,05FIIF0119,SMPII,,Lion Den RX,Federal,2005,Forests,"Grass, Shrub",3/1/2005,8/31/2005,,32.57499,-106.53732,Doña Ana,4,11660,7000,,,No,Burn is away from population on the south end of the San Andres NWR. There is no public access to the refuge. Fuel loadings for both the grass and shrub fuel are high estimates,,"Excellent, Fair, Good, Very Good",,"Press release will be issued prior to burn, signs will be put along NASA road, contacts with neighboring agencies/land owners will be made.","c - mosaic, l - burn before precipitation, o - burn before green-up, q - backing fire, r - dry conditions, t - aerial/mass ignition",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6660,1.5,5000,4.5,,,,,4,No,781,0,"All acres are the result of the blackline operation on 6-8 to 6-11. Main aerial ignition was not done due to the high live fuel moisture in the target fuel (pinyon/juniper)By day 6-8= 168 ac, 6-9=321 ac, 6-10= 352 ac, and 6-11= 40 ac.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,610,"o - burn before green-up, r - dry conditions",1.2,98,171,90,"j - high moisture in large veg, r - dry conditions",6.5,90,,,,,,,,,,
1006300,06FIIF0057,SMPII,Bureau of Land Management,Pecos River,Federal,2006,Forests,Shrub,3/1/2006,2/28/2007,2900,32.13778,-104.02556,Eddy,4,1000,500,,,No,,,"Excellent, Fair, Good, Poor, Very Good",,"Press release for local media (newspapers and TV) and notices at Malaga, Loving, and Orla, Texas Post Offices","l - burn before precipitation, o - burn before green-up, r - dry conditions, t - aerial/mass ignition, w - chemical pretreatment",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,11,1,No,550,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,550,"r - dry conditions, w - chemical pretreatment",11,70
1006600,07FIIF0116,SMPII,Bureau of Land Management,Angel Peak Rx,Federal,2007,Forests,Grass,3/1/2007,5/31/2007,6200,36.4875,-107.8851,San Juan,2,950,950,,,No,"I submitted a request to Claudia a couple of weeks ago by means of Fax.  I did not see a project ID.  I am trying again by this method.Thanks,Carlos Murillo",,"Excellent, Good, Very Good",Burning under Fair to Poor ventilation categories,"Notify by means of flyer being sent out to newspaper, San Juan Co. Fire, all oil companies affected by burn, and post on Forest Service and BLM offices. Also, set up signs at designated locations.","c - mosaic, o - burn before green-up",Yes,Self-eduction,Real Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,0.75,,,,,,,5,No,900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,900,"+ - other, c - mosaic, o - burn before green-up",,100,,,,,,,,,,,,,,,
1007000,09FIIF0115,SMPII,,Little McKnight,Federal,2009,Forests,"Forest, Forest",3/1/2009,8/31/2009,7500,,,Grant,5,5469,1000,,,No,,4/3/2009,"Excellent, Fair, Good, Very Good",,"1.  Post ""Prescribed Fire in Progress"" on FSR 152.  Press release in Silver City Daily Press at least one week prior to ignition.3.  Provide burn info. to: Mimbres Store, Mimbres Post Office, and the Lake Roberts    Store.4.  Provide burn details to Forest Supervisor","c - mosaic, o - burn before green-up, t - aerial/mass ignition",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4669,3.2,,,800,6.1,,,,,,,,,7,No,5469,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2969,1600,t - aerial/mass ignition,3.2,50,,,,,,1500,200,t - aerial/mass ignition,6.1,80,1000,600,t - aerial/mass ignition,,100,,,,,,,,,,,,,,,
1007400,10PIIF0055,SMPII,,Lambson Mesa 2,Private,2010,Forests,Forest,9/1/2010,2/28/2011,7400,35.1357,-108.4513,Cibola,14,350,25,,,No,,,"Excellent, Fair, Good, Very Good",,"Phone calls to local residents and fliers put up on public bulletin boards, where feasible.","a - burn concentrations, l - burn before precipitation, r - dry conditions",Yes,Self-eduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,5,,,,,,,,,,,4,No,32,0,Submitted this for Mr. Lambson based on faxed information which he sent to AQB. cps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,"a - burn concentrations, l - burn before precipitation, r - dry conditions",5,100,,,,,,,,,,,,,,,,,,,,,,,,,
1007500,11FIIF0097,SMPII,,Snare Mesa South,Federal,2011,Forests,"Forest, Grass",3/1/2011,2/29/2012,6200,33.3167,-108.9984,Catron,5,6300,600,,,No,,,"Excellent, Fair, Good, Very Good",,"Blue Range Wilderness is 12 miles due north, smoke is not expected to travel in that direction.  Community of Alma and Highway 180 is 5 miles to the east.  Gial Wilderness is 8-10 miles tot he east-south-east, smoke is not expected to travel in this direction.Press releases and postings at local businesses will be done prior to ignition","a - burn concentrations, c - mosaic, d - removal, f - utilization, r - dry conditions",Yes,Federal training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,4.5,,,,,5000,1.1,,,,,,,1,No,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"a - burn concentrations, f - utilization, g - grazing",1,100,,,,,,,,,,,,,,,
1007800,12FIIF0167,SMPII,,Hay Meadows Burn,Federal,2012,Forests,"Grass, Shrub",12/1/2012,2/28/2013,4100,32.35,-105.875,Otero,2,400,200,,,No,"Also burning in T 23S, T 10E, S 36, 1,2.",,"Excellent, Fair, Good, Very Good",,"Area ranchers, local fire departments and emergency services in Otero County, federal adjacent land manager will be notified by Fort Bliss Public Affairs Office","b - isolate vegs, l - burn before precipitation, o - burn before green-up, r - dry conditions",Yes,Self-eduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,0.6,,,,,150,0.9,2,No,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,"+ - other, a - burn concentrations, b - isolate vegs, c - mosaic",,80,,,,,,,,,,,,,,,
1007900,13FIIF0057,SMPII,QUEMADO RANGER DISTRICT,Wallow Roadside Piles,Federal,2013,Forests,Forest,9/1/2013,2/28/2014,7800,33.8591,-108.9931,Catron,5,,,227400,60000,No,,12/26/2012,"Excellent, Fair, Good, Poor, Very Good",,News releases will be posted notifying public of burn information.,p - burn piles or windows,Yes,Self-eduction,,,227400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,No,143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p - burn piles or windows,,1,,,p - burn piles or windows,,1,,,p - burn piles or windows,,1,,,p - burn piles or windows,,1,,,p - burn piles or windows,,1,,,p - burn piles or windows,,1,143,143,p - burn piles or windows,20,95,,,p - burn piles or windows,,1,,,p - burn piles or windows,,1,,,p - burn piles or windows,,1,,,p - burn piles or windows,,1
