PermitID,AgencyName,BurnStartDate,StartTime,BurnEndDate,EndTime,LatDD,LongDD,LocationDesc,BurnType,BurnAmount,BURN_QUANTITY,BURN_UNITS
2021_0036,USDA Forest Service Jarbidge Ranger District,1/11/2021,7:00:00 AM,1/31/2021,11:30:00 PM,40.068,-115.665306,North Cherry Unit,Pile Burn,30%,NA,NA
2021_0036,USDA Forest Service Jarbidge Ranger District,2/1/2021,12:00:00 AM,2/28/2021,11:30:00 PM,40.068,-115.665306,North Cherry Unit,Pile Burn,100%,NA,NA
2021_0037,USDA Forest Service Humboldt-Toiyabe NF,4/14/2021,12:00:00 AM,4/30/2021,11:30:00 PM,41.765806,-115.701485,Big Bend Campground,Pile Burn,100%,NA,NA
2022_0038,USDA Forest Service Humboldt-Toiyabe NF,1/24/2022,12:00:00 AM,1/28/2022,11:30:00 PM,41.877891,-115.246235,Pole Creek Guard Station,Pile Burn,100%,NA,NA
2022_0099,McEwen Mining Nevada Inc,5/5/2022,8:00:00 AM,5/6/2022,5:00:00 PM,39.766257,-116.32828,Gold Bar Mine,Pile Burn,100%,NA,NA
2022_0099,McEwen Mining Nevada Inc,5/6/2022,8:30:00 AM,5/6/2022,11:30:00 PM,39.766257,-116.32828,Gold Bar Mine,Pile Burn,100%,NA,NA
2023_0053,Tahoe Douglas Fire Protection District,3/30/2023,12:00:00 PM,3/31/2023,5:00:00 PM,38.974132,-119.888112,Kingsbury and Surrounding Areas,Pile Burn,1,1,NA
2021_0067,LTBMU,2/11/2021,8:00:00 AM,2/12/2021,4:00:00 PM,39.080467,-119.894362,Secret Aspen GE 26,Pile Burn,2.32,2.32,NA
2021_0066,LTBMU,2/11/2021,9:00:00 AM,2/12/2021,4:00:00 PM,39.081667,-119.889953,Secret Aspen Genoa Peak GE25,Pile Burn,3,3,NA
2021_0032,USDA Forest Service Carson Ranger District,2/8/2021,8:30:00 AM,2/8/2021,3:00:00 PM,38.9967,-119.855,Genoa area,Pile Burn,5,5,NA
2022_0015,USDA Forest Service Carson Ranger District,2/1/2022,8:00:00 AM,2/1/2022,3:00:00 PM,39.1036,-119.883,"Clear Creek area, off Old Clear Creek Road, Carson City",Pile Burn,5,5,NA
2021_0042,USDA Forest Service Humboldt-Toiyabe NF,3/15/2021,12:00:00 AM,4/10/2021,11:30:00 PM,40.693026,-115.476428,Powerhouse Picnic,Broadcast Burn,100%,NA,NA
2021_0042,USDA Forest Service Humboldt-Toiyabe NF,4/13/2021,9:00:00 AM,4/30/2021,11:30:00 PM,40.693026,-115.476428,Powerhouse Picnic,Broadcast Burn,100%,NA,NA
2021_0104,Bureau of Land Management,3/10/2021,9:00:00 AM,3/10/2021,3:00:00 PM,38.575637,-115.637831,"Railroad Valley, Big Well Pond",Broadcast Burn,100,100,NA
2023_0030,USDA Forest Service Carson Ranger District,1/24/2023,12:00:00 AM,1/24/2023,11:30:00 PM,38.9967,-119.855,Genoa area,Pile Burn,5,5,NA
2023_0030,USDA Forest Service Carson Ranger District,1/30/2023,12:00:00 AM,1/30/2023,11:30:00 PM,38.9967,-119.855,Genoa area,Pile Burn,5,5,NA
2022_0015,USDA Forest Service Carson Ranger District,3/8/2022,8:00:00 AM,3/8/2022,3:00:00 PM,39.1036,-119.883,"Clear Creek area, off Old Clear Creek Road, Carson City",Pile Burn,6,6,NA
2021_0031,Us Forest Service,2/2/2021,9:00:00 AM,2/2/2021,3:00:00 PM,38.546087,-119.215236,East Walker,Pile Burn,8,8,NA
2022_0015,USDA Forest Service Carson Ranger District,1/31/2022,8:00:00 AM,1/31/2022,3:30:00 PM,39.1036,-119.883,"Clear Creek area, off Old Clear Creek Road, Carson City",Pile Burn,8,8,NA
2021_0032,USDA Forest Service Carson Ranger District,2/4/2021,9:00:00 AM,2/4/2021,3:30:00 PM,38.9967,-119.855,Genoa area,Pile Burn,10,10,NA
2021_0032,USDA Forest Service Carson Ranger District,2/5/2021,9:00:00 AM,2/5/2021,3:30:00 PM,38.9967,-119.855,Genoa area,Pile Burn,10,10,NA
2022_0029,Bureau of Land Management,1/6/2022,10:00:00 AM,1/6/2022,4:00:00 PM,39.629194,-116.06885,Whistler Mountain,Pile Burn,10,10,NA
2022_0032,Bureau of Land Management,1/6/2022,9:00:00 AM,1/6/2022,4:00:00 PM,39.896333,-116.130021,Sulphur Springs,Pile Burn,10,10,NA
2023_0030,USDA Forest Service Carson Ranger District,1/25/2023,12:00:00 AM,1/27/2023,11:30:00 PM,38.9967,-119.855,Genoa area,Pile Burn,10,10,NA
2022_0042,Bureau of Land Management,1/6/2022,11:00:00 AM,1/6/2022,4:00:00 PM,39.716847,-116.115316,Stinking Springs,Pile Burn,14,14,NA
2021_0031,Us Forest Service,2/8/2021,8:30:00 AM,2/8/2021,3:00:00 PM,38.546087,-119.215236,East Walker,Pile Burn,15,15,NA
2022_0015,USDA Forest Service Carson Ranger District,3/7/2022,8:00:00 AM,3/7/2022,3:00:00 PM,39.1036,-119.883,"Clear Creek area, off Old Clear Creek Road, Carson City",Pile Burn,15,15,NA
2020-0034,Hawthorne Army Depot,12/17/2020,7:00:00 AM,12/31/2020,4:30:00 PM,38.547,-118.654,"Hawthorne Army Depot, Landfill fenceline",Broadcast Burn,0.042 Acres,0.042,acres
2020-0036,Hawthorne Army Depot,3/31/2020,7:00:00 AM,4/2/2020,5:00:00 PM,38.547,-118.654,"Hawthorne Army Depot, ditches and culverts",Broadcast Burn,1 ac,1,acres
2022_0033,BLM Battle Mountain District,1/5/2022,8:30:00 AM,1/5/2022,4:30:00 PM,40.247623,-117.005937,Red Rock Canyon Rd,Pile Burn,15,15,NA
2021_0031,Us Forest Service,2/1/2021,8:30:00 AM,2/1/2021,4:00:00 PM,38.64599,-119.280906,Four Mile Hill,Pile Burn,20,20,NA
2023_0030,USDA Forest Service Carson Ranger District,1/31/2023,12:00:00 AM,2/2/2023,11:30:00 PM,38.9967,-119.855,Genoa area,Pile Burn,20,20,NA
2023_0030,USDA Forest Service Carson Ranger District,2/6/2023,12:00:00 AM,2/9/2023,11:30:00 PM,38.9967,-119.855,Genoa area,Pile Burn,20,20,NA
2023_0030,USDA Forest Service Carson Ranger District,4/10/2023,12:00:00 AM,4/14/2023,11:30:00 PM,38.9967,-119.855,Genoa area,Pile Burn,20,20,NA
2021_0065,LTBMU,2/22/2021,8:00:00 AM,2/26/2021,4:00:00 PM,39.165908,-119.92709,Bliss 6,Pile Burn,30,30,NA
2022_0004,USFS LTBMU,2/14/2022,8:00:00 AM,2/18/2022,4:30:00 PM,39.141034,-119.933351,Bliss 10 HT,Pile Burn,50,50,NA
2022_0013,USFS LTBMU,2/14/2022,8:00:00 AM,2/18/2022,4:30:00 PM,39.141034,-119.933351,Bliss 1010,Pile Burn,50,50,NA
2022_0014,USFS LTBMU,2/7/2022,8:00:00 AM,2/11/2022,4:30:00 PM,39.135509,-119.940226,Bliss 2010,Pile Burn,50,50,NA
2022_0049,USFS LTBMU,2/14/2022,9:00:00 AM,2/18/2022,4:30:00 PM,39.142703,-119.925225,Secret 2006,Pile Burn,50,50,NA
2021_0001,Other entity,2/23/2021,7:00:00 AM,2/23/2021,6:00:00 PM,39.125417,-119.127931,FT Churchill Station Cooling Ponds,Broadcast Burn,1 acre,1,acres
2021_0001,Other entity,2/24/2021,7:00:00 AM,2/24/2021,6:00:00 PM,39.125417,-119.127931,FT Churchill Station Cooling Ponds,Broadcast Burn,1 acre,1,acres
2021_0001,Other entity,2/26/2021,7:00:00 AM,2/26/2021,6:00:00 PM,39.125417,-119.127931,FT Churchill Station Cooling Ponds,Broadcast Burn,1 acre,1,acres
2021_0001,Other entity,3/2/2021,7:00:00 AM,3/2/2021,6:00:00 PM,39.125417,-119.127931,FT Churchill Station Cooling Ponds,Broadcast Burn,1 acre,1,acres
2021_0001,Other entity,3/3/2021,7:00:00 AM,3/3/2021,6:00:00 PM,39.125417,-119.127931,FT Churchill Station Cooling Ponds,Broadcast Burn,1 acre,1,acres
2021_0001,Other entity,3/4/2021,7:00:00 AM,3/4/2021,6:00:00 PM,39.125417,-119.127931,FT Churchill Station Cooling Ponds,Broadcast Burn,1 acre,1,acres
2021_0001,Other entity,3/5/2021,7:00:00 AM,3/5/2021,6:00:00 PM,39.125417,-119.127931,FT Churchill Station Cooling Ponds,Broadcast Burn,1 acre,1,acres
2021_0001,Other entity,3/8/2021,7:00:00 AM,3/8/2021,6:00:00 PM,39.125417,-119.127931,FT Churchill Station Cooling Ponds,Broadcast Burn,1 acre,1,acres
