Managed Area Name,Burn Unit Name,Latitude,Longitude,Start Date,End Date,Type of Burn,Total Acres of Burn,TNC Acres Burned,Other Landowner,Rural or Urban,Burn Lead,StateName,BurnComplexity
Ottawa Bluffs,Brushpiles,44.36376,-93.93421,1/3/2015,1/3/2015,Non-broadcast,,,,Rural,"[""TNC""]",Minnesota,Low
CFL,Black Creek Fort Perry Brown Brothers,32.58164133,-84.45308778,1/6/2015,1/6/2015,Broadcast,223,223,,Rural,"[""TNC""]",Georgia,Medium
Moody Forest Natural Area,1 east,31.91751941,-82.32885602,1/7/2015,1/7/2015,Broadcast,70,70,,Rural,"[""TNC""]",Georgia,Medium
Sandylands Preserve,Post Oak,30.393,-94.259,1/7/2015,1/7/2015,Broadcast,240,240,,Rural,"[""TNC""]",Texas,Medium
Mad Island Preserve,Lodge West,28.645,-96.105,1/8/2015,1/8/2015,Broadcast,10,10,,Rural,"[""TNC""]",Texas,Low
Mad Island Preserve,East Shell Lake,28.655,-96.077,1/8/2015,1/8/2015,Broadcast,100,100,,Rural,"[""TNC""]",Texas,Medium
Mad Island Preserve,Middle Unit,28.662,-96.083,1/8/2015,1/8/2015,Broadcast,100,100,,Rural,"[""TNC""]",Texas,Medium
Moody Forest Natural Area,1 west,31.91693657,-82.33364108,1/8/2015,1/8/2015,Broadcast,110,110,,Rural,"[""TNC""]",Georgia,Medium
Broxton Rocks Preserve,"1,16 west",31.72640772,-82.85420421,1/9/2015,1/9/2015,Broadcast,87,53,"[""State/Local Government""]",Rural,"[""TNC""]",Georgia,Medium
Broxton Rocks Preserve,"3,4,6,7,8,9,10,11",31.74005864,-82.86044839,1/10/2015,1/10/2015,Broadcast,455,455,,Rural,"[""TNC""]",Georgia,Medium
Broxton Rocks Preserve,"1-16 east, 15-gate",31.72606643,-82.85249618,1/11/2015,1/11/2015,Broadcast,41,11,"[""State/Local Government""]",Rural,"[""TNC""]",Georgia,Medium
Mike's Pond,MP-4,30.55467472,-88.75796225,1/14/2015,1/14/2015,Broadcast,41,38,,Rural,"[""TNC""]",Mississippi,Low
Talisheek,"T-9, 10, 11",30.59577127,-89.91868986,1/14/2015,1/14/2015,Broadcast,206,206,,Rural,"[""TNC""]",Louisiana,Low
Hart Prairie Preserve,Slash pile burn,35.353147,-111.735533,1/14/2015,1/14/2015,Non-broadcast,,,,Rural,"[""TNC""]",Arizona,Low
Maytag 1,Brushpiles,41.37,-91.32,1/15/2015,1/15/2015,Non-broadcast,,,,Rural,"[""TNC""]",Iowa,Low
Ohoopee Dunes Preserve,3,32.52140707,-82.44279626,1/16/2015,1/16/2015,Broadcast,110,110,,Rural,"[""TNC""]",Georgia,Medium
Prairie Ridge Preserve,North,34.1026,-93.1657,1/19/2015,1/19/2015,Broadcast,136,136,,Rural,"[""TNC""]",Arkansas,Medium
Mad Island Preserve,Lodge/Middle/Inhold,28.671,-96.089,1/19/2015,1/19/2015,Broadcast,192,187,"[""Private""]",Rural,"[""TNC""]",Texas,Medium
Green Swamp,Little Island,34.082544,-78.298848,1/20/2015,1/20/2015,Broadcast,25,25,,Rural,"[""TNC""]",North Carolina,Medium
Prairie Ridge Preserve,Northwest,34.1068,-93.169,1/20/2015,1/20/2015,Broadcast,30,30,,Rural,"[""TNC""]",Arkansas,Medium
Green Swamp,Shoestring,34.090387,-78.292689,1/20/2015,1/20/2015,Broadcast,30,30,,Rural,"[""TNC""]",North Carolina,Medium
Blueberry Hill,Lost 80,32.4652,-86.5847,1/20/2015,1/20/2015,Broadcast,80,80,,Rural,"[""TNC""]",Alabama,Low
"Pine Knot, CFL ACUB",Wolf Waller,32.48239029,-84.58749059,1/21/2015,1/21/2015,Broadcast,94,94,,Rural,"[""TNC""]",Georgia,Medium
McLean Savanna,Allen,34.45157,-77.75734,1/21/2015,1/21/2015,Broadcast,320,320,,Rural,"[""TNC""]",North Carolina,Medium
Old Fort Bayou,OFB-13,30.44472296,-88.745388,1/22/2015,1/22/2015,Broadcast,29,29,,Rural,"[""TNC""]",Mississippi,Low
"Juniper, CFL ACUB",Little Saunders 2,32.49918623,-84.62130788,1/22/2015,1/22/2015,Broadcast,110,110,,Rural,"[""TNC""]",Georgia,Medium
Old Fort Bayou,OFB-1,30.46849018,-88.74501561,1/26/2015,1/26/2015,Broadcast,156,156,,Rural,"[""TNC""]",Mississippi,Low
Mount Vernon Prairie,South Half,37.1384,-93.7884,1/27/2015,1/27/2015,Broadcast,20,20,,Rural,"[""Government Agency""]",Missouri,Low
Old Fort Bayou,"OFB-10, 12",30.44235053,-88.72673849,1/27/2015,1/27/2015,Broadcast,132,132,,Rural,"[""TNC""]",Mississippi,Low
Splinter Hill Bog Preserve,"1A,1B, 1C-N",31.0124,-87.4114,1/27/2015,1/27/2015,Broadcast,168,166,"[""State/Local Government""]",Rural,"[""TNC""]",Alabama,Low
Hart Prairie Preserve,Slash pile burn,35.353147,-111.735533,1/27/2015,1/27/2015,Non-broadcast,,,,Rural,"[""TNC""]",Arizona,Low
Splinter Hill Bog Preseve,Portion 4B,31.0039,-87.413,1/28/2015,1/28/2015,Broadcast,20,20,,Rural,"[""TNC""]",Alabama,Low
Calloway Forest,29,35.040653,-79.26603,1/28/2015,1/28/2015,Broadcast,118,118,,Rural,"[""TNC""]",North Carolina,Low
Indian Boundary Prairies,Paintbrush - NE Unit,41.610477,-87.701743,1/29/2015,1/29/2015,Broadcast,3.5,3.5,,Urban,"[""TNC; Government Agency""]",Illinois,Low
Betty and Crawford Rainwater Perdido River Preserve,3-Jun,30.2827,-87.245,1/29/2015,1/29/2015,Broadcast,36,36,,Rural,"[""TNC""]",Florida,Low
Moody Forest Natural Area,10 north,31.90637208,-82.29875091,1/29/2015,1/29/2015,Broadcast,55,55,,Rural,"[""TNC""]",Georgia,Medium
Calloway Forest,31,35.03644,-79.263284,1/29/2015,1/29/2015,Broadcast,69,69,,Rural,"[""TNC""]",North Carolina,Low
Old Fort Bayou,OFB-2,30.45996499,-88.7442722,1/29/2015,1/29/2015,Broadcast,217,217,,Rural,"[""TNC""]",Mississippi,Low
Lake Ramsay Complex,"WMA-3, LR-9",30.52330359,-90.16120447,1/30/2015,1/30/2015,Broadcast,2,1,"[""State/Local Government""]",Urban,"[""TNC""]",Louisiana,Low
Konza Prairie,WA,39.071,-96.5742,1/30/2015,1/30/2015,Broadcast,28.72,28.72,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,WB,39.0706,-96.5653,1/30/2015,1/30/2015,Broadcast,30.46,30.46,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Angola Creek Flatwoods,"1, 2 & 6",34.710039,-77.704975,2/1/2015,2/1/2015,Broadcast,60,60,,Rural,"[""TNC""]",North Carolina,Medium
Sandy Island,Unit 9,33.538482,-79.145908,2/4/2015,2/4/2015,Broadcast,179,179,,Rural,"[""TNC""]",South Carolina,Medium
Bibb County Glades Preserve,5-Jul,33.0249,-87.0154,2/5/2015,2/5/2015,Broadcast,65,65,,Rural,"[""TNC""]",Alabama,Low
