name,burn_date,agency,unit,total_acres,black_acres,clearing_index,tons_pm,tons_voc,tons_nox,tons_elC,tons_orC,no_burn,reason_no_burn,approval_type,lat,lng,county,elevation,airshed,class1,nonattainment,fuel_types,added_on,start_time,end_time,piles,public_interest,daytime,nighttime,status,Pile Acres,FM1 Grass Acres,FM2 Timber Und. Acres,FM3 Tall Grass Acres,FM4 Low Brush Acres,FM5 Tall Brush Acres,FM6 PJ Acres,FM8 Timber Litter Acres,FM9 Hard. Litter Acres,FM10 Timber Acres,FM11 Slash Acres
Heber-Kamas Pile Burn,6/22/2023,USFS,UWC NF East Zone,50,1,1000,2.2,0.34,0.03,0.02,0.04,FALSE,,,40.582,-110.984,Wasatch,9420,6 (Wasatch Back),FALSE,FALSE,"[""Slash"",""Hand Piles"",""Machine Piles""]",6/22/2023,11:00,16:00,,Some,moderate to light initially. good lift dissipating more to west today. ,,Approved,1,,,,,,,,,,
Heber-Kamas Pile Burn,6/21/2023,USFS,UWC NF East Zone,75,2,1000,2.2,0.68,0.06,0.03,0.08,FALSE,,,40.582,-110.984,Wasatch,9420,6 (Wasatch Back),FALSE,FALSE,"[""Slash"",""Hand Piles"",""Machine Piles""]",6/22/2023,12:00,17:00,,Some,light wispy- initially rising 300-500 feet then dissipating to the north. increased in the afternoon.,n/a,Approved,2,,,,,,,,,,
Heber-Kamas Pile Burn,6/20/2023,USFS,UWC NF East Zone,45,3,1000,2.9,1.02,0.08,0.05,0.12,FALSE,,,40.582,-110.984,Wasatch,9420,6 (Wasatch Back),FALSE,FALSE,"[""Slash"",""Hand Piles"",""Machine Piles""]",6/22/2023,12:00,16:00,,None,light white smoke dispersing to the east,n/a,Approved,3,,,,,,,,,,
South Beaver RX 2022,,USFS,Fishlake NF Beaver,,0,,0,0,0,0,0,TRUE,Fuel conditions not favorable,,38.182,-112.476,Beaver,8690,2 (S. West Desert),FALSE,FALSE,"[""Grass"",""Brush"",""Timber"",""Timber Litter""]",6/20/2023,,,,,,,Approved,,,,,,,,,,,
Sawyer Point,,USFS,Dixie NF Cedar City,,0,,0,0,0,0,0,TRUE,Site access issues,,37.536,-112.52,Iron,7090,"16 - Above 6,500 feet",FALSE,FALSE,"[""Light Slash""]",6/15/2023,,,,,,,Approved,,,,,,,,,,,
Burnt Beaver Rx,,USFS,UWC NF East Zone,,0,,0,0,0,0,0,TRUE,Weather not favorable,,40.897,-110.086,Summit,6500,"16 - Above 6,500 feet",FALSE,FALSE,"[""Light Slash""]",6/13/2023,,,,,,,Approved,,,,,,,,,,,
Burnt Beaver Rx,6/11/2023,USFS,UWC NF East Zone,25,10,1000,1.46,8.63,0.7,0.43,1.03,FALSE,,,40.897,-110.086,Summit,6500,"16 - Above 6,500 feet",FALSE,FALSE,"[""Light Slash""]",6/12/2023,11:00,18:00,,Some,"Light smoke, down slope, 50 feet off tree tops",,Approved,,,,,,,,,,10,
Burnt Beaver Rx,6/10/2023,USFS,UWC NF East Zone,25,10,800,1.46,8.63,0.7,0.43,1.03,FALSE,,,40.897,-110.086,Summit,6500,"16 - Above 6,500 feet",FALSE,FALSE,"[""Light Slash""]",6/11/2023,11:00,17:00,,Some,"Light grey, variable directions due to thunderstorms",,Approved,,,,,,,,,,10,
Burnt Beaver Rx,6/9/2023,USFS,UWC NF East Zone,40,5,1000,0.73,4.32,0.35,0.21,0.52,FALSE,,,40.897,-110.086,Summit,6500,"16 - Above 6,500 feet",FALSE,FALSE,"[""Light Slash""]",6/10/2023,12:00,17:00,,Some,Light white smoke. No higher then 50 ft off tree tops ,,Approved,,,,,,,,,,5,
Burnt Beaver Rx,6/6/2023,USFS,UWC NF East Zone,,0,,0,0,0,0,0,TRUE,Weather not favorable,,40.897,-110.086,Summit,6500,"16 - Above 6,500 feet",FALSE,FALSE,"[""Light Slash""]",6/8/2023,,,,,,,Approved,,,,,,,,,,,
Burnt Beaver Rx,6/7/2023,USFS,UWC NF East Zone,50,10,1000,1.46,8.63,0.7,0.43,1.03,FALSE,,,40.897,-110.086,Summit,6500,"16 - Above 6,500 feet",FALSE,FALSE,"[""Light Slash""]",6/8/2023,13:30,17:30,,Some,Light grey and white smoke. ,,Approved,,,,,,,,,,10,
Sawyer Point,6/5/2023,USFS,Dixie NF Cedar City,113,113,1000,16.53,97.56,7.94,4.84,11.69,FALSE,,,37.543,-112.534,Garfield,7480,13 (Sevier R.),FALSE,FALSE,"[""Light Slash""]",6/5/2023,10:00,13:00,,Some,Lifted 2000 feet above canopy dissipated to the NW,Pools over burn unit,Approved,,,,,,,,,,113,
Sawyer Point,6/4/2023,USFS,Dixie NF Cedar City,55,55,1000,8.05,47.48,3.87,2.35,5.69,FALSE,,,37.543,-112.534,Garfield,7480,13 (Sevier R.),FALSE,FALSE,"[""Light Slash""]",6/5/2023,10:00,18:00,,Some,lifted 1500 ft above the canopy of the trees then dispersed in all directions multiple shifting winds throughout the day. smoke never trailed off in one direction.,pooled on burn unit for the most part. ,Approved,,,,,,,,,,55,
West Zone Piles RX,5/25/2023,USFS,Ashley NF West Zone,1,1,1000,0.06,0.34,0.03,0.02,0.04,FALSE,,,39.885,-110.741,Duchesne,9280,9 (Uinta Basin),FALSE,FALSE,"[""Hand Piles"",""Machine Piles""]",6/4/2023,8:30,9:00,,None,100 ft dissipated,none,Approved,1,,,,,,,,,,
Sawyer Point,6/3/2023,USFS,Dixie NF Cedar City,23,23,1000,3.36,19.86,1.62,0.98,2.38,FALSE,,,37.543,-112.534,Garfield,7480,13 (Sevier R.),FALSE,FALSE,"[""Light Slash""]",6/4/2023,10:00,14:30,,None,Lifted 200 feet and dissipated to the N ,N/A,Approved,0,,,,,,,,,23,
Sawyer Point,6/2/2023,USFS,Dixie NF Cedar City,131,131,1000,19.16,113.1,9.21,5.61,13.55,FALSE,,,37.543,-112.534,Garfield,7480,13 (Sevier R.),FALSE,FALSE,"[""Light Slash""]",6/3/2023,10:30,18:00,,Some,lifted 500 feet dissipated to the east south east ,N/A,Approved,,,,,,,,,,131,
North Zone Timber Piles,6/1/2023,USFS,Manti-La Sal North Zone,2,2,1000,0.12,0.68,0.06,0.03,0.08,FALSE,,,39.362,-111.458,Sanpete,9060,10 (San Pitch R.),FALSE,FALSE,"[""Machine Piles""]",6/1/2023,10:00,16:30,,None,smoke went up canyon to the north north east most the day light gray in color,,Approved,2,,,,,,,,,,
North Zone Timber Piles,5/31/2023,USFS,Manti-La Sal North Zone,50,50,1000,2.88,17.01,1.38,0.84,2.04,FALSE,,,39.362,-111.458,Sanpete,9060,10 (San Pitch R.),FALSE,FALSE,"[""Machine Piles""]",6/1/2023,9:30,16:30,,Some,Smoke lifted to the north east then became more north after 1200,,Approved,50,,,,,,,,,,
South Beaver RX 2022,5/31/2023,USFS,Fishlake NF Beaver,10,10,1000,0.85,5,0.41,0.25,0.6,FALSE,,,38.182,-112.476,Beaver,8690,2 (S. West Desert),FALSE,FALSE,"[""Grass"",""Brush"",""Timber"",""Timber Litter""]",6/1/2023,12:30,18:30,,None,Excellent and direction was dependent on where the thunderheads passed over.,None,Approved,,,,,,,,10,,,
South Beaver RX 2022,5/30/2023,USFS,Fishlake NF Beaver,10,10,1000,0.85,5,0.41,0.25,0.6,FALSE,,,38.182,-112.476,Beaver,8690,2 (S. West Desert),FALSE,FALSE,"[""Grass"",""Brush"",""Timber"",""Timber Litter""]",6/1/2023,12:00,16:30,,None,Excellent,None,Approved,,,,,,,,10,,,
Grouse Creek Piles,,State,Bear River Area,,0,,0,0,0,0,0,TRUE,Weather not favorable,,41.681,-113.818,Box Elder,5200,1 - N. West Desert,FALSE,TRUE,"[""Light Slash""]",6/1/2023,,,,,,,Approved,,,,,,,,,,,
Little Sahara ,,BLM,West Desert District,,0,,0,0,0,0,0,TRUE,Not top priority,,39.726,-112.307,Juab,5220,8 (S. Wasatch Front),FALSE,FALSE,"[""Other""]",5/30/2023,,,,,,,Approved,,,,,,,,,,,
South Beaver RX 2022,5/29/2023,USFS,Fishlake NF Beaver,0,0,1000,0,0,0,0,0,FALSE,,,38.182,-112.476,Beaver,8690,2 (S. West Desert),FALSE,FALSE,"[""Grass"",""Brush"",""Timber"",""Timber Litter""]",5/30/2023,12:00,18:30,,None,Excellent clearing,Little to None,Approved,,,,,,,,,,,
South Beaver RX 2022,5/28/2023,USFS,Fishlake NF Beaver,20,10,1000,0.85,5,0.41,0.25,0.6,FALSE,,,38.182,-112.476,Beaver,8690,2 (S. West Desert),FALSE,FALSE,"[""Grass"",""Brush"",""Timber"",""Timber Litter""]",5/29/2023,12:30,18:30,,None,"Excellent, dispersed high and to thee north north east.  A little stronger winds, and dryer fuels are helping.","some down canyon drift, no impact to any towns or communities.",Approved,,,,,,,,10,,,
South Beaver RX 2022,5/27/2023,USFS,Fishlake NF Beaver,0,1,1000,0.08,0.5,0.04,0.02,0.06,FALSE,,,38.182,-112.476,Beaver,8690,2 (S. West Desert),FALSE,FALSE,"[""Grass"",""Brush"",""Timber"",""Timber Litter""]",5/29/2023,12:30,18:30,,None,excellent dispersion,some downhill drift,Approved,,,,,,,,1,,,
South Beaver RX 2022,5/26/2023,USFS,Fishlake NF Beaver,40,40,1000,5.85,34.53,2.81,1.71,4.14,FALSE,,,38.182,-112.476,Beaver,8690,2 (S. West Desert),FALSE,FALSE,"[""Grass,Brush,Timber,Timber Litter""]",5/27/2023,12:30,19:00,,None,Dispersed very well into the clouds.  Depending on how and where the thunder cells passed the burn site would dictate the smoke direction.  The general smoke direction was east north east.,Down slope settling very little making it all the way to the valley bottoms.,Approved,,,,,,,,,,40,
South Beaver RX 2022,5/25/2023,USFS,Fishlake NF Beaver,40,12,1000,1.76,10.36,0.84,0.51,1.24,FALSE,,,38.182,-112.476,Beaver,8690,2 (S. West Desert),FALSE,FALSE,"[""Grass"",""Brush"",""Timber"",""Timber Litter""]",5/26/2023,12:00,19:30,,Some,"Variable wind direction due to thunder cells, smoke dispersed very well","Some down slope movement, nothing too terrible due to the small size of the burn area.",Approved,,,,,,,,,,12,
North Zone Timber Piles,5/25/2023,USFS,Manti-La Sal North Zone,35,35,1000,2.02,11.91,0.97,0.59,1.43,FALSE,,,39.364,-111.458,Sanpete,9090,10 (San Pitch R.),FALSE,FALSE,"[""Machine Piles""]",5/25/2023,9:30,15:30,,None,Smoke lifted to the north east light gray in color.,,Approved,35,,,,,,,,,,
South Beaver RX 2022,,USFS,Fishlake NF Beaver,,0,,0,0,0,0,0,TRUE,Weather not favorable,,38.231,-112.485,Beaver,8920,2 (S. West Desert),FALSE,FALSE,"[""Grass"",""Brush"",""Timber"",""Timber Litter""]",5/23/2023,,,,,,,Approved,,,,,,,,,,,
D1 Pondo,,USFS,Ashley NF East Zone,,0,,0,0,0,0,0,TRUE,Other,,40.886,-109.646,Daggett,7640,7 (N. Slope Uintas),FALSE,FALSE,"[""Grass"",""Brush"",""Timber""]",5/23/2023,,,,,,,Approved,,,,,,,,,,,
Summit Park Pile Burn,5/16/2023,LPE,Local or Private Entity,2,2,1057,0.08,0.02,0.06,0.03,0.08,FALSE,,,40.742,-111.621,Summit,7550,6 (Wasatch Back),FALSE,FALSE,"[""Timber,Hand Piles""]",5/22/2023,9:30,15:00,,Some,Smoke rose to 500' and dispersed to the east.,N/A,Approved,2,,,,,,,,,,
Summit Park Pile Burn,5/12/2023,LPE,Local or Private Entity,1,2,638,0.06,0.02,0.06,0.03,0.08,FALSE,,,40.742,-111.621,Summit,7550,6 (Wasatch Back),FALSE,FALSE,"[""Timber"",""Hand Piles""]",5/22/2023,9:30,14:30,,Some,Minimal smoke rose to 400' and dispersed to southeast,N/A,Approved,2,,,,,,,,,,
Summit Park Pile Burn,5/11/2023,LPE,Local or Private Entity,2,2,960,0.08,0.02,0.06,0.03,0.08,FALSE,,,40.742,-111.621,Summit,7550,6 (Wasatch Back),FALSE,FALSE,"[""Timber"",""Hand Piles""]",5/22/2023,9:30,14:30,,A Lot,Smoke rose to 500' and dispersed to the south,N/A,Approved,2,,,,,,,,,,
The Enclave HOA Pile Burn,5/18/2023,LPE,Local or Private Entity,1,1,1481,0.03,0.01,0.03,0.02,0.04,FALSE,,,40.699,-111.56,Summit,6900,"16 - Above 6,500 feet",FALSE,FALSE,"[""Timber"",""Hand Piles""]",5/22/2023,9:00,13:00,,None,Smoke rose to 600' and dispersed to southeast,,Approved,1,,,,,,,,,,
The Enclave HOA Pile Burn,5/15/2023,LPE,Local or Private Entity,2,2,1537,0.15,0.04,0.06,0.03,0.08,FALSE,,,40.699,-111.56,Summit,6900,"16 - Above 6,500 feet",FALSE,FALSE,"[""Timber"",""Hand Piles""]",5/22/2023,9:00,14:00,,Some,Smoke rose to 700' and transported north. ,N/A,Approved,2,,,,,,,,,,
The Enclave HOA Pile Burn,5/12/2023,LPE,Local or Private Entity,2,2,615,0.05,0.01,0.06,0.03,0.08,FALSE,,,40.699,-111.56,Summit,6900,"16 - Above 6,500 feet",FALSE,FALSE,"[""Timber"",""Hand Piles""]",5/22/2023,9:00,14:00,,Some,Good lift to 600' and transporting to the south,N/A,Approved,2,,,,,,,,,,
Pinebrook HOA Pile Burn,,LPE,Local or Private Entity,,0,,0,0,0,0,0,TRUE,Fuel conditions not favorable,,40.737,-111.567,Summit,6630,6 (Wasatch Back),FALSE,FALSE,"[""Hand Piles""]",5/22/2023,,,,,,,Approved,,,,,,,,,,,
Park City Municipal Open Space,,LPE,Local or Private Entity,,0,,0,0,0,0,0,TRUE,Other,,40.646,-111.501,Summit,7200,"16 - Above 6,500 feet",FALSE,FALSE,"[""Hand Piles""]",5/22/2023,,,,,,,Approved,,,,,,,,,,,
D1 Pondo,5/21/2023,USFS,Ashley NF East Zone,189,80,800,2.99,17.64,1.44,0.87,2.11,FALSE,,,40.886,-109.646,Daggett,7640,7 (N. Slope Uintas),FALSE,FALSE,"[""Grass"",""Brush"",""Timber""]",5/22/2023,10:30,15:00,,Some,Light smoke with occasionally dark smoke raising to 1000ft agl. ,,Approved,,,80,,,,,,,,
Willard Bay State Park,,State,Bear River Area,,0,,0,0,0,0,0,TRUE,Weather not favorable,,41.422,-112.074,Box Elder,4200,4 (Cache&#x2F;Bear R.),FALSE,FALSE,"[""Short Grass""]",5/22/2023,,,,,,,Approved,,,,,,,,,,,
Evanston-Mountain View Pile Burn,5/21/2023,USFS,UWC NF East Zone,10,1,550,0.06,0.34,0.03,0.02,0.04,FALSE,,,40.922,-110.088,Summit,8960,7 (N. Slope Uintas),FALSE,FALSE,"[""Slash,Hand Piles,Machine Piles""]",5/21/2023,9:00,12:30,,None,Light White smoke drifting to the S,NA,Approved,1,,,,,,,,,,
D1 Pondo,5/20/2023,USFS,Ashley NF East Zone,150,150,700,5.6,33.08,2.69,1.64,3.96,FALSE,,,40.886,-109.646,Daggett,7640,7 (N. Slope Uintas),FALSE,FALSE,"[""Grass"",""Brush"",""Timber""]",5/21/2023,10:30,18:00,,Some,Light smoke with occasionally dark smoke raising up 1000ft agl ,,Approved,,,150,,,,,,,,
Evanston-Mountain View Pile Burn,5/19/2023,USFS,UWC NF East Zone,15,2,550,0.12,0.68,0.06,0.03,0.08,FALSE,,,40.922,-110.088,Summit,8960,7 (N. Slope Uintas),FALSE,FALSE,"[""Slash,Hand Piles,Machine Piles""]",5/21/2023,12:30,14:30,,None,Light white smoke drifting to the SSW,NA,Approved,2,,,,,,,,,,
Evanston-Mountain View Pile Burn,5/20/2023,USFS,UWC NF East Zone,10,1,550,0.06,0.34,0.03,0.02,0.04,FALSE,,,40.922,-110.088,Summit,8960,7 (N. Slope Uintas),FALSE,FALSE,"[""Slash"",""Hand Piles"",""Machine Piles""]",5/21/2023,11:30,15:30,,None,"Light Gray in color, clearing above 500ft and dispersing to the SE.",,Approved,1,,,,,,,,,,
