name,acres,agency,unit,type,lat,lng,elevation,airshed,county,nonattainment,class1,de_minimis,tons_pm,models,has_plan,receptors,fuel_types,ignition_methods,objectives,erts,added_on
Ouray NWR comprehensive burn plan,11987,FWS,Rocky/Basin Refuges,Broadcast,40.162,-109.597,4660,9 (Uinta Basin),Uintah,TRUE,FALSE,Sometimes,5,"[""BlueSky""]",TRUE,"Vernal, Pelican lake, Randlett","[""Wetland Vegetation""]","[""Drip Torch"",""PSD"",""Marshmaster""]","[""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)""]","[""Reduce Area Burned"",""Reduce Fuel Load"",""Schedule Burning Before New Fuels Appear""]",4/27/2023
Bicknell Bottoms diminimus ,5,State,Central Area,Broadcast,38.297,-111.532,6960,12 (Upper Colo. R.),Wayne,FALSE,FALSE,Yes,0.01,"[""FOFEM""]",TRUE,Bicknell Capital Reef,"[""Grass""]","[""Drip Torch""]",[],"[""Other"",""Reduce Area Burned""]",4/11/2023
Mud Springs,7922,USFS,Dixie NF Powell,Broadcast,37.728,-112.247,7870,13 (Sevier R.),Garfield,FALSE,FALSE,Sometimes,74.44,"[""FOFEM""]",TRUE,"Bryce Canyon NP, Bryce Canyon Airport, City of Tropic, Bryce Canyon City, Antimony, Panguitch","[""Timber"",""Slash""]","[""Drip Torch"",""PSD""]",[],"[""Increase Combustion Efficiency"",""Reduce Area Burned""]",4/7/2023
Bicknell Bottoms,150,State,Central Area,Broadcast,38.312,-111.537,6890,12 (Upper Colo. R.),Wayne,FALSE,FALSE,Sometimes,0.1,"[""FOFEM""]",TRUE,"Town of Bicknell, Town of Teasdale, Town of Torrey, Town of Lyman, Capital Reef National Park","[""Grass""]","[""Drip Torch"",""Marshmaster""]",[],"[""Wildlife Habitat Improvement"",""Reduce Fuel Consumed""]",3/27/2023
Bauer Biochar Rx,1,State,Wasatch Front Area,Piles,40.471,-112.361,4950,1 (N. West Desert),Tooele,TRUE,FALSE,Yes,2.61,"[""Pile Calculator""]",TRUE,"Tooele City, Stockton Town","[""Slash""]","[""Drip Torch""]","[""Fuel Reduction (Activity Fuels)"",""Other""]","[""Increase Combustion Efficiency""]",3/22/2023
Whitney Bear River,9728,USFS,UWC NF East Zone,Broadcast,40.895,-110.771,9610,7 (N. Slope Uintas),Summit,FALSE,FALSE,Sometimes,2543.07,"[""BlueSky"",""Fuel and Fire Tools""]",TRUE,"Mirror Lake Highway, Evanston, I80, Christmas Meadow Summer Homes, Cache Valley, Toole Valley, Box Elder County Front Range, Utah County Front Range, Salt Lake County, Weber County Front Range","[""Grass"",""Brush"",""Timber"",""Slash""]","[""Drip Torch"",""Helitorch"",""PSD""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fuel Reduction (Activity Fuels)"",""Property Protection"",""Project Maintenance"",""Site Preparation"",""Stand Improvement""]","[""Increase Combustion Efficiency"",""Reduce Area Burned"",""Reduce Fuel Consumed""]",3/21/2023
South Zone Piles - Mill Creek Canyon,50,USFS,UWC NF South Zone,Piles,40.71,-111.69,6820,8 (S. Wasatch Front),Salt Lake,TRUE,FALSE,Sometimes,1.77,"[""Pile Calculator""]",TRUE,"Firs Recreational Residences, Porter Fork Recreational Residences, Log Haven & Mill Creek Inn Restaurants, Camp Tracy Scout Camp, Lamb's Canyon Residences, Mount Aire Residences, I-80 in Parley's Canyon, Summit Park, Pinebrook, Snyderville Basin, Millcreek City, Holladay City, eastern Salt Lake Valley","[""Hand Piles""]","[""Drip Torch"",""Propane Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency""]",3/10/2023
Ray Mesa ,500,BLM,Canyon Country District,Broadcast,38.307,-109.08,7320,15 (San Juan R.),San Juan,FALSE,FALSE,Sometimes,101.58,"[""BlueSky""]",TRUE,"La sal, and old La sal ","[""Grass"",""Brush"",""Timber"",""Timber Litter""]","[""Drip Torch"",""PSD""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Project Maintenance"",""Stand Improvement""]","[""Reduce Area Burned"",""Reduce Fuel Consumed"",""Schedule Burning Before New Fuels Appear""]",3/1/2023
Moab Admin broadcast burn ,150,BLM,Canyon Country District,Broadcast,38.477,-109.427,5050,12 (Upper Colo. R.),San Juan,FALSE,FALSE,Sometimes,363.3819,"[""BlueSky""]",TRUE,All of those that fall within canyon country district ,"[""Grass"",""Brush"",""Timber"",""Pinyon-Juniper"",""Timber Litter"",""Slash"",""Hardwood"",""Wetland Vegetation""]","[""Drip Torch"",""PSD"",""Propane Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Health &#x2F; Insect Control"",""Historical &#x2F; Cultural Maintenance"",""Property Protection"",""Project Maintenance"",""Site Preparation"",""Veg Type Manipulation"",""Stand Improvement""]","[""Reduce Area Burned"",""Reduce Fuel Consumed"",""Schedule Burning Before New Fuels Appear""]",3/1/2023
Canyon Country programmatic pile burn  ,500,BLM,Canyon Country District,Piles,38.48,-109.423,5050,12 (Upper Colo. R.),San Juan,FALSE,FALSE,Sometimes,363.3819,"[""BlueSky"",""Pile Calculator""]",TRUE,All of those that fall within canyon country district ,"[""Hand Piles"",""Machine Piles""]","[""Drip Torch"",""PSD"",""Propane Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)"",""Health &#x2F; Insect Control"",""Historical &#x2F; Cultural Maintenance"",""Property Protection"",""Project Maintenance"",""Site Preparation"",""Veg Type Manipulation"",""Stand Improvement""]","[""Increase Combustion Efficiency"",""Reduce Area Burned"",""Reduce Fuel Consumed"",""Schedule Burning Before New Fuels Appear""]",3/1/2023
