name,start_date,end_date,agency,unit,acres,type,receptors,lat,lng,approval_type,elevation,airshed,class1,nonattainment,added_on
Heber-Kamas Pile Burn,6/26/2023,7/1/2023,USFS,UWC NF East Zone,500,Piles,"Kamas, Mirror Lake Highway",40.576,-110.987,,9970,6 (Wasatch Back),FALSE,FALSE,6/22/2023
Heber-Kamas Pile Burn,6/20/2023,6/25/2023,USFS,UWC NF East Zone,50,Piles,Kamas Mirror Lake Highway,40.582,-110.984,,9420,6 (Wasatch Back),FALSE,FALSE,6/15/2023
Burnt Beaver Rx,6/13/2023,6/18/2023,USFS,UWC NF East Zone,500,Broadcast,Manila,40.897,-110.086,,6500,"16 - Above 6,500 feet",FALSE,FALSE,6/11/2023
Sawyer Point,6/10/2023,6/15/2023,USFS,Dixie NF Cedar City,500,Understory,"Utah State Highway 89, Hatch, Utah, Hatch, Highway 89",37.536,-112.52,,7090,"16 - Above 6,500 feet",FALSE,FALSE,6/9/2023
South Beaver RX 2022,6/7/2023,6/13/2023,USFS,Fishlake NF Beaver,500,Broadcast,"Junction, Circleville, Richfield",38.182,-112.476,,8690,2 (S. West Desert),FALSE,FALSE,6/1/2023
Burnt Beaver Rx,6/6/2023,6/12/2023,USFS,UWC NF East Zone,2000,Broadcast,Lone Treek or McKinnon,40.897,-110.086,,6500,"16 - Above 6,500 feet",FALSE,FALSE,5/31/2023
Sawyer Point,6/2/2023,6/9/2023,USFS,Dixie NF Cedar City,500,Understory,"Utah State Highway 89, Hatch, Utah, Hatch, Highway 89",37.543,-112.534,,7480,13 (Sevier R.),FALSE,FALSE,5/30/2023
North Zone Timber Piles,5/31/2023,6/6/2023,USFS,Manti-La Sal North Zone,50,Piles,"Ephraim City, Sanpete Valley ",39.362,-111.458,,9060,10 (San Pitch R.),FALSE,FALSE,5/30/2023
South Beaver RX 2022,5/30/2023,6/6/2023,USFS,Fishlake NF Beaver,1000,Broadcast,"Junction, Circleville, Richfield",38.182,-112.476,,8690,2 (S. West Desert),FALSE,FALSE,5/26/2023
Old Woman South,5/26/2023,6/1/2023,USFS,Fishlake NF Richfield,500,Broadcast,"Emery County, Accord Lakes SUFCO Mine",38.801,-111.442,,8140,12 (Upper Colo. R.),FALSE,FALSE,5/23/2023
West Zone Piles RX,5/25/2023,5/31/2023,USFS,Ashley NF West Zone,1,Piles,Argyle cyn/ Reservation ridge Cabins,39.885,-110.741,,9280,9 (Uinta Basin),FALSE,FALSE,5/23/2023
Summit Park Pile Burn,5/24/2023,5/30/2023,LPE,Local or Private Entity,10,Piles,Greater Snyderville Basin. ,40.735,-111.616,,8500,"16 - Above 6,500 feet",FALSE,FALSE,5/22/2023
Sun Peak HOA Open Space Pile Burn,5/24/2023,5/27/2023,LPE,Local or Private Entity,2,Piles,Greater Snyderville Basin,40.699,-111.567,,7190,6 (Wasatch Back),FALSE,FALSE,5/22/2023
Grouse Creek Piles,5/22/2023,5/29/2023,State,Bear River Area,200,Piles,grouse creek,41.681,-113.818,,5200,1 - N. West Desert,FALSE,TRUE,5/22/2023
North Zone Timber Piles,5/23/2023,5/29/2023,USFS,Manti-La Sal North Zone,50,Piles,"Ephraim City, Sanpete Valley  ",39.364,-111.458,,9090,10 (San Pitch R.),FALSE,FALSE,5/22/2023
South Beaver RX 2022,5/24/2023,5/30/2023,USFS,Fishlake NF Beaver,500,Broadcast,"Junction, Circleville, Richfield",38.182,-112.476,,8690,2 (S. West Desert),FALSE,FALSE,5/19/2023
Little Sahara ,5/22/2023,5/28/2023,BLM,West Desert District,5,Broadcast,"Eureka, Lynndyl, Leamington Utah",39.726,-112.307,,5220,8 (S. Wasatch Front),FALSE,FALSE,5/18/2023
Burnt Beaver Rx,5/22/2023,5/28/2023,USFS,UWC NF East Zone,3000,Broadcast,"Lone Tree, WY and Mckinnon UT ",40.903,-110.073,,9480,7 (N. Slope Uintas),FALSE,FALSE,5/17/2023
Evanston-Mountain View Pile Burn,5/19/2023,5/25/2023,USFS,UWC NF East Zone,50,Piles,"Evanston, Mountain View, Robertson, Lonetree, McKinnon, Manilla",40.922,-110.088,,8960,7 (N. Slope Uintas),FALSE,FALSE,5/17/2023
D1 Pondo,5/19/2023,5/25/2023,USFS,Ashley NF East Zone,1300,Broadcast,"Dutch John, Manila ",40.886,-109.646,,7640,7 (N. Slope Uintas),FALSE,FALSE,5/17/2023
Park City Municipal Open Space,5/18/2023,5/24/2023,LPE,Local or Private Entity,2,Piles,City of Park City and greater Snyderville Basin. ,40.646,-111.501,,7200,"16 - Above 6,500 feet",FALSE,FALSE,5/16/2023
Sun Peak HOA Open Space Pile Burn,5/17/2023,5/24/2023,LPE,Local or Private Entity,3,Piles,Greater Snyderville Basin,40.699,-111.567,,7190,6 (Wasatch Back),FALSE,FALSE,5/16/2023
Dikes and Piles,5/18/2023,5/24/2023,FWS,Rocky/Basin Refuges,25,Piles,"Tremonton, Corinne, Bigham City, Tremonton, Corinne, Bigham City",41.47,-112.246,,4200,4 - Cache/Bear R.,FALSE,TRUE,5/16/2023
South Beaver RX 2022,5/17/2023,5/23/2023,USFS,Fishlake NF Beaver,500,Broadcast,"Junction, Circleville, Richfield, Marysvale, Beaver",38.231,-112.485,,8920,2 (S. West Desert),FALSE,FALSE,5/15/2023
North Zone Timber Piles,5/15/2023,5/19/2023,USFS,Manti-La Sal North Zone,50,Piles,"Ephraim City, Sanpete Valley ",39.361,-111.467,,8760,10 (San Pitch R.),FALSE,FALSE,5/15/2023
Grouse Creek Piles,5/15/2023,5/22/2023,State,Bear River Area,200,Piles,grouse creek,41.742,-113.844,,5610,1 (N. West Desert),FALSE,FALSE,5/15/2023
Pinebrook HOA Pile Burn,5/16/2023,5/23/2023,LPE,Local or Private Entity,3,Piles,Greater Snyderville Basin. ,40.737,-111.567,,6630,6 (Wasatch Back),FALSE,FALSE,5/12/2023
Old Woman South,5/14/2023,5/21/2023,USFS,Fishlake NF Richfield,500,Broadcast,"Emery County, Accord Lakes SUFCO Mine",38.858,-111.463,,8530,12 (Upper Colo. R.),FALSE,FALSE,5/12/2023
The Enclave HOA Pile Burn,5/12/2023,5/20/2023,LPE,Local or Private Entity,2,Piles,Greater Snyderville Basin. ,40.699,-111.56,,6900,"16 - Above 6,500 feet",FALSE,FALSE,5/10/2023
Heber-Kamas Pile Burn,5/12/2023,5/20/2023,USFS,UWC NF East Zone,90,Piles,"Mirror Lake Highway 150, Kamas",40.596,-111.088,,7710,6 (Wasatch Back),FALSE,FALSE,5/9/2023
UTTR RX- Lakeside Road,5/17/2023,5/19/2023,DOD,Utah Military Bases,18,Broadcast,"Military Base Facilities, MagCorps, Interstate 80",41.05,-112.926,,4400,1 - N. West Desert,FALSE,FALSE,5/9/2023
Summit Park Pile Burn,5/11/2023,5/17/2023,LPE,Local or Private Entity,2,Piles,Greater Snyderville Basin. ,40.742,-111.621,,7550,6 (Wasatch Back),FALSE,FALSE,5/8/2023
Grouse Creek Piles,5/10/2023,5/17/2023,State,Bear River Area,200,Piles,grouse creek,41.741,-113.843,,5640,1 (N. West Desert),FALSE,FALSE,5/8/2023
