BURN ID,Burn Name,CONTACT AGENCY/COMPANY,Burn Type,BURN LOCATION LAT,BURN LOCATION LONG,Total Acres,Total Pile Volume,Burned?,Date1,Date2,Date3,Date4,Date5,Date6,Date7,PERMITTED_ACRES,PILE_VOLUME
2022-07,Copper Mountain Piles - 2022,Bureau of Land Management,SMP II,43.407,-108.029,,"85,500",Burned,2/23/2022,,,,,,,,"85,500"
2022-08,Green Mountain Piles - 2022,Bureau of Land Management,SMP II,42.33,-107.707,,"25,500",Burned,11/21/2022,11/22/2022,12/7/2022,,,,,,"25,500"
2022-09,Hadsell Watershed Prescribed Burn - 2022,Bureau of Land Management,SMP II,42.327,-107.731,500,,Burned,4/20/2022,4/21/2022,,,,,,500,
2022-10,Long Creek Mountain Piles - 2022,Bureau of Land Management,SMP II,42.659,108.015,,"25,600",Burned,2/2/2022,,,,,,,,"25,600"
2022-100,T-09,Bridger Teton NF,SMP I,43.497,-110.924,,48000,,,,,,,,,,48000
2022-101,Patton Creek Slash Piles #2,Camp Guernsey Fire Department,SMP I,42.44906,-104.75344,,680,,,,,,,,,,680
2022-102,Patton Creek Slash Piles #3,Camp Guernsey Fire Department,SMP I,42.44945,-104.74222,,2550,,,,,,,,,,2550
2022-103,Elk Creek,Shoshone National Forest,SMP II,44.73722,109.4561,130,,,,,,,,,,130,
2022-104,Horse Pasture,BLM,SMP I,44.11062,-107.88358,Less than 20,,Burned,3/31/2022,,,,,,,20,
2022-105,PF-30 Taylor Mountain Rx Unit 2,"Jackson Ranger District, Bridger-Teton N.F.",SMP II,43.38534,-111,300,,,,,,,,,,300,
2022-106,Cottonwood Admin Piles,USFS,SMP I,43.2632,110.7966,,883.57,Burned,4/14/2022,,,,,,,,883.57
2022-107,Westside Rx,National Park Service,SMP II,44.592,-104.728,155,,Burned,10/19/2022,,,,,,,155,
2022-108,Mosquito Creek North,USDA-BTNF-North Zone,SMP II,43.45667,-110.91909,,,Burned,5/16/2022,,,,,,,,
2022-109,Beartrap Prescibed Burns,BLM Buffalo Field Office,SMP II,44.716845,-105.516899,506,,Burned,10/19/2022,,,,,,,506,
2022-11,Ocean Lake Prescribed Burn - 2022,Bureau of Land Management,SMP II,43.195,-108.538,50-150,,,,,,,,,,100,
2022-110,Beaver Creek South,USDA Forest Service,SMP II,44.647,-107.6837,2342,,,,,,,,,,2342,
2022-111,Tensleep Canyon - South Willow Unit,USFS,SMP II,44.13361,-107.26333,892,,,,,,,,,,892,
2022-112,"BMW - Units 1, 4, & 5",USFS,SMP II,44.29664,-106.92176,878,,,,,,,,,,878,
2022-113,Wildcat,United States Forest Service,SMP II,42.25,-105,616 total. 308 per burn block,,,,,,,,,,616,
2022-114,Pinnacle Heights E&W Community Pile,USFS- Shoshone National Forest,SMP I,43.71814,109.982,,1178.1,Burned,12/8/2022,,,,,,,,1178.1
2022-115,JHMR 2022,Jackson Hole Mountain Resort,SMP I,43.60037,-110.83256,,"40,000",Burned,10/26/2022,10/27/2022,,,,,,,"40,000"
2022-116,Sherwood,BLM Newcastle,SMP II,43.89459,104.09341,80,,,,,,,,,,80,
2022-117,Upper Gros Ventre RX,US Forest Service,SMP II,43.635,-110.391,557,,,,,,,,,,557,
2022-118,Alpine/Palisades,Alpine Fire District,SMP II,43.16585,-111.04059,,,Burned,10/24/2022,,,,,,,,
2022-119,"Washakie Piles - PIne Creek 14,20,25,36,27",USFS/Washakie Ranger District,SMP II,42.49801,-108.93173,,"85,366.82",,,,,,,,,,"85,366.82"
2022-12,Philp Prescribed Burn - 2022,Bureau of Land Management,SMP II,43.463,107.82,200-500,,Burned,4/7/2022,4/8/2022,,,,,,250,
2022-120,Washakie Piles - Loop Road 84,USFS/Washakie Ranger District,SMP II,42.55682,-108.75261,,"106,708.52",,,,,,,,,,"106,708.52"
2022-121,Washakie Piles - Loop Road 28,USFS/Washakie Ranger District,SMP II,42.53117,-108.77843,,"85,366.82",,,,,,,,,,"85,366.82"
2022-122,Washakie Piles - Loop Road 84,USFS/Washakie Ranger District,SMP II,42.55706,-108.76617,,"106,708.52",Burned,12/8/2022,12/9/2022,12/16/2022,12/19/2022,12/20/2022,,,,"106,708.52"
2022-123,Washakie Piles,USFS/Washakie Ranger District,SMP I,42.58545,-108.85039,,"5,966.68",Burned,12/7/2022,,,,,,,,"5,966.68"
2022-124,Washakie Piles - Pass Creek Community Pile,USFS/Washakie Ranger District,SMP I,42.61231,-108.75362,,423.32,Burned,12/16/2022,,,,,,,,423.32
2022-125,Washakie Piles - Louis Lake Admin Pile,USFS/Washakie Ranger District,SMP I,42.59078,-108.85241,,423.32,Burned,12/12/2022,,,,,,,,423.32
2022-126,Washakie Piles - Dickinson Park Admin Pile,USFS/Washakie,SMP I,42.85513,-109.05753,,423.32,,,,,,,,,,423.32
2022-127,Washakie Piles - Diamond 4 Pile,USFS/Washakie,SMP I,42.86114,-109.04366,,"1,506.17",,,,,,,,,,"1,506.17"
2022-128,Washakie Piles - Youth Park Pile,USFS/Washakie Ranger District,SMP I,42.70285,-108.9096,,423.32,,,,,,,,,,423.32
2022-129,Middle Fork F10,USFS/Washakie Ranger District,SMP II,42.62944,-108.81439,950,,,,,,,,,,950,
2022-13,Bear Trap,BLM,SMP I,43.90016,107,,,,,,,,,,,,
2022-130,Washakie Aspen Unit 17,USFS/Washakie Ranger District,SMP II,42.67408,-108.87205,16,,,,,,,,,,16,
2022-131,Devils Tower West,National Park Service Fire Management,SMP II,44.353,-104.43,113,,,,,,,,,,113,
2022-132,Philips Bench Unit 5 (T-06),,SMP I,43,110,,,,,,,,,,,,
2022-133,Philips Bench Unit 5 (T-06),U.S. Forest Service Bridger Teton National Forest,SMP I,43,110,,,,,,,,,,,,
2022-134,Alpine Fuels Pile Burn,USFS - Caribou-Targhee National Forest,SMP II,43.17919,-111.01502,,268000,,,,,,,,,,268000
