BurnID,BurnName,Burn Type,Latitude,Longitude,AgencyOrCompany,TotalArea,TotalPileVolume,Burned?,Date1,Date2,Date3,Date4,Date5,Date6,Date7,LAT_PERMIT,LON_PERMIT
736,Pile Burning 2011,SMP-II,Variable,Variable,USDA-USFS-Bridger Teton NF,250,,Burned,14-Oct-11,17-Oct-11,18-Oct-11,31-Oct-11,1-Nov-11,7-Nov-11,8-Nov-11,,
1094,Pile Burning,SMP-II,Variable,Variable,USDA-USFS-Bridger-Teton NF-Moran RD,290,,Burned,9-Nov-12,10-Nov-12,12-Nov-12,13-Nov-12,14-Nov-12,15-Nov-12,19-Nov-12,,
1325,Pile Burning,SMP-II,Variable,Variable,USDA-USFS-Caribou-Targhee NF-Driggs RD,5,,,,,,,,,,,
1352,Pile Burning,SMP-II,Variable,Variable,USDA-USFS-Bridger-Teton NF-Moran RD,180,,,,,,,,,,,
811,West Zone Piles,SMP-II,See maps on P Drive,,USDA-USFS-Bridger-Teton NF-Greys River/Kemmerer RD,100,59,,,,,,,,,,
1454,Burner Rx,SMP-II,44..467777,-104.406666,USDA - USFS: Bearlodge Ranger District,475,,,,,,,,,,44.467777,-104.406666
792,Marking Pen Creek Prescribed Burn,SMP-II,48.13826111,-106.9098694,USDI-BLM-High Desert District (Rawlins Field Office),6870,,Burned,2-May-11,3-May-11,5-May-11,6-May-11,7-May-11,,,48.13826111,-106.9098694
1118,Marking Pen Creek Prescribed Burn,SMP-II,48.13826111,-106.9098694,USDI-BLM-High Desert District (Rawlins Field Office),2000,,Burned,23-Mar-12,24-Mar-12,,,,,,48.13826111,-106.9098694
429,West Slope Habitat Enhancement Prescribed Burn,SMP-II,46.5,-109.0666667,USDI-BLM-North Zone-Worland (Cody Field Office),4200,,Burned,27-Apr-08,15-Mar-10,16-Mar-10,17-Mar-10,21-Mar-10,22-Mar-10,25-Mar-10,46.5,-109.0666667
764,Yellow Hill-Park Service,SMP-II,44.99722222,-108.2552778,USDA-USFS-Big Horn NF-Lovell RD,450,,,,,,,,,,44.99722222,-108.2552778
524,Yellow Hill,SMP-II,44.99362889,-108.2528344,USDA-USFS-Big Horn NF-Medicine Wheel/Paintrock RD,450,,,,,,,,,,44.99362889,-108.2528344
1395,Little Mountain/Moss Ranch Prescribed Burn,SMP-II,44.963707,-108.0974576,USDI-BLM-Wind River/Bighorn Basin District (Cody Field Office),150,,Burned,13-Mar-13,,,,,,,44.963707,-108.0974576
1318,Hunter Peak TS 2013,SMP-II,44.95583333,-109.8086111,USDA-USFS-Shoshone NF-Wapiti RD,10,2517400,,,,,,,,,44.95583333,-109.8086111
1355,WGFD Kerns Habitat Area,SMP-II,44.95368294,-107.560891,Wyoming Game and Fish Department,800,,,,,,,,,,44.95368294,-107.560891
1670,Lost Lake FSRD 130,SMP-II,44.950826,-109.733753,,5,16193,,,,,,,,,44.950826,-109.733753
943,Lily Lake Campground 2012,SMP-II,44.945,-109.7138889,USDA-USFS-Shoshone NF-Wapiti RD,7,17284,Burned,22-Nov-11,,,,,,,44.945,-109.7138889
944,Beartooth Campground 2012,SMP-II,44.94388889,-109.5911111,USDA-USFS-Shoshone NF-Wapiti RD,14,18400,Burned,17-Nov-11,,,,,,,44.94388889,-109.5911111
1732,Hunter Peak TS,SMP-II,44.94,-109.78,USDI-NPS-Yellowstone NP,2,148625,Burned,1/15/2015,,,,,,,44.94,-109.78
1894,Hunter Peak TS,SMP-II,44.94,-109.78,USDA-USFS-Shoshone NF,25,1286075,Burned,12/23/2015,,,,,,,44.94,-109.78
1675,Hunter Peak TS,SMP-II,44.937378,-109.78314,USDA-USFS Shoshone National Forest,2,148625,,,,,,,,,44.937378,-109.78314
761,Polecat Bench Prescsribed Burn,SMP-II,44.9368543,-108.7732336,USDI-BLM-Wind River/Big Horn Basin District (Cody Field Office),100,,Burned,20-Sep-11,21-Sep-11,,,,,,44.9368543,-108.7732336
1083,Polecat Bench Prescribed Burn,SMP-II,44.9368543,-108.7732336,USDI-BLM-Wind River/Big Horn Basin District (Cody Field Office),100,,,,,,,,,,44.9368543,-108.7732336
1565,North Little Mountain Prescribed Burn,SMP-II,44.9348757,-108.1577268,USDI-BLM-Cody Field Office,200,,Burned,8-Apr-14,9-Apr-14,10-Apr-14,11-Apr-14,21-Apr-14,22-Apr-14,2-May-14,44.9348757,-108.1577268
1566,Little Mountain/Moss Ranch Prescribed Burn,SMP-II,44.9347782,-108.117379,USDI-BLM-Cody Field Office,50,,,,,,,,,,44.9347782,-108.117379
1672,Lost Lake FSRD 188,SMP-II,44.934356,-109.705043,USDA-USFS Shoshone National Forest,5,13389,,,,,,,,,44.934356,-109.705043
1804,Upper Clarks Fork,SMP-II,44.93,-109.71,USDA-USFS-Shoshone NF-Wapiti RD,800,,,,,,,,,,44.93,-109.71
2013,Upper Clarks Fork RX,SMP-II,44.93,-109.71,USDA-USFS-Shoshone NF,800,,,,,,,,,,44.93,-109.71
2084,Upper Clarks Fork,SMP-II,44.93,-109.71,US Forest Service,800,,,,,,,,,,44.93,-109.71
3033,FSRD188,SMP-II,44.93,-109.71,USDA-USFS-Shoshone NF,5,12821,Burned,11/30/2016,,,,,,,44.93,-109.71
3112,Upper Clarks Fork,SMP-II,44.93,-109.71,USDA-USFS-Shoshone NF-Greybull RD,800,,,,,,,,,,44.93,-109.71
3320,Upper Clarks Fork,SMP-II,44.93,-109.71,USDA-USFS-Shoshone NF-Greybull RD,800,,,,,,,,,,44.93,-109.71
3433,Upper Clarks Fork,SMP-II,44.93,-109.71,USDA-USFS-Shoshone NF-Wapiti RD,800,,Burned,4/19/2019,,,,,,,44.93,-109.71
3592,Upper Clarks Fork,SMP-II,44.93,-109.71,USDA-USFS-Shoshone NF-Wapiti RD,800,,,,,,,,,,44.93,-109.71
3766,Upper Clark Fork,SMP-II,44.93,-109.71,,800,,Burned,4/21/2021,,,,,,,44.93,-109.71
1634,Upper Clarks Fork,SMP-II,44.926111,-109.7108333,USDA-USFS-Shoshone NF-Clarks Fork RD,800,,Burned,24-Sep-14,,,,,,,44.926111,-109.7108333
1123,Upper Clarks Fork Prescribed Burn 2012,SMP-II,44.92305556,-109.7186111,USDA-USFS-Shoshone NF-Wapiti RD,1913,,Burned,3-Apr-12,3-Apr-12,4-Apr-12,4-Apr-12,4-Apr-12,5-Apr-12,5-Apr-12,44.92305556,-109.7186111
1082,North Little Mountain Prescribed Burn,SMP-II,44.9204801,-108.137501,USDI-BLM-Wind River/Big Horn Basin District (Cody Field Office),200,,,,,,,,,,44.9204801,-108.137501
1396,North Little Mountain Prescribed Burn,SMP-II,44.9204801,-108.137501,USDI-BLM-Wind River/Bighorn Basin District (Cody Field Office),200,,Burned,28-Mar-13,29-Mar-13,3-Apr-13,4-Apr-13,19-Apr-13,25-Apr-13,26-Apr-13,44.9204801,-108.137501
