SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
CRD0001P,2016-01-05,20,0,Pine Lake Piles,Pile,"Bureau of Land Management, Colorado River, Colorado River (CRD)",35.15,-113.88999999999999,Incomplete
KNF0133P,2016-01-05,13,0,South Side Piles,Pile,"U.S. Forest Service, Kaibab, Williams",35.214,-112.221,Incomplete
KNF0128P,2016-01-05,1,0,North Side Piles,Pile,"U.S. Forest Service, Kaibab, Williams",35.316,-111.93799999999999,Incomplete
CNF0416P,2016-01-05,10,0,PERP,Pile,"U.S. Forest Service, Coronado, Safford",32.67,-109.79000000000002,Incomplete
PNF0337P,2016-01-05,30,10,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.46,-112.39999999999998,Complete
CRD0001P,2016-01-06,15,15,Pine Lake Piles,Pile,"Bureau of Land Management, Colorado River, Colorado River (CRD)",35.09,-113.86879999999996,Complete
AZSBR1605P,2016-01-06,5,5,Hazard Fuel Piles 2016-2018,Pile,"U.S. Fish & Wildlife Service, NA, San Bernardino",31.344,-109.25768,Complete
CNF0520P,2016-01-06,1,1,Santa Catalina District Wide Piles,Pile,"U.S. Forest Service, Coronado, Santa Catalina",32.318304695876904,-110.82288198471076,Complete
PNF0337P,2016-01-06,30,0,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.46324795932252,-112.40158822967112,Incomplete
CNF0520P,2016-01-06,5,0,Santa Catalina District Wide Piles,Pile,"U.S. Forest Service, Coronado, Santa Catalina",32.37275284416935,-110.69248371124274,Incomplete
CRD0015cP,2016-01-07,1,1,CRD Misc Piles (Oxbow Lake),Pile,"Bureau of Land Management, Colorado River, Colorado River (CRD)",35.152,-114.12110000000001,Complete
PNF0337P,2016-01-07,30,0,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.4685184752148,-112.4259160645064,Incomplete
PNF0337P,2016-01-11,30,0,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.46600071906576,-112.40351084966585,Incomplete
PNF0337P,2016-01-12,30,0,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.508,-112.476,Incomplete
XXH1501P,2016-01-14,5,1,Fort Huachuca Piles,Pile,"Department of Defense, NA, Ft Huachuca",31.46,-110.32999999999998,Complete
COF0224P,2016-01-14,10,10,Flagstaff RD Piles,Pile,"U.S. Forest Service, Coconino, Flagstaff (COF)",35.23164573805887,-111.5837894973755,Complete
ASF140P,2016-01-14,50,2,East Zone Piles (Alpine),Pile,"U.S. Forest Service, Apache Sitgreaves, Alpine",33.73807955827816,-109.11344881196317,Complete
COF0224P,2016-01-15,1,0,Flagstaff RD Piles,Pile,"U.S. Forest Service, Coconino, Flagstaff (COF)",35.20324671706084,-111.72412267303469,Incomplete
