DATE,PERMITTED_ACRES,COMPLETED_ACRES,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,LEGAL_DESCRIP,TONS,BURN_STATUS
2010-03-17,5,0,Y16B,Broadcast,California Department of Fish and Wildlife,33.27,-115.582,NA,0,Incomplete
2010-03-17,5,0,Y16A,Broadcast,California Department of Fish and Wildlife,33.27,-115.582,NA,0,Incomplete
2010-05-14,NA,117,Doe Ridge Burn Plan FY2010,Unknown,Retired or Moved On,37.717,-118.836,NA,NA,Complete
2010-05-15,NA,22,29A,Unknown,Retired or Moved On,37.737,-118.96,NA,NA,Complete
2010-05-15,NA,78,29E,Unknown,Retired or Moved On,37.737,-118.96,NA,NA,Complete
2010-05-15,NA,8,29A-,Unknown,Retired or Moved On,37.737,-118.96,NA,NA,Complete
2010-06-02,NA,72,29B,Unknown,Retired or Moved On,37.737,-118.96,NA,NA,Complete
2010-06-01,NA,88,29A,Unknown,Retired or Moved On,37.737,-118.96,NA,NA,Complete
2010-06-02,NA,121,Unit 8,Unknown,US Forest Service,38.441,-119.491,NA,NA,Complete
2010-06-03,NA,110,Pilot - Unit 32-34,Unknown,Retired or Moved On,37.832,-118.891,NA,NA,Complete
2010-06-02,NA,63,Pilot - Unit 30,Unknown,Retired or Moved On,37.832,-118.891,NA,NA,Complete
2010-09-22,NA,0,Donner Memorial State Park,Unknown,California State Parks,39.312,-120.238,NA,NA,Incomplete
2010-10-09,NA,0,NUT East ULM,Unknown,US Forest Service,38.866,-120.036,NA,NA,Incomplete
2010-10-14,NA,0,Old Man,Unknown,US Forest Service,40.95,-122.57,NA,NA,Incomplete
2010-10-15,NA,36,Crestview Compartment - 06A,Unknown,Retired or Moved On,37.78,-118.983,NA,NA,Complete
2010-10-15,NA,71,Crestview Compartment - 06B,Unknown,Retired or Moved On,37.78,-118.983,NA,NA,Complete
2010-10-15,NA,0,Old Man,Unknown,US Forest Service,40.95,-122.57,NA,NA,Incomplete
2010-10-16,NA,41,Crestview compartment - 39A,Unknown,Retired or Moved On,37.788,-118.993,NA,NA,Complete
2010-10-16,NA,44,Crestview Compartment - 10 C,Unknown,Retired or Moved On,37.918,-119.037,NA,NA,Complete
2010-10-16,NA,40,Crestview Compartment - Unit 09B,Unknown,Retired or Moved On,37.78,-118.983,NA,NA,Complete
2010-10-18,NA,0,Beegum rock,Unknown,US Forest Service,40.276,-123.058,NA,NA,Incomplete
2010-10-27,NA,0,Condon Peak,Unknown,Bureau of Land Management,36.307,-120.653,NA,NA,Incomplete
2010-10-29,NA,0,Bloomer Lookout Admin,Unknown,US Forest Service,39.652,-121.463,NA,NA,Incomplete
2010-11-05,NA,0,Flea Valley Complex,Unknown,Sierra Pacific Industries,39.835,-121.511,NA,NA,Incomplete
2010-11-05,NA,0,Unit 1B,Unknown,Bureau of Land Management,40.79,-122.544,NA,NA,Incomplete
2010-11-05,NA,0,10 W Cable,Unknown,Sierra Pacific Industries,39.798,-121.509,NA,NA,Incomplete
2010-11-06,NA,85,Pilot - Unit 37/38/39/40,Unknown,Retired or Moved On,37.832,-118.891,NA,NA,Complete
2010-11-08,NA,0,Flea Valley Complex,Unknown,Sierra Pacific Industries,39.835,-121.511,NA,NA,Incomplete
2010-11-09,NA,0,Soper Ranch,Unknown,Soper-Wheeler Company LLC,39.413,-121.277,NA,NA,Incomplete
2010-11-10,NA,0,Junction House,Unknown,Soper-Wheeler Company LLC,39.74,-121.291,NA,NA,Incomplete
2010-11-10,NA,0,Stanwood Saddle,Unknown,Soper-Wheeler Company LLC,39.687,-121.357,NA,NA,Incomplete
2010-11-10,NA,0,Granite Complex,Unknown,Sierra Pacific Industries,39.855,-121.441,NA,NA,Incomplete
2010-11-20,NA,35,N. Zone Pres. Fire Piles-Hartley Compartment Unit 12A FY2011,Unknown,Retired or Moved On,37.803,-119.056,NA,NA,Complete
