SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,PILE_VOLUME,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,LEGAL_DESCRIP,BURN_STATUS
142,2010-01-01,726,0,700,Elk Mtn,Broadcast,"BLM, Craig District Office",NA,NA,7N 85W 18,Complete
143,2010-01-01,18,0,NA,Rocky Reservoir,Broadcast,"BLM, Craig District Office",NA,NA,12N 102W 31,Incomplete
145,2010-01-01,500,0,86,Deer Valley,Broadcast,"BLM, Craig District Office",NA,NA,7N 101W 2,Complete
313,2010-01-01,221,0,70,Jack Springs II,Broadcast,"BLM, Craig District Office",NA,NA,8N 102W 10,Complete
28,2010-01-01,NA,236,0,Georgia Mesa,Pile,"BLM, Grand Junction District",NA,NA,10S 96W 25,Complete
57,2010-01-01,NA,462,0,Black Ridge Piles,Pile,"BLM, Grand Junction District",NA,NA,11S 102W 21,Complete
62,2010-01-01,600,0,500,Battlements,Broadcast,"BLM, Grand Junction District",NA,NA,8S 95W 1,Complete
103,2010-01-01,NA,462,0,Gibbler Piles,Pile,"BLM, Grand Junction District",NA,NA,14S 100W 33,Complete
137,2010-01-01,250,0,205,Black Ridge Broadcast,Broadcast,"BLM, Grand Junction District",NA,NA,11S 102W 21,Complete
164,2010-01-01,NA,236,0,Mee Canyon/Colorado River,Pile,"BLM, Grand Junction District",NA,NA,10S 104W 25,Complete
290,2010-01-01,350,0,100,Brush Mountain,Broadcast,"BLM, Grand Junction District",NA,NA,5S 100W 2,Complete
358,2010-01-01,NA,236,0,Thompson Piles,Pile,"BLM, Grand Junction District",NA,NA,14S 101W 12,Complete
63,2010-01-01,NA,209,0,East Sopris Piles,Pile,"BLM, Glenwood Field Office",NA,NA,8S 86W 29,Complete
195,2010-01-01,600,0,NA,Deer Pen RX,Broadcast,"BLM, Glenwood Field Office",NA,NA,2S 85W 34,Incomplete
288,2010-01-01,NA,196,0,Sky Legend Piles,Pile,"BLM, Glenwood Field Office",NA,NA,5S 85W 7,Complete
319,2010-01-01,100,0,90,East Sopris RX,Broadcast,"BLM, Glenwood Field Office",NA,NA,8S 86W 29,Complete
19,2010-01-01,NA,7069,0,McQueary Gulch,Pile,"BLM, Kremmling Field Office",NA,NA,1S 79W 7,Complete
20,2010-01-01,NA,5301,0,C Lazy U,Pile,"BLM, Kremmling Field Office",NA,NA,3N 76W 31,Complete
21,2010-01-01,725,0,NA,Sheep Mountain,Broadcast,"BLM, Kremmling Field Office",NA,NA,10N 81W 4,Incomplete
45,2010-01-01,NA,85,0,Gore Lakes Fuel Reduction Project,Pile,"BLM, Kremmling Field Office",NA,NA,2N 82W 31,Complete
46,2010-01-01,NA,1500,0,Independence Mountain Piles,Pile,"BLM, Kremmling Field Office",NA,NA,11N 81W 14,Complete
229,2010-01-01,200,0,NA,Vils,Broadcast,"BLM, Kremmling Field Office",NA,NA,7N 78W 17,Incomplete
236,2010-01-01,1022,0,NA,Dry Gulch Rx,Broadcast,"BLM, Kremmling Field Office",39.92,-106.54,NA,Incomplete
268,2010-01-01,1506,0,NA,Fischer Draw,Broadcast,"BLM, Kremmling Field Office",NA,NA,11N 80W 29,Incomplete
113,2010-01-01,200,0,NA,Blanca Wetlands RX,Broadcast,"BLM, La Jara Field Office",NA,NA,38N 11E 1,Incomplete
120,2010-01-01,NA,471,0,Gold Basin Piles,Pile,"BLM, Gunnison Field Office",NA,NA,48N 1E 27,Complete
153,2010-01-01,NA,85,0,Dallas Substation,Pile,"BLM, Gunnison Field Office",NA,NA,45N 8W 3,Complete
154,2010-01-01,575,0,47,Highway 90,Broadcast,"BLM, Gunnison Field Office",NA,NA,48N 11W 24,Complete
