SOURCE_ID,DATE,ACRES_REQUESTED,ACRES_COMPLETED,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,TONS,BURN_STATUS
159413,2010-01-07,40,40,2-Tail piles,Other Mechanical,Bureau of Land Management,48.6816,-116.166,800,Complete
159413,2010-03-10,50,0,2-Tail piles,Other Mechanical,Bureau of Land Management,48.6816,-116.166,0,Incomplete
159413,2010-03-11,50,0,2-Tail piles,Other Mechanical,Bureau of Land Management,48.6816,-116.166,0,Incomplete
159413,2010-03-11,50,40,2-Tail piles,Other Mechanical,Bureau of Land Management,48.6816,-116.166,800,Complete
89204,2010-04-21,100,0,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,0,Incomplete
89204,2010-04-26,100,100,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,3500,Complete
89204,2010-05-04,50,0,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,0,Incomplete
89204,2010-05-05,50,0,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,0,Incomplete
89204,2010-05-06,20,0,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,0,Incomplete
89204,2010-05-17,50,50,Samaria Hand Piles,Hand Piles,Bureau of Land Management,42.0776,-112.279,1750,Complete
89102,2010-05-17,75,0,Saylor Creek,Broadcast,Bureau of Land Management,42.7313,-115.542,0,Incomplete
89102,2010-05-18,75,30,Saylor Creek,Broadcast,Bureau of Land Management,42.7313,-115.542,90,Complete
89102,2010-05-19,200,75,Saylor Creek,Broadcast,Bureau of Land Management,42.7313,-115.542,225,Complete
89102,2010-05-20,75,0,Saylor Creek,Broadcast,Bureau of Land Management,42.7313,-115.542,0,Incomplete
160212,2010-09-23,500,0,Martin Canyon,Broadcast,Bureau of Land Management,43.5106,-114.143,0,Incomplete
161795,2010-09-25,30,0,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,0,Incomplete
161795,2010-09-26,30,0,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,0,Incomplete
161795,2010-09-27,30,0,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,0,Incomplete
161795,2010-09-28,30,0,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,0,Incomplete
161795,2010-09-29,30,0,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,0,Incomplete
161795,2010-09-30,30,0,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,0,Incomplete
161795,2010-10-05,30,0,Killarney Lake Broadcast,Understory,Bureau of Land Management,47.5207,-116.556,0,Incomplete
