SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,TONS,BURN_STATUS
200039,2018-03-27,6,5,Three Forks TEST,Broadcast,AirSci Member,45.89766,-111.59362,489.25,Complete
200041,2018-03-29,5,0,Preseason Webinar Sample,Broadcast,AirSci Member,47.51079,-112.38464,0,Unknown
200041,2018-06-20,0,0,Preseason Webinar Sample,Broadcast,AirSci Member,47.51079,-112.38464,0,Incomplete
200041,2018-11-02,30,0,Preseason Webinar Sample,Broadcast,AirSci Member,47.51079,-112.38464,0,Incomplete
200039,2018-11-02,20,0,Three Forks TEST,Broadcast,AirSci Member,45.89766,-111.59362,0,Unknown
200041,2019-02-05,20,0,Preseason Webinar Sample,Broadcast,AirSci Member,47.51079,-112.38464,0,Unknown
200235,2019-03-15,20,0,TEST,Broadcast,AirSci Member,45.34829,-111.4508,0,Unknown
200235,2019-06-12,1,0,TEST,Broadcast,AirSci Member,45.34829,-111.4508,0,Unknown
200235,2019-06-15,20,0,TEST,Broadcast,AirSci Member,45.34829,-111.4508,0,Incomplete
200235,2019-06-17,5,0,TEST,Broadcast,AirSci Member,45.34829,-111.4508,0,Incomplete
160362,2010-04-16,75,0,Polson CAR,Unspecified,Bureau of Indian Affairs,47.7823,-114.145,0,Incomplete
10079,2004-11-17,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
10079,2004-11-19,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
10079,2005-11-28,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
10079,2005-11-29,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
10079,2005-11-30,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
154929,2005-12-12,200,30,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,240,Complete
154929,2005-12-13,200,30,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,240,Complete
154929,2005-12-14,200,0,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,0,Unknown
154929,2005-12-15,170,10,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,80,Complete
154929,2005-12-16,170,0,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,0,Unknown
154929,2005-12-19,130,130,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,1040,Complete
154929,2007-02-20,1,0,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,0,Unknown
154929,2007-03-01,1,1,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,8,Complete
156676,2007-12-10,100,0,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,0,Unknown
156676,2008-01-22,100,30,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,210,Complete
156676,2008-01-23,404,20,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,140,Complete
156676,2008-01-24,404,0,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,0,Unknown
156676,2008-01-28,100,20,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,140,Complete
156676,2008-01-29,100,25,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,175,Complete
156676,2008-02-05,40,50,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,350,Complete
156676,2008-12-16,259,10,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,70,Complete
160553,2008-12-17,120,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
156676,2008-12-17,249,0,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,0,Unknown
160553,2010-01-19,10,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160553,2010-01-20,10,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160553,2010-01-21,10,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160553,2010-01-25,10,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160553,2010-01-26,10,3,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,21,Complete
160553,2010-01-27,10,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160553,2010-02-16,7,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160553,2010-02-17,7,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160553,2010-02-19,7,3,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,21,Complete
161584,2010-05-17,200,100,Garrison 1 and 2,Broadcast,Bureau of Land Management,45.9671,-112.602,178,Complete
159624,2010-10-19,8,8,Terry Bench,Range,Bureau of Land Management,46.7078,-105.332,3.76,Complete
10079,2010-11-16,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
10079,2010-11-17,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
160553,2010-11-17,50,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160553,2010-11-18,50,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160553,2010-11-19,50,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160686,2010-11-29,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
10079,2010-11-29,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
160553,2010-11-30,3,3,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,21,Complete
160553,2010-12-01,3,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
160553,2010-12-02,3,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
156676,2011-01-26,199,0,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,0,Unknown
156676,2011-03-01,60,60,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,420,Complete
165389,2011-04-28,80,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
161584,2011-05-12,150,0,Garrison 1 and 2,Broadcast,Bureau of Land Management,45.9671,-112.602,0,Unknown
161584,2011-05-13,150,0,Garrison 1 and 2,Broadcast,Bureau of Land Management,45.9671,-112.602,0,Unknown
161585,2011-05-17,200,0,"Garrison 4,5,6",Broadcast,Bureau of Land Management,45.5161,-112.596,0,Unknown
161585,2011-05-18,200,0,"Garrison 4,5,6",Broadcast,Bureau of Land Management,45.5161,-112.596,0,Unknown
161585,2011-06-05,400,400,"Garrison 4,5,6",Broadcast,Bureau of Land Management,45.5161,-112.596,712,Complete
165389,2011-08-18,40,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
165389,2011-08-19,40,40,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,808,Complete
165389,2011-08-23,20,20,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,404,Complete
159624,2011-09-07,5,5,Terry Bench,Range,Bureau of Land Management,46.7078,-105.332,2.3499999999999996,Complete
165389,2011-09-12,618,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
165389,2011-09-13,618,23,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,464.59999999999997,Complete
165389,2011-09-15,20,12,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,242.39999999999998,Complete
165389,2011-09-16,20,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
165389,2011-09-17,10,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
165389,2011-09-18,10,15,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,303,Complete
165389,2011-09-26,583,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
165389,2011-09-27,583,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
165389,2011-09-28,583,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
165389,2011-10-03,583,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
165389,2011-10-04,583,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
165389,2011-10-05,583,0,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,0,Unknown
165389,2011-10-14,578,578,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,11675.6,Complete
10079,2011-10-25,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
10079,2011-10-27,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0,Unknown
159624,2011-10-31,1,1,Terry Bench,Range,Bureau of Land Management,46.7078,-105.332,0.47,Complete
10079,2011-11-03,1,1,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,10,Complete
156676,2012-01-20,10,10,Pine Hills,Hand Piles,Bureau of Land Management,46.3764,-105.657,70,Complete
165389,2012-01-23,10,10,Miller Creek,Broadcast,Bureau of Land Management,46.029,-106.159,202,Complete
160553,2012-02-28,11,11,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,77,Complete
160553,2012-02-29,11,0,Ekalaka Piles,Hand Piles,Bureau of Land Management,45.8101,-104.461,0,Unknown
163742,2012-03-14,15,0,Matthews,Broadcast,Bureau of Land Management,46.5022,-105.7339,0,Unknown
163742,2012-03-15,15,0,Matthews,Broadcast,Bureau of Land Management,46.5022,-105.7339,0,Unknown
165795,2012-03-21,1,0,Holter dam  Rec Site,Hand Piles,Bureau of Land Management,46.99368,-112.01398,0,Unknown
163742,2012-03-22,15,15,Matthews,Broadcast,Bureau of Land Management,46.5022,-105.7339,942.75,Complete
165794,2012-03-27,1,0,Holter lake,Hand Piles,Bureau of Land Management,46.99596,-111.99003,0,Unknown
165795,2012-03-27,1,0,Holter dam  Rec Site,Hand Piles,Bureau of Land Management,46.99368,-112.01398,0,Unknown
