SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,TONS
200039,2018-03-27,6,5,Three Forks TEST,Broadcast,AirSci Member,45.89766,-111.59362,489.25
200041,2018-03-29,5,0,Preseason Webinar Sample,Broadcast,AirSci Member,47.51079,-112.38464,0
200041,2018-06-20,0,0,Preseason Webinar Sample,Broadcast,AirSci Member,47.51079,-112.38464,0
200041,2018-11-02,30,0,Preseason Webinar Sample,Broadcast,AirSci Member,47.51079,-112.38464,0
200039,2018-11-02,20,0,Three Forks TEST,Broadcast,AirSci Member,45.89766,-111.59362,0
200041,2019-02-05,20,0,Preseason Webinar Sample,Broadcast,AirSci Member,47.51079,-112.38464,0
200235,2019-03-15,20,0,TEST,Broadcast,AirSci Member,45.34829,-111.4508,0
200235,2019-06-12,1,0,TEST,Broadcast,AirSci Member,45.34829,-111.4508,0
200235,2019-06-15,20,0,TEST,Broadcast,AirSci Member,45.34829,-111.4508,0
200235,2019-06-17,5,0,TEST,Broadcast,AirSci Member,45.34829,-111.4508,0
160362,2010-04-16,75,0,Polson CAR,Unspecified,Bureau of Indian Affairs,47.7823,-114.145,0
10079,2004-11-17,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0
10079,2004-11-19,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0
10079,2005-11-28,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0
10079,2005-11-29,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0
10079,2005-11-30,1,0,Garnet Ghost Town Pile,Other Mechanical,Bureau of Land Management,46.8244,-113.323,0
154929,2005-12-12,200,30,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,240
154929,2005-12-13,200,30,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,240
154929,2005-12-14,200,0,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,0
154929,2005-12-15,170,10,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,80
154929,2005-12-16,170,0,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,0
154929,2005-12-19,130,130,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,1040
154929,2007-02-20,1,0,Swain Hand Piles,Hand Piles,Bureau of Land Management,45.8061,-106.174,0
