SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,PILE_VOLUME,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
1006000,2005-06-01,2100,117,24000,Rendija/NPS,Broadcast,Bureau of Land Management,34.94708,-114.14677,Complete
1006100,2005-03-01,11660,781,0,Lion Den RX,Broadcast,Federal,32.57499,-106.53732,Complete
1006300,2006-03-01,1000,550,0,Pecos River,Broadcast,Bureau of Land Management,32.13778,-104.02556,Complete
1006600,2007-03-01,950,900,0,Angel Peak Rx,Broadcast,Bureau of Land Management,36.4875,-107.8851,Complete
1007000,2009-03-01,5469,5469,0,Little McKnight,Broadcast,Federal,NA,NA,Complete
1007400,2010-09-01,350,32,0,Lambson Mesa 2,Broadcast,Private,35.1357,-108.4513,Complete
1007500,2011-03-01,6300,5,0,Snare Mesa South,Broadcast,Federal,33.3167,-108.9984,Complete
1007800,2012-12-01,400,60,0,Hay Meadows Burn,Broadcast,Federal,32.35,-105.875,Complete
1007900,2013-09-01,NA,143,0,Wallow Roadside Piles,Pile,QUEMADO RANGER DISTRICT,33.8591,-108.9931,Complete
1008300,2016-03-01,60,60,0,Gattons Park 1 Rx,Broadcast,U.S. Forest Service-USDA - NM-GNF - Wilderness,32.995,-108.08407,Complete
1008500,2017-03-01,934,91,0,Vallecitos,Broadcast,"SANTA FE N.F., JEMEZ R.D.",35.80886,-106.6007,Complete
1009800,2019-03-07,500,3000,0.75,Centennial,NA,BLM-NM-LCDO,32.29,-105.68,Complete
1010300,2019-04-08,18946,4089,0,Baney,Broadcast,MAGDALENA RD CIBOLA NF,33.824,-107.61,Complete
1010400,2019-04-18,2437,2437,0,Sulfur 2,Broadcast,VERMEJO PARK RANCH,36.494,-104.677,Complete
1010500,2019-05-06,36673,22000,0,North Luera Collaborative Prescribed Fire,Broadcast,NEW MEXICO STATE LAND OFFICE,33.841,252.119,Complete
1011700,2019-10-14,5055,1,0,Seco RX,Broadcast,VALLES CALDERA NATIONAL PRESERVE,35.935,-106.576,Incomplete
1012000,2020-01-14,595,450,0,Devils Canyon Piles,Broadcast,Bureau of Land Management - NM-ROD,33.467,-105.499,Complete
1013400,2020-04-09,4000,1000,1000,EXPRESS UU BAR RX PROJECT,Broadcast,Private,36.368,-104.925,Complete
1013700,2020-08-11,204,204,261120,Pershing Piles,NA,Bureau of Land Management - NM-ROD,33.512,-105.522,Complete
1014900,2021-02-01,4968,4968,0,Valle Vidal Rx- Ring Unit,Broadcast,"Carson National Forest, Questa Ranger District",36.771,-105.126,Complete
1016400,2021-11-03,400,400,0,Elk Springs RX,Broadcast,BLM-ADO-RPFO,35.882,-106.939,Incomplete
1018100,2022-03-17,85,85,0.1,"Philmont ""Big House"" Pasture",Broadcast,PHILMONT SCOUT RANCH,36.46,-104.954,Complete
1019300,2023-02-01,50,50,0,Dripping Springs,Broadcast,Bureau of Land Management - NM-LCD,32.409,-106.59,Complete
1005799,2004-03-01,3641,40,0,Red Lake,Broadcast,Federal,NA,NA,Complete
1005801,2004-03-01,3125,3300,0,White Oak,Broadcast,Federal,32.2,-104.72,Complete
1005811,2004-03-01,2000,2000,0,Lick Ridge,Broadcast,Federal,32.65,-105.58,Complete
1005831,2004-03-01,2615,1200,0,Chamisa Losa RX,Broadcast,Federal,35.53528,-107.26667,Complete
1005836,2004-03-01,40,40,0,Cebolla Canyon,Broadcast,Federal,34.66806,-107.835,Complete
1005837,2004-03-01,242,17,0,Hoecradle,Broadcast,Federal,33.89694,-105.65778,Complete
1005838,2004-03-01,2200,2200,0,Chain of Craters,Broadcast,Bureau of Land Management,34.83361,-108.21889,Complete
1005843,2004-03-01,450,420,0,wild rivers sage broadcast,Broadcast,Bureau of Land Management,36.6946,-105.6767,Complete
1005845,2004-03-01,327,400,0,Bitter Lake Wetlands Unit 17,Broadcast,Federal,33.43306,-104.41666,Complete
1005846,2004-03-01,14739,7250,0,Palo RX,Broadcast,Federal,34.32583,-106.70444,Complete
1005848,2004-03-01,500,150,10000,Poverty Creek RX,NA,Federal,33.4704,-107.8079,Complete
1005850,2004-03-01,22500,28999,0,Indian Peaks RX,Broadcast,Federal,33.5568,-108.0148,Complete
1005851,2004-03-01,150,100,0,Beaverhead RX,Broadcast,Federal,33.4272,-108.1157,Complete
1005853,2004-03-01,3000,200,0,San Antonio Mtn RX,Broadcast,Bureau of Land Management,3652,-10605,Complete
1005855,2004-03-01,500,150,15000,Kingston,NA,Federal,32.9145,-107.7079,Complete
1005857,2004-03-01,105,5,0,Devils Canyon,Broadcast,Federal,33.47,-105.4775,Complete
1005861,2004-03-01,570,80,0,Silva,Broadcast,Federal,33.4125,-105.4775,Complete
1005865,2004-03-01,441,441,0,Trail Canyon,Broadcast,Bureau of Land Management,36.9876,-107.7462,Complete
1005866,2004-03-01,189,2,0,Quintana,Broadcast,Bureau of Land Management,36.9512,-107.3676,Complete
1005867,2004-03-01,104,104,0,Knickerbocker Fuelwood RX,Broadcast,Bureau of Land Management,36.843,-107.8743,Complete
1005868,2004-03-01,100,100,0,Tank Mountain,Broadcast,Bureau of Land Management,36.957,-107.8176,Complete
1005869,2004-03-01,400,10,0,La Parita,Broadcast,Bureau of Land Management,36.2857,-107.2634,Complete
1005872,2004-03-01,25234,7050,0,Mayberry RX,Broadcast,Federal,32.78472,-106.53861,Complete
1005876,2004-03-01,400,200,0,Montosa,Broadcast,Federal,36.40278,-106.19556,Complete
1005877,2004-03-01,4000,118,0,Mesa Camino/fuertes,Broadcast,Federal,36.25528,-106.6775,Complete
1005881,2004-03-01,400,159,4000,Gallina WUI,NA,Federal,36.20889,-106.82056,Complete
1005883,2004-03-01,580,600,0,K-53 Prairie Chicken,Broadcast,Federal,36.5892,-103.172,Complete
1005886,2004-03-01,7222,6500,0,San Juan II,Broadcast,Federal,35.7768,-106.6448,Complete
1005887,2004-03-01,4500,1800,0,Bullard Peak,Broadcast,Federal,32.7125,-108.518,Complete
1005891,2004-06-01,8864,2552,0,Cherokee Moonhull Telegraph,Broadcast,Federal,32.8141,-108.6209,Complete
1005892,2004-06-01,500,205,0,Standing Dead Salt Cedar,Broadcast,Federal,NA,NA,Complete
1005893,2004-06-01,3500,2800,0,Water Canyon I & II,Broadcast,Federal,NA,NA,Complete
1005897,2004-06-01,22000,0.1,0,Baseball ( Fire Use),Broadcast,Federal,NA,NA,Complete
1005905,2004-06-01,383,367,0,East Braided,Broadcast,Federal,34.8933,-108.0718,Complete
1005906,2004-06-01,377,377,0,Little Hole,Broadcast,Federal,34.8933,-108.0893,Complete
1005907,2004-06-01,112,112,0,Maynes,Broadcast,Federal,34.9224,-108.1069,Complete
1005909,2004-03-01,800,450,0,HUCKABY,Broadcast,Federal,36.3718,-106.6788,Complete
1005930,2004-09-01,600,600,0,K 91 W,Broadcast,Federal,36.0058,-104.3755,Complete
1005944,2004-12-01,1818,50,0,East Pasture RX,Broadcast,Federal,32.363,-107.6401,Complete
1005945,2004-12-01,NA,75,112500,Redondo piles,Pile,Federal,34.9924,-106.632,Complete
1005949,2004-03-01,NA,NA,1200000,BZ,Pile,Private,32.22,-106.72,Complete
1005957,2004-03-01,5000,1450,0,Long Canyon,Broadcast,Private,34.2352,-107.6048,Complete
1005959,2004-03-01,1303,686,0,Caliente,Broadcast,Private,NA,NA,Complete
1005996,2005-03-01,1111,275,0,Chain of Craters,Broadcast,Bureau of Land Management,34.83361,-108.2189,Complete
1005998,2005-03-01,66,67,34000,Stair Case Phase 2,NA,Bureau of Land Management,35.03389,-108.1356,Complete
