DATE,COMPLETED_ACRES,BURN_NAME,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
2023-06-22,50,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.582,-110.984,Complete
2023-06-21,75,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.582,-110.984,Complete
2023-06-20,45,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.582,-110.984,Complete
2023-06-11,25,Burnt Beaver Rx,"USFS, UWC NF East Zone",40.897,-110.086,Complete
2023-06-10,25,Burnt Beaver Rx,"USFS, UWC NF East Zone",40.897,-110.086,Complete
2023-06-09,40,Burnt Beaver Rx,"USFS, UWC NF East Zone",40.897,-110.086,Complete
2023-06-07,50,Burnt Beaver Rx,"USFS, UWC NF East Zone",40.897,-110.086,Complete
2023-06-05,113,Sawyer Point,"USFS, Dixie NF Cedar City",37.543,-112.534,Complete
2023-06-04,55,Sawyer Point,"USFS, Dixie NF Cedar City",37.543,-112.534,Complete
2023-05-25,1,West Zone Piles RX,"USFS, Ashley NF West Zone",39.885,-110.741,Complete
2023-06-03,23,Sawyer Point,"USFS, Dixie NF Cedar City",37.543,-112.534,Complete
2023-06-02,131,Sawyer Point,"USFS, Dixie NF Cedar City",37.543,-112.534,Complete
2023-06-01,2,North Zone Timber Piles,"USFS, Manti-La Sal North Zone",39.362,-111.458,Complete
2023-05-31,50,North Zone Timber Piles,"USFS, Manti-La Sal North Zone",39.362,-111.458,Complete
2023-05-31,10,South Beaver RX 2022,"USFS, Fishlake NF Beaver",38.182,-112.476,Complete
2023-05-30,10,South Beaver RX 2022,"USFS, Fishlake NF Beaver",38.182,-112.476,Complete
2023-05-29,0,South Beaver RX 2022,"USFS, Fishlake NF Beaver",38.182,-112.476,Unknown
2023-05-28,20,South Beaver RX 2022,"USFS, Fishlake NF Beaver",38.182,-112.476,Complete
2023-05-27,1,South Beaver RX 2022,"USFS, Fishlake NF Beaver",38.182,-112.476,Complete
2023-05-26,40,South Beaver RX 2022,"USFS, Fishlake NF Beaver",38.182,-112.476,Complete
2023-05-25,40,South Beaver RX 2022,"USFS, Fishlake NF Beaver",38.182,-112.476,Complete
2023-05-25,35,North Zone Timber Piles,"USFS, Manti-La Sal North Zone",39.364,-111.458,Complete
2023-05-16,2,Summit Park Pile Burn,"LPE, Local or Private Entity",40.742000000000004,-111.621,Complete
2023-05-12,1,Summit Park Pile Burn,"LPE, Local or Private Entity",40.742000000000004,-111.621,Complete
2023-05-11,2,Summit Park Pile Burn,"LPE, Local or Private Entity",40.742000000000004,-111.621,Complete
2023-05-18,1,The Enclave HOA Pile Burn,"LPE, Local or Private Entity",40.699000000000005,-111.56,Complete
2023-05-15,2,The Enclave HOA Pile Burn,"LPE, Local or Private Entity",40.699000000000005,-111.56,Complete
2023-05-12,2,The Enclave HOA Pile Burn,"LPE, Local or Private Entity",40.699000000000005,-111.56,Complete
2023-05-21,189,D1 Pondo,"USFS, Ashley NF East Zone",40.885999999999996,-109.646,Complete
2023-05-21,10,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.922000000000004,-110.088,Complete
2023-05-20,150,D1 Pondo,"USFS, Ashley NF East Zone",40.885999999999996,-109.646,Complete
2023-05-19,15,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.922000000000004,-110.088,Complete
2023-05-20,10,Evanston-Mountain View Pile Burn,"USFS, UWC NF East Zone",40.922000000000004,-110.088,Complete
2023-05-19,100,D1 Pondo,"USFS, Ashley NF East Zone",40.885999999999996,-109.646,Complete
2023-05-19,51,South Beaver RX 2022,"USFS, Fishlake NF Beaver",38.231,-112.485,Complete
2023-05-17,5,South Beaver RX 2022,"USFS, Fishlake NF Beaver",38.231,-112.485,Complete
2023-05-18,7,UTTR RX- Lakeside Road,"DOD, Utah Military Bases",41.164,-112.901,Complete
2023-05-17,11,UTTR RX- Lakeside Road,"DOD, Utah Military Bases",41.05,-112.926,Complete
2023-05-18,250,Dikes and Piles,"FWS, Rocky/Basin Refuges",41.47,-112.246,Complete
2023-05-17,105,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.596000000000004,-111.088,Complete
2023-05-17,150,Grouse Creek Piles,"State, Bear River Area",41.742000000000004,-113.844,Complete
2023-05-17,30,North Zone Timber Piles,"USFS, Manti-La Sal North Zone",39.361,-111.467,Complete
2023-05-16,30,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.596000000000004,-111.088,Complete
2023-05-13,4,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.58,-111.044,Complete
2023-05-12,50,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2023-05-12,8,Heber-Kamas Pile Burn,"USFS, UWC NF East Zone",40.579,-111.042,Complete
2023-05-11,112,Old Woman South,"USFS, Fishlake NF Richfield",38.858,-111.463,Complete
2023-05-11,300,Grouse Creek Piles,"State, Bear River Area",41.741,-113.843,Complete
2023-05-10,500,Old Woman South,"USFS, Fishlake NF Richfield",38.82,-111.482,Complete
2023-05-10,200,Ouray NWR comprehensive burn plan,"FWS, Rocky/Basin Refuges",40.162000000000006,-109.597,Complete
2023-05-09,900,Old Woman South,"USFS, Fishlake NF Richfield",38.806,-111.461,Complete
2023-05-08,50,Old Woman South,"USFS, Fishlake NF Richfield",38.788000000000004,-111.456,Complete
