SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,PILE_VOLUME,BURN_NAME,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
2022-07,2022-02-23,NA,NA,85500,Copper Mountain Piles - 2022,Bureau of Land Management,43.407,-108.029,Complete
2022-08,2022-11-21,NA,NA,25500,Green Mountain Piles - 2022,Bureau of Land Management,42.33,-107.707,Complete
2022-09,2022-04-20,500,500,NA,Hadsell Watershed Prescribed Burn - 2022,Bureau of Land Management,42.327,-107.731,Complete
2022-10,2022-02-02,NA,NA,25600,Long Creek Mountain Piles - 2022,Bureau of Land Management,42.659,108.015,Complete
2022-100,NA,NA,0,48000,T-09,Bridger Teton NF,43.497,-110.924,Incomplete
2022-101,NA,NA,0,680,Patton Creek Slash Piles #2,Camp Guernsey Fire Department,42.44906,-104.75344,Incomplete
2022-102,NA,NA,0,2550,Patton Creek Slash Piles #3,Camp Guernsey Fire Department,42.44945,-104.74222,Incomplete
2022-103,NA,130,0,NA,Elk Creek,Shoshone National Forest,44.73722,109.4561,Incomplete
2022-104,2022-03-31,20,20,NA,Horse Pasture,BLM,44.11062,-107.88358,Complete
2022-105,NA,300,0,NA,PF-30 Taylor Mountain Rx Unit 2,"Jackson Ranger District, Bridger-Teton N.F.",43.38534,-111,Incomplete
2022-106,2022-04-14,NA,NA,883.57,Cottonwood Admin Piles,USFS,43.2632,110.7966,Complete
2022-107,2022-10-19,155,155,NA,Westside Rx,National Park Service,44.592,-104.728,Complete
2022-108,2022-05-16,NA,NA,NA,Mosquito Creek North,USDA-BTNF-North Zone,43.45667,-110.91909,Complete
2022-109,2022-10-19,506,506,NA,Beartrap Prescibed Burns,BLM Buffalo Field Office,44.716845,-105.516899,Complete
2022-11,NA,100,0,NA,Ocean Lake Prescribed Burn - 2022,Bureau of Land Management,43.195,-108.538,Incomplete
2022-110,NA,2342,0,NA,Beaver Creek South,USDA Forest Service,44.647,-107.6837,Incomplete
2022-111,NA,892,0,NA,Tensleep Canyon - South Willow Unit,USFS,44.13361,-107.26333,Incomplete
2022-112,NA,878,0,NA,"BMW - Units 1, 4, & 5",USFS,44.29664,-106.92176,Incomplete
2022-113,NA,616,0,NA,Wildcat,United States Forest Service,42.25,-105,Incomplete
2022-114,2022-12-08,NA,NA,1178.1,Pinnacle Heights E&W Community Pile,USFS- Shoshone National Forest,43.71814,109.982,Complete
2022-115,2022-10-26,NA,NA,40000,JHMR 2022,Jackson Hole Mountain Resort,43.60037,-110.83256,Complete
2022-116,NA,80,0,NA,Sherwood,BLM Newcastle,43.89459,104.09341,Incomplete
2022-117,NA,557,0,NA,Upper Gros Ventre RX,US Forest Service,43.635,-110.391,Incomplete
2022-118,2022-10-24,NA,NA,NA,Alpine/Palisades,Alpine Fire District,43.16585,-111.04059,Complete
2022-119,NA,NA,0,85366.82,"Washakie Piles - PIne Creek 14,20,25,36,27",USFS/Washakie Ranger District,42.49801,-108.93173,Incomplete
2022-12,2022-04-07,250,250,NA,Philp Prescribed Burn - 2022,Bureau of Land Management,43.463,107.82,Complete
2022-120,NA,NA,0,106708.52,Washakie Piles - Loop Road 84,USFS/Washakie Ranger District,42.55682,-108.75261,Incomplete
2022-121,NA,NA,0,85366.82,Washakie Piles - Loop Road 28,USFS/Washakie Ranger District,42.53117,-108.77843,Incomplete
2022-122,2022-12-08,NA,NA,106708.52,Washakie Piles - Loop Road 84,USFS/Washakie Ranger District,42.55706,-108.76617,Complete
2022-123,2022-12-07,NA,NA,5966.68,Washakie Piles,USFS/Washakie Ranger District,42.58545,-108.85039,Complete
2022-124,2022-12-16,NA,NA,423.32,Washakie Piles - Pass Creek Community Pile,USFS/Washakie Ranger District,42.61231,-108.75362,Complete
2022-125,2022-12-12,NA,NA,423.32,Washakie Piles - Louis Lake Admin Pile,USFS/Washakie Ranger District,42.59078,-108.85241,Complete
2022-126,NA,NA,0,423.32,Washakie Piles - Dickinson Park Admin Pile,USFS/Washakie,42.85513,-109.05753,Incomplete
2022-127,NA,NA,0,1506.1699999999998,Washakie Piles - Diamond 4 Pile,USFS/Washakie,42.86114,-109.04366,Incomplete
2022-128,NA,NA,0,423.32,Washakie Piles - Youth Park Pile,USFS/Washakie Ranger District,42.70285,-108.9096,Incomplete
2022-129,NA,950,0,NA,Middle Fork F10,USFS/Washakie Ranger District,42.62944,-108.81439,Incomplete
2022-13,NA,NA,0,NA,Bear Trap,BLM,43.90016,107,Incomplete
2022-130,NA,16,0,NA,Washakie Aspen Unit 17,USFS/Washakie Ranger District,42.67408,-108.87205,Incomplete
2022-131,NA,113,0,NA,Devils Tower West,National Park Service Fire Management,44.353,-104.43,Incomplete
2022-132,NA,NA,0,NA,Philips Bench Unit 5 (T-06),NA,43,110,Incomplete
2022-133,NA,NA,0,NA,Philips Bench Unit 5 (T-06),U.S. Forest Service Bridger Teton National Forest,43,110,Incomplete
2022-134,NA,NA,0,268000,Alpine Fuels Pile Burn,USFS - Caribou-Targhee National Forest,43.17919,-111.01502,Incomplete
2022-135,2022-11-03,NA,NA,NA,Teton to Snake Philips Bench Unit 5 (T-06),U.S. Forest Service Bridger-Teton National Forest Jackson Ranger District,43.3,-110.53,Complete
2022-136,NA,NA,0,1710,Miner's Delight Piles,Bureau of Land Management,42.533,-108.68,Incomplete
2022-137,2022-11-02,NA,NA,3036.7799999999997,Beaver Creek Burn Piles 2022,National Park Service Grand Teton National Park,43.68725,-110.73848,Complete
2022-138,NA,2150,0,NA,Monument Ridge RX,USDA Forest Service,43.21721,-110.45652,Incomplete
2022-139,2022-11-08,NA,NA,NA,White Pine Piles,USFS,42.97516,-109.74819,Complete
2022-14,2022-01-05,NA,NA,6000,Billy Creek Public Pile,BLM,44.11667,106.3866759,Complete
2022-140,2022-11-15,NA,NA,NA,Pinedale Field Office Piles,BLM,43.073,-109.984,Complete
2022-141,2023-01-24,NA,NA,483295,Dry Muddy,WSFD,43.152261,-106.856253,Complete
2022-142,2022-11-09,NA,NA,71471.23,Red Top (T-36),USFS Bridger-Teton National Forest Jackson Ranger District,43.36697,-110.84581,Complete
2022-143,2022-11-08,NA,NA,NA,Toppings Lake RD.,USFS Bridger-Teton National Forest Jackson Ranger District,43.76382,-110.549,Complete
2022-144,2022-12-14,NA,NA,NA,EK Mountain,BLM,43.79813,106.8359,Complete
2022-145,2023-01-11,NA,NA,NA,EK Mountain,BLM,44.0919,106.83163,Complete
2022-146,2022-11-09,NA,NA,11133.02,Sky Ranch RX,Grand Teton National Park,-110.765,43.6568,Complete
2022-147,2022-11-08,100,100,NA,Camp Guernsey Impact Area Burn,Camp Guernsey Fire Department,42.37077,-104.8518,Complete
2022-148,NA,NA,0,600,Rattlesnake Mtn piles,BLM,4435.082,10916.928,Incomplete
2022-149,2022-11-13,NA,NA,NA,Monument Ridge Piles,USFS,43.17139,-113,Complete
2022-15,NA,NA,0,NA,Dull Knife Mahogany,BLM,43.7457,106.85764,Incomplete
2022-150,2023-01-27,NA,NA,14000,WSFD-FCP Woodlot,Wyoming State Forestry Division,43.87458,-104.19061,Complete
2022-151,2022-12-19,NA,NA,45000,WSFD-FCP LAK State Section Hand Piles,Wyoming State Forestry Division,43.84623,-104.1182,Complete
2022-152,NA,NA,0,282015274,Crater Ridge,Forest Serivce,44.92171,-107.82705,Incomplete
2022-153,NA,NA,0,5734000,Quill Landing Piles,Forest Service,44.8244,-107.83831,Incomplete
2022-154,2022-11-17,NA,NA,3059.7799999999997,wilderness Ranches pile,Forest Service,43.84255,-110.44752,Complete
2022-155,2022-12-07,NA,NA,68613.52,Ferris Mountain Douglas Fir Understory pile burn,Bureau of Land Management,4214.742,-10724.996,Complete
2022-156,NA,NA,0,NA,Rome Hill,NA,NA,NA,Incomplete
2022-157,NA,NA,0,1053,Patton Creek Slash Piles,Camp Guernsey Fire Department,42.4516,-104.74308,Incomplete
2022-158,NA,NA,0,29909.64,Cold Springs,USFS,44,-107,Incomplete
2022-159,NA,NA,0,1733.94,Masonic,USFS/USDA,44.56351,107.55816,Incomplete
2022-16,2022-01-06,NA,NA,NA,Pyrenees Timber Sale,BLM,43.95022,107.05023,Complete
2022-160,NA,NA,0,2192932.42,Boulder Ridge Slash Pile Rx burn,Bureau of Land Management,4059.906,-10538.762,Incomplete
2022-161,NA,NA,0,10000,Kelly Pit Slash,Grand Teton National Park,43.37,-110.38,Incomplete
2022-162,2023-01-03,NA,NA,1570796,Box Elder Trust,Spearfish Forest Products,44.4475,-104.558,Complete
2022-163,NA,NA,0,1500000,Klevin,Spearfish Forest Products,44.62956,-104.07404,Incomplete
2022-164,NA,NA,0,122000,Stateline Piles 2022,BLM Newcastle,43.86951,-104.09014,Incomplete
2022-165,2023-02-07,NA,NA,561873,Blacktail Pile Burn,WSFD,44.6254,-104.499,Complete
2022-166,2023-01-13,NA,NA,290369,WolfSkill Pile Burn,WSFD,44.6635,-104.785,Complete
2022-167,2023-04-27,NA,NA,387811,West Beaver Pile Burn,WSFD,43.9484,-104.126,Complete
2022-168,NA,NA,0,310999,Oshoto Pile Burn,WSFD,44.5801,-104.914,Incomplete
2022-169,2023-01-18,NA,NA,50231,Ground Hog Pile Burn,WSFD,44.3792,-104.51,Complete
2022-17,NA,NA,0,NA,Sawmill Creek,BLM,43.83345,107.06671,Incomplete
2022-170,NA,NA,0,449466,Cummings Pile Burn,WSFD,44.4904,-104.549,Incomplete
2022-171,2023-01-04,NA,NA,35000,WSFD-FCP HWY 16 PILES (UPTON),Wyoming State Forestry Division,44.07799,-104.58062,Complete
2022-172,2023-01-26,NA,NA,56548,WSFD-FCP Office Section Machine Piles,Wyoming State Forestry Division,43.87568,-104.19268,Complete
2022-173,2023-01-05,NA,NA,18849,WSFD-FCP Bings Corner State Section,Wyoming State Forestry Division,43.92467,-104.36251,Complete
2022-174,NA,NA,0,648586,Bear River SFA Pile RX,Bureau of Land Management,41.70583,111.01972,Incomplete
2022-175,NA,NA,0,97600,Commissary Ranches,Bureau of Land Management,42.00933,-110.5522,Incomplete
2022-18,2022-01-19,NA,NA,NA,Trough Springs,BLM,43.79587,106.86552,Complete
2022-19,NA,NA,0,NA,Weston Hills,BLM,44.62399,105.38312,Incomplete
2022-20,NA,68,0,NA,Nugent Rx - Hams Fork Unit 2,USFS / Bridger-Teton NF,-110.804,42.176,Incomplete
2022-21,NA,400,0,NA,Little Hornet / Packsaddle,USFS / BTNF,42.364,-110.555,Incomplete
2022-22,2022-01-10,NA,NA,938.26,LOOP ROAD 28,USFS,42.51855,108.77956,Complete
2022-23,2022-01-11,NA,NA,1492.26,LOOP ROAD 7,USFS,42.58509,108.85203,Complete
2022-24,NA,NA,0,97600,Commissary Ranches,Government BLM Kemmerer Field Office,42.00933,-110.5522,Incomplete
2022-25,NA,NA,0,807.26,LOUIS LAKE ADMINISTRATIVE PILES,USFS,42.59256,108.85379,Incomplete
2022-26,NA,NA,0,648586,Bear River RX,Government BLM Kemmerer Field Office,111.42216,111.01115,Incomplete
2022-27,2022-01-05,NA,NA,807.26,PASS CREEK COMMUNITY PILE,USFS,42.611,108.75591,Complete
2022-28,NA,1107,0,NA,MIDDLE FORK F10,USFS,42.63318,108.80603,Incomplete
2022-29,NA,312,0,NA,"WASHAKIE ASPEN 2,3, 5-18",USFS,42.67786,108.8718,Incomplete
2022-30,2022-10-19,2554,2554,NA,Strawberry,USFS,42.902,-110.808,Complete
2022-31,2022-11-15,NA,NA,2000,West Zone Piles,NA,42,-110.778,Complete
2022-32,NA,27,0,NA,Hams Fork Aspen / Basin Creek,USFS,42.251,-110.774,Incomplete
2022-33,2022-03-24,100,100,NA,Star Valley Front Unit 3,USFS,42.789,-110,Complete
2022-34,NA,NA,0,750000,West Beaver,Wyoming State Forestry Division,43.954,104.125,Incomplete
2022-35,NA,NA,0,300000,Oshoto,Wyoming State Forestry Division,44.577,-105,Incomplete
2022-36,NA,NA,0,150000,Ista,Wyoming State Forestry Division,44.757,-104.666,Incomplete
2022-37,NA,NA,0,900000,Blacktail,Wyoming State Forestry Division,44.627,-104.483,Incomplete
2022-38,NA,NA,0,43200,Moskee,Wyoming State Forestry Division,44.314,-104.186,Incomplete
2022-39,2022-01-20,NA,NA,2094.4,Horse Creek Guard Station,USFS/Shoshone National Forest,43.67275,109.6395,Complete
2022-40,2022-01-18,NA,NA,107233.03,Long Creek Roadside,USFS/Shoshone National Forest,43.67275,109.6395,Complete
