BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,AcresAnnMaxPERMITTED,PilesAnnMaxPERMITTED,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed (FT3),Actual Piles,PileActVolume,PilePctCons
Eby Creek Cut and Pile,96,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",p,,400,39.66,-106.83,,"12,750.00",250,60,85
Sheep Gulch,236,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",b,300,,39.7,-106.98,,,,,
West Divide,237,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",b,5240,,39.31,-107.55,230,,,,
Roan Plateau,304,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",b,1200,,39.56,-107.91,200,,,,
Gibbler Gulch,34,BLM,GJD,"Grand Junction Office, BLM",p,,1500,39.79,-108.55,,"261,607.50",755,385,90
Horsethief Bench,35,BLM,GJD,"Grand Junction Office, BLM",p,,150,39.16,-108.84,,"33,957.00",98,385,90
Gunnison River,95,BLM,GJD,"Grand Junction Office, BLM",p,,100,38.85,-108.39,,"18,050.40",90,218,92
Farmers Canyon,230,BLM,GJD,"Grand Junction Office, BLM",b,200,,38.8,-108.55,200,,,,
Hay Canyon,231,BLM,GJD,"Grand Junction Office, BLM",b,600,,39.56,-108.74,,,,,
Palisade Watershed,258,BLM,GJD,"Grand Junction Office, BLM",b,500,,39.08,-108.27,,,,,
Smith Mesa,131,BLM,KRD,"Kremmling Office, BLM",p,,500,40.07,-106.13,,"4,151.04",47,96,92
Strawberry,165,BLM,KRD,"Kremmling Office, BLM",p,,110,40,-105.83,,"8,177.40",77,118,90
Independence Mountain,200,BLM,KRD,"Kremmling Office, BLM",p,,18,40.99,-106.43,,0.00,,,
Owl Mountain,201,BLM,KRD,"Kremmling Office, BLM",p,,100,40.52,-106.1,,0.00,,,
Grouse Mountain,202,BLM,KRD,"Kremmling Office, BLM",p,,100,40.12,-106.18,,0.00,,,
Inspiration Point,307,BLM,KRD,"Kremmling Office, BLM",b,350,,39.98,-106.48,,,,,
Willow Cr,25,BLM,LSD,"Little Snake Office (Craig), BLM",p,,50,40.76,-106.9,,0.00,,,
Teepee,197,BLM,LSD,"Little Snake Office (Craig), BLM",b,500,,40.59,-108.79,260,,,,
Ferret Piles,241,BLM,LSD,"Little Snake Office (Craig), BLM",p,,25,40.84,-108.93,,"4,655.00",25,196,95
Oxbow,265,BLM,LSD,"Little Snake Office (Craig), BLM",b,40,,40.59,-108.36,35,,,,
Dawson Ranch,97,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,50,38.39,-105.27,,"20,792.00",50,452,92
Deer Haven Broadcast,98,BLM,RGD,"Royal Gorge Office (Canon City), BLM",b,380,,38.62,-105.37,,,,,
Hole in the Rock,100,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,2400,38.67,-105.27,,0.00,,,
Likely Gulch,101,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,3000,38.34,-105.57,,0.00,,,
Mt. Harvard Estates,102,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,2000,38.91,-105.17,,"189,750.00",750,275,92
Thompson Mountain,103,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,35,38.6,-105.38,,0.00,,,
Tyndall Piles,104,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,10,38.31,-105.53,,"10,054.40",4,3142,80
Whiskey,105,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,4000,39.66,-105.34,,"189,040.50",1045,201,90
Baxter Peak Piles Unit 1,123,BLM,SLD,"San Luis Office, BLM",p,,300,37.68,-106.65,,"16,245.00",300,57,95
Blanca Wetlands,124,BLM,SLD,"San Luis Office, BLM",b,150,,37.56,-105.72,,,,,
CANM Piles,137,BLM,SWD,"Southwest District , BLM",p,,400,37.33,-109.01,,"5,130.00",18,300,95
Gunnison Gorge,160,BLM,SWD,"Southwest District , BLM",p,,100,38.77,-107.92,,114.00,6,20,95
"Dolores River, Cement Bridge Piles",185,BLM,SWD,"Southwest District , BLM",p,,400,38.42,-108.82,,"104,338.50",210,523,95
West Rim Piles,187,BLM,SWD,"Southwest District , BLM",p,,20,37.94,-108.9,,470.40,5,96,98
West Rim Pines,204,BLM,SWD,"Southwest District , BLM",b,3536,,37.87,-108.83,1129,,,,
Rabbit Mountain,210,BLM,SWD,"Southwest District , BLM",b,350,,37.26,-107.66,286,,,,
