BurnName,ShortPermitNum,AgencyID,AdministrativeUnit,PileBcst,AcresAnnMaxPERMITTED,PilesAnnMaxPERMITTED,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,Actual Piles,PileActVolume,PilePctCons
Bear Gulch Piles,1,PSF,Pike/San Isabel National Forests,p,,100,38.25222,-105.2569,,,,,
South Platte River - East,2,PSF,Pike/San Isabel National Forests,p,,17000,39.405,-105.1328,,,,,
Breckenridge FHF,3,WRF,White River National Forest,p,,4000,39.508,-106.071,,"65,076.0",348,220,85
Middle Blue Baldy,4,MRD,Montrose Field Office,p,,100,38.26022,-107.3548,,"30,334.0",58,523,100
Spring Creek Machine,5,PSF,Pike/San Isabel National Forests,p,,250,39.3525,-105.2503,,"135,000.0",150,1000,90
South Platte River - Central,6,PSF,Pike/San Isabel National Forests,p,,16000,39.3336,-105.2356,,"59,400.0",220,300,90
Payne Gulch Machine,7,PSF,Pike/San Isabel National Forests,p,,250,39.41,-105.51,,,,,
Crystal Lakes,8,PVT,Privately-owned land being burned by owner,p,,2,40.81,-105.61,,,,,
West Indian Creek,9,TRT,Ranch,p,,55,37,-105,,"252,840.0",10,25800,98
Deep Creek,10,TRT,Ranch,p,,106,37,-105,,"559,360.2",21,27460,97
Ute Creek Watershed,11,TRT,Ranch,p,,45,37,-105,,,,,
West Coach Fuel Break,12,LCL,Local Government Agency,p,,75,40.06308,-105.3495,,,,,
Bear Mountain Broadcast,13,PSF,Pike/San Isabel National Forests,b,774,,39.36587,-105.1553,,,,,
East Portal,14,RMP,Rocky Mountain National Park,p,,1000,40.3257,-105.5838,,"475,200.0",600,900,88
Upper Bear Lake Road,15,RMP,Rocky Mountain National Park,p,,250,40.3205,-105.6226,,"72,675.0",85,900,95
Moraine Park Pit,16,RMP,Rocky Mountain National Park,p,,1,40.40125,-105.5801,,,,,
County Road 98 Hand Piles,17,PSF,Pike/San Isabel National Forests,p,,2000,38.90574,-105.4081,,,,,
Beaver Rx Units P1-3,18,PSF,Pike/San Isabel National Forests,b,250,,38.8694,-105.4266,,,,,
Owl Mountain,19,KRD,Kremmling Field Office,p,,100,40.5297,-106.1058,,,,,
Smith Mesa,20,KRD,Kremmling Field Office,p,,500,40.07922,-106.1341,,,,,
Strawberry,21,KRD,Kremmling Field Office,p,,110,40.00604,-105.8311,,"9,292.0",100,101,92
Dry Gulch,22,KRD,Kremmling Field Office,b,590,,39.91833,-106.5956,,,,,
Inspiration Point,23,KRD,Kremmling Field Office,b,350,,39.98896,-106.4866,,,,,
Perry Park,24,LCL,Local Government Agency,p,,1,39.273,-105.0085,,"133,000.0",1,140000,95
Saint Louis Creek,25,ARF,Arapaho/Roosevelt National Forests,p,,24,39.90268,-105.878,,"95,436.0",22,4820,90
Blue Ridge Piles,26,ARF,Arapaho/Roosevelt National Forests,p,,9500,39.99,-105.97,,,,,
High Lonesome,27,ARF,Arapaho/Roosevelt National Forests,p,,75,40.0482,-105.8148,,,,,
Vasquez,28,ARF,Arapaho/Roosevelt National Forests,p,,3000,39.89,-105.8234,,,,,
Keyser Creek,29,ARF,Arapaho/Roosevelt National Forests,p,,200,39.9059,-106.015,,"1,590.3",3,589,90
St. Vrain Hand Piles,30,ARF,Arapaho/Roosevelt National Forests,p,,12000,40.23948,-105.5324,,"288,736.5",1690,201,85
Forsythe II Hand Piles,31,ARF,Arapaho/Roosevelt National Forests,p,,10000,39.99238,-105.3991,,"597,356.0",4600,151,86
